time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:18,vänersborg,närkamp,0,z6
0:00:32,vänersborg,mål,spelmål,z2
0:00:41,vänersborg,skottyp,utifrån,z2
0:00:56,sirius,avslag,0,z5
0:01:15,sirius,frislag,0,z5
0:01:28,sirius,boll,0,0
0:01:40,vänersborg,närkamp,0,z5
0:01:45,sirius,brytning,0,z5
0:01:54,sirius,skott,täckt,z8
0:01:58,sirius,skottyp,utifrån,z8
0:02:03,vänersborg,boll,0,z8
0:02:26,vänersborg,passning,straffområde,z2
0:02:31,sirius,närkamp,0,z3
0:02:36,sirius,inslag,0,z3
0:03:11,sirius,frislag,0,z9
0:03:33,vänersborg,utkast,0,z8
0:03:40,sirius,närkamp,0,z9
0:04:05,vänersborg,brytning,0,z7
0:05:16,vänersborg,närkamp,0,z4
0:05:29,sirius,närkamp,0,z4
0:05:33,sirius,frislag,0,z4
0:05:45,sirius,frislag,0,z9
0:06:00,vänersborg,närkamp,0,z5
0:06:04,vänersborg,frislag,0,z4
0:07:14,vänersborg,närkamp,0,z3
0:07:31,vänersborg,skott,räddning,z2
0:07:39,vänersborg,skottyp,utifrån,z2
0:07:43,sirius,utkast,0,z2
0:07:57,vänersborg,närkamp,0,z5
0:08:23,vänersborg,frislag,0,z1
0:08:46,vänersborg,frislag,0,z3
0:09:26,vänersborg,närkamp,0,z8
0:09:41,vänersborg,skott,utanför,z2
0:09:49,vänersborg,skottyp,utifrån,z2
0:09:54,sirius,boll,0,0
0:10:00,vänersborg,närkamp,0,z5
0:10:04,vänersborg,frislag,0,z1
0:10:31,vänersborg,hörna,0,z3
0:11:01,vänersborg,skott,räddning,z2
0:11:06,vänersborg,skottyp,fast,z2
0:11:08,sirius,utkast,0,z3
0:11:22,sirius,närkamp,0,z5
0:12:02,vänersborg,utkast,0,0
0:12:05,sirius,brytning,0,z5
0:12:41,vänersborg,utkast,0,0
0:12:46,sirius,brytning,0,z6
0:12:56,vänersborg,brytning,0,z8
0:13:01,vänersborg,närkamp,0,z5
0:13:42,sirius,närkamp,0,z5
0:13:55,sirius,offside,0,z8
0:14:02,vänersborg,boll,0,z8
0:14:51,vänersborg,mål,spelmål,z2
0:15:02,vänersborg,skottyp,friställande,z2
0:15:14,sirius,timeout,0,0
0:16:49,sirius,avslag,0,z5
0:17:06,vänersborg,närkamp,0,z5
0:17:09,sirius,närkamp,0,z4
0:17:47,vänersborg,närkamp,0,z5
0:18:29,sirius,närkamp,0,z4
0:18:41,vänersborg,närkamp,0,z6
0:18:50,sirius,brytning,0,z9
0:19:03,vänersborg,brytning,0,z9
0:19:07,sirius,närkamp,0,z9
0:19:48,sirius,närkamp,0,z7
0:20:09,vänersborg,närkamp,0,z8
0:20:29,vänersborg,närkamp,0,z5
0:20:37,vänersborg,mål,spelmål,z2
0:21:05,vänersborg,skottyp,centralt,z2
0:21:08,sirius,avslag,0,z5
0:21:40,vänersborg,brytning,0,z8
0:22:24,sirius,boll,0,0
0:22:54,sirius,skott,utanför,z8
0:23:01,sirius,skottyp,centralt,z8
0:23:06,vänersborg,utkast,0,0
0:23:15,vänersborg,skott,täckt,z2
0:23:19,vänersborg,skottyp,centralt,z2
0:23:25,sirius,boll,0,0
0:24:03,vänersborg,utkast,0,0
0:24:18,sirius,närkamp,0,0
0:24:23,vänersborg,närkamp,0,z4
0:24:52,sirius,frislag,0,z3
0:25:04,vänersborg,boll,0,z8
0:25:15,sirius,utkast,0,z1
0:25:34,vänersborg,brytning,0,z8
0:25:41,sirius,närkamp,0,z7
0:25:50,sirius,passning,straffområde,z8
0:25:52,sirius,hörna,0,z9
0:26:20,sirius,skott,täckt,z8
0:26:25,sirius,skottyp,fast,z8
0:26:29,sirius,boll,0,0
0:27:02,vänersborg,närkamp,0,z9
0:27:28,vänersborg,hörna,0,z1
0:27:54,vänersborg,skott,utanför,z2
0:28:02,vänersborg,skottyp,fast,z2
0:28:05,sirius,utkast,0,z3
0:28:28,sirius,bolltapp,passförsök,z4
0:28:35,vänersborg,inslag,0,z4
0:28:57,vänersborg,bolltapp,tappad,z8
0:29:06,vänersborg,närkamp,0,z9
0:29:18,sirius,närkamp,0,z5
0:29:28,sirius,skott,räddning,z8
0:29:34,sirius,skottyp,utifrån,z8
0:29:40,vänersborg,utkast,0,0
0:29:55,sirius,närkamp,0,z5
0:30:12,sirius,mål,spelmål,z8
0:30:17,sirius,skottyp,centralt,z8
0:30:24,vänersborg,avslag,0,z5
0:31:06,sirius,boll,0,z3
0:31:14,vänersborg,närkamp,0,z7
0:31:25,vänersborg,frislag,0,z6
0:31:42,vänersborg,offside,0,z5
0:31:45,sirius,boll,0,0
0:31:59,vänersborg,utkast,0,z8
0:32:44,vänersborg,bolltapp,passförsök,z5
0:32:50,vänersborg,utvisning,10,0
0:33:09,sirius,frislag,0,z4
0:33:41,sirius,mål,spelmål,z8
0:33:58,sirius,skottyp,utifrån,z8
0:34:08,vänersborg,timeout,0,0
0:35:58,vänersborg,avslag,0,z5
0:36:23,vänersborg,offside,0,z2
0:36:41,sirius,utvisning,10,0
0:37:15,0,timeout,0,0
0:37:35,sirius,boll,0,0
0:37:52,sirius,passning,straffområde,z8
0:37:59,vänersborg,utkast,0,z8
0:38:34,vänersborg,skott,räddning,z2
0:38:39,vänersborg,skottyp,utifrån,z2
0:38:44,vänersborg,närkamp,0,z2
0:39:07,vänersborg,frislag,0,z6
0:39:30,sirius,brytning,0,z2
0:39:39,sirius,bolltapp,passförsök,z2
0:39:55,sirius,inslag,0,z3
0:40:04,sirius,passning,straffområde,z8
0:40:14,vänersborg,rensning,0,0
0:40:22,vänersborg,inslag,0,0
0:40:35,sirius,passning,straffområde,z8
0:40:43,vänersborg,utkast,0,0
0:40:55,vänersborg,skott,räddning,z2
0:41:04,vänersborg,skottyp,utifrån,z2
0:41:08,vänersborg,hörna,0,0
0:41:22,vänersborg,mål,hörnmål,z2
0:41:28,vänersborg,skottyp,fast,z2
0:41:42,sirius,avslag,0,z5
0:41:58,sirius,närkamp,0,z5
0:42:20,vänersborg,närkamp,0,z5
0:42:27,sirius,närkamp,0,z2
0:42:43,vänersborg,närkamp,0,z5
0:43:16,vänersborg,mål,spelmål,0
0:43:23,vänersborg,skottyp,centralt,z2
0:43:37,sirius,avslag,0,z5
0:44:13,vänersborg,närkamp,0,z6
0:44:21,sirius,närkamp,0,z6
0:44:32,sirius,frislag,0,z8
0:45:10,sirius,passning,straffområde,z8
0:45:15,sirius,skott,täckt,z8
0:45:22,sirius,skottyp,inlägg,z8
0:45:25,sirius,hörna,0,z9
0:45:39,sirius,skott,täckt,z8
0:45:48,sirius,skottyp,fast,z8
0:45:53,sirius,skott,räddning,0
0:45:58,sirius,skottyp,retur,z8
0:46:03,vänersborg,utkast,0,0
0:46:07,sirius,boll,0,0
0:46:21,vänersborg,närkamp,0,z8
0:46:34,vänersborg,frislag,0,z1
0:47:08,sirius,brytning,0,z5
0:47:24,sirius,offside,0,z8
0:47:29,vänersborg,boll,0,0
0:47:45,sirius,utkast,0,z1
0:48:03,sirius,hörna,0,z9
0:48:28,sirius,skott,täckt,z8
0:48:30,sirius,skottyp,fast,z8
0:48:40,vänersborg,utkast,0,z6
0:48:51,sirius,närkamp,0,z3
0:49:03,0,stop,0,0
