time,team,event,subevent,zone
0:00:00,vetlanda,avslag,0,z2
0:00:40,sirius,närkamp,0,z6
0:00:43,sirius,40,0,0
0:01:29,sirius,passning,straffområde,z2
0:01:31,vetlanda,boll,0,0
0:01:43,0,timeout,0,0
0:02:15,sirius,utkast,0,0
0:02:34,vetlanda,närkamp,0,z2
0:03:01,sirius,närkamp,0,z9
0:03:11,sirius,frislag,0,z6
0:03:31,sirius,passning,straffområde,z2
0:03:37,sirius,mål,spelmål,z2
0:03:46,sirius,skottyp,inlägg,z2
0:04:03,vetlanda,avslag,0,0
0:05:24,vetlanda,passning,straffområde,z8
0:05:45,sirius,utkast,0,0
0:05:51,sirius,kontring,0,0
0:05:56,sirius,mål,spelmål,z2
0:06:20,sirius,skottyp,utifrån,z2
0:06:24,vetlanda,timeout,0,0
0:07:32,vetlanda,avslag,0,0
0:07:57,vetlanda,skott,utanför,z8
0:07:59,vetlanda,skottyp,utifrån,0
0:08:00,sirius,utkast,0,0
0:08:41,sirius,passning,straffområde,z2
0:08:44,sirius,skott,utanför,z2
0:08:50,sirius,skottyp,inlägg,z2
0:08:54,vetlanda,boll,0,0
0:09:11,vetlanda,frislag,0,z3
0:09:43,sirius,närkamp,0,z4
0:09:59,vetlanda,skott,utanför,z8
0:10:02,vetlanda,skottyp,utifrån,z8
0:10:03,sirius,utkast,0,0
0:10:15,vetlanda,brytning,0,z1
0:10:31,sirius,närkamp,0,z8
0:10:43,sirius,passning,lång,z3
0:10:50,vetlanda,utkast,0,z1
0:11:07,sirius,närkamp,0,z9
0:11:29,vetlanda,närkamp,0,z1
0:12:04,sirius,närkamp,0,z5
0:12:10,sirius,hörna,0,z1
0:12:45,sirius,skott,räddning,z2
0:12:52,sirius,skottyp,fast,z2
0:13:04,vetlanda,utkast,0,0
0:13:16,vetlanda,närkamp,0,z7
0:13:20,vetlanda,inslag,0,z7
0:13:24,vetlanda,passning,straffområde,z8
0:13:29,sirius,utkast,0,z9
0:13:49,vetlanda,närkamp,0,z5
0:14:02,sirius,närkamp,0,z7
0:14:06,sirius,utkast,0,z9
0:14:31,sirius,frislag,0,z2
0:15:03,vetlanda,brytning,0,z5
0:15:04,sirius,närkamp,0,z5
0:15:10,sirius,skott,räddning,z2
0:15:21,sirius,skottyp,utifrån,z2
0:15:23,sirius,hörna,0,z3
0:15:49,vetlanda,boll,0,z1
0:15:53,sirius,närkamp,0,z1
0:15:56,vetlanda,brytning,0,z2
0:15:58,vetlanda,kontring,0,0
0:16:06,sirius,närkamp,0,z7
0:16:26,sirius,passning,straffområde,z2
0:16:30,vetlanda,brytning,0,z2
0:16:33,vetlanda,kontring,0,0
0:16:45,vetlanda,skott,räddning,z8
0:16:48,vetlanda,skottyp,dribbling,z8
0:16:50,sirius,utkast,0,0
0:16:53,vetlanda,utkast,0,0
0:17:27,sirius,boll,0,z7
0:18:17,sirius,bolltapp,passförsök,z1
0:18:37,vetlanda,passning,straffområde,z8
0:18:39,vetlanda,boll,0,0
0:18:59,sirius,närkamp,0,z5
0:19:52,sirius,närkamp,0,z4
0:19:59,sirius,hörna,0,z3
0:20:31,sirius,mål,hörnmål,z2
0:20:37,sirius,skottyp,fast,z2
0:20:57,vetlanda,avslag,0,0
0:21:17,sirius,närkamp,0,z6
0:21:24,vetlanda,brytning,0,z5
0:21:35,vetlanda,närkamp,0,z6
0:21:53,vetlanda,skott,utanför,z8
0:22:01,vetlanda,skottyp,utifrån,z8
