time,team,event,subevent,zone
0:00:00,sirius,närkamp,0,z5
0:00:22,sirius,40,0,z2
0:00:31,sirius,närkamp,0,z5
0:00:35,vsk,brytning,0,z5
0:00:52,vsk,passning,straffområde,z2
0:00:55,sirius,närkamp,0,z2
0:01:06,vsk,närkamp,0,z4
0:01:09,sirius,närkamp,0,z4
0:01:47,sirius,40,0,0
0:01:51,vsk,närkamp,0,z5
0:01:53,sirius,närkamp,0,z5
0:02:00,vsk,närkamp,0,z8
0:02:09,vsk,frislag,0,z6
0:02:16,sirius,närkamp,0,z5
0:02:29,vsk,närkamp,0,z5
0:02:40,vsk,frislag,0,z4
0:02:51,vsk,frislag,0,z2
0:02:58,0,timeout,0,0
0:03:11,vsk,skott,täckt,z2
0:03:13,vsk,skottyp,fast,z2
0:03:23,vsk,passning,straffområde,z2
0:03:25,sirius,utkast,0,z2
0:03:40,sirius,passning,straffområde,z8
0:03:45,sirius,skott,utanför,z8
0:03:56,sirius,skottyp,inlägg,z8
0:03:59,vsk,utkast,0,0
0:04:16,sirius,närkamp,0,z6
0:04:24,vsk,närkamp,0,z5
0:04:27,sirius,närkamp,0,z2
0:04:36,vsk,brytning,0,z5
0:04:55,vsk,frislag,0,z5
0:05:10,vsk,offside,0,z2
0:05:16,sirius,boll,0,0
0:05:23,vsk,närkamp,0,z6
0:05:40,sirius,närkamp,0,z1
0:05:46,vsk,närkamp,0,z1
0:05:51,vsk,passning,straffområde,z2
0:05:54,vsk,skott,utanför,z2
0:05:57,vsk,skottyp,inlägg,z2
0:05:58,sirius,utkast,0,0
0:06:07,sirius,skott,täckt,z8
0:06:12,sirius,skottyp,utifrån,z8
0:06:13,vsk,boll,0,0
0:06:16,sirius,närkamp,0,z5
0:06:21,vsk,närkamp,0,z5
0:06:37,vsk,inslag,0,z3
0:06:48,sirius,närkamp,0,z5
0:06:57,vsk,närkamp,0,z4
0:07:09,sirius,brytning,0,z5
0:07:20,vsk,utkast,0,0
0:07:33,vsk,passning,straffområde,z2
0:07:36,sirius,närkamp,0,z2
0:07:47,vsk,närkamp,0,z5
0:07:58,vsk,skott,räddning,z2
0:08:01,vsk,skottyp,dribbling,z2
0:08:05,sirius,boll,0,0
0:08:12,sirius,bolltapp,passförsök,z4
0:08:25,vsk,skott,utanför,z2
0:08:30,vsk,skottyp,utifrån,z2
0:08:31,sirius,utkast,0,0
0:08:48,sirius,bolltapp,tappad,z2
0:08:55,vsk,skott,räddning,z2
0:08:59,vsk,skottyp,centralt,z2
0:09:03,vsk,skott,utanför,z2
0:09:08,vsk,skottyp,retur,z2
0:09:10,sirius,utkast,0,0
0:09:46,sirius,skott,täckt,z8
0:09:54,sirius,skottyp,utifrån,z8
0:09:58,sirius,hörna,0,z9
0:10:23,sirius,skott,utanför,z8
0:10:27,sirius,skottyp,fast,z8
0:10:30,vsk,utkast,0,0
0:10:38,sirius,närkamp,0,z4
0:10:50,sirius,bolltapp,passförsök,z6
0:11:00,sirius,brytning,0,z2
0:11:22,vsk,boll,0,0
0:11:27,sirius,närkamp,0,z3
0:11:38,sirius,passning,lång,z8
0:11:40,vsk,utkast,0,0
0:12:00,sirius,närkamp,0,z3
0:12:14,sirius,passning,straffområde,z8
0:12:17,vsk,boll,0,0
0:12:38,vsk,passning,straffområde,z2
0:12:41,vsk,skott,räddning,z2
0:12:44,vsk,skottyp,inlägg,z2
0:12:46,sirius,utkast,0,0
0:12:52,vsk,närkamp,0,z5
0:12:55,sirius,närkamp,0,z4
0:12:57,sirius,40,0,0
0:13:05,sirius,frislag,0,z1
0:13:27,vsk,närkamp,0,z5
0:13:33,sirius,frislag,0,z5
0:13:52,vsk,närkamp,0,z7
0:14:12,vsk,skott,räddning,z2
0:14:17,vsk,skottyp,centralt,z2
0:14:20,sirius,rensning,0,0
0:14:29,sirius,utkast,0,z1
0:14:41,sirius,passning,lång,z5
0:14:48,vsk,närkamp,0,z8
0:14:52,sirius,närkamp,0,z2
0:15:05,vsk,närkamp,0,z8
0:15:08,vsk,utkast,0,0
0:15:23,sirius,utkast,0,z3
0:15:54,sirius,passning,straffområde,z8
0:15:57,sirius,närkamp,0,z8
0:16:01,vsk,närkamp,0,z8
0:16:12,0,stop,0,0
