time,team,event,subevent,zone
0:00:00,vänersborg,avslag,0,z5
0:00:10,vänersborg,bolltapp,tappad,z2
0:00:30,vänersborg,närkamp,0,z4
0:00:37,sirius,närkamp,0,z4
0:00:39,sirius,inslag,0,z4
0:00:58,sirius,hörna,0,z1
0:01:29,sirius,skott,utanför,z2
0:01:33,sirius,skottyp,fast,z2
0:01:38,vänersborg,utkast,0,z1
0:02:15,vänersborg,närkamp,0,z7
0:02:27,vänersborg,närkamp,0,z8
0:02:30,vänersborg,skott,räddning,z8
0:02:35,vänersborg,skottyp,dribbling,z8
0:02:42,sirius,rensning,0,0
0:03:32,sirius,närkamp,0,z8
0:03:36,vänersborg,närkamp,0,z3
0:03:50,sirius,närkamp,0,z6
0:04:19,sirius,40,0,0
0:04:29,sirius,frislag,0,z6
0:05:25,sirius,frislag,0,z5
0:05:52,sirius,passning,straffområde,z2
0:05:57,vänersborg,utkast,0,z2
0:06:22,vänersborg,skott,räddning,z8
0:06:25,vänersborg,skottyp,utifrån,z8
0:06:28,vänersborg,hörna,0,z9
0:06:55,vänersborg,skott,räddning,z8
0:07:01,vänersborg,skottyp,fast,z8
0:07:09,sirius,utkast,0,0
0:07:24,vänersborg,närkamp,0,z2
0:07:38,0,timeout,0,0
0:07:47,sirius,frislag,0,z2
0:07:59,vänersborg,närkamp,0,z3
0:08:02,sirius,närkamp,0,z6
0:08:18,sirius,passning,straffområde,z2
0:08:20,vänersborg,rensning,0,0
0:08:28,sirius,passning,straffområde,z2
0:08:31,sirius,skott,täckt,z2
0:08:35,sirius,skottyp,inlägg,z2
0:08:39,vänersborg,utkast,0,0
0:09:09,sirius,närkamp,0,z6
0:09:17,vänersborg,närkamp,0,z2
0:09:27,sirius,närkamp,0,z5
0:09:38,sirius,passning,straffområde,z2
0:09:41,vänersborg,rensning,0,0
0:09:49,vänersborg,närkamp,0,z4
0:09:57,sirius,närkamp,0,z5
0:10:06,sirius,passning,farlig,z2
0:10:10,sirius,mål,spelmål,z2
0:10:31,sirius,skottyp,centralt,z2
0:10:34,vänersborg,avslag,0,0
0:10:51,vänersborg,frislag,0,0
0:11:04,vänersborg,passning,straffområde,z8
0:11:16,sirius,utkast,0,z7
0:11:27,sirius,bolltapp,tappad,z5
0:11:33,sirius,närkamp,0,z7
0:11:43,sirius,frislag,0,z7
0:12:03,vänersborg,brytning,0,z2
0:12:07,sirius,brytning,0,z4
0:12:11,vänersborg,närkamp,0,z4
0:12:24,vänersborg,närkamp,0,z6
0:12:44,vänersborg,passning,straffområde,z8
0:12:45,sirius,rensning,0,0
0:12:49,sirius,närkamp,0,z9
0:12:55,vänersborg,närkamp,0,z6
0:12:59,sirius,närkamp,0,z6
0:13:14,sirius,närkamp,0,z6
0:13:30,sirius,passning,straffområde,z2
0:13:59,vänersborg,närkamp,0,z5
0:14:15,vänersborg,skott,utanför,z8
0:14:19,vänersborg,skottyp,utifrån,z8
0:14:22,sirius,utkast,0,z8
0:14:30,vänersborg,närkamp,0,z2
0:14:42,vänersborg,skott,utanför,z5
0:14:45,vänersborg,skottyp,utifrån,z8
0:14:47,sirius,utkast,0,0
0:14:59,vänersborg,utkast,0,z3
0:15:16,sirius,utkast,0,z7
0:15:31,sirius,passning,straffområde,z2
0:15:35,sirius,mål,spelmål,z2
0:15:40,sirius,skottyp,inlägg,z2
