time,team,event,subevent,zone
0:00:00,villa,avslag,0,z2
0:00:16,villa,passning,straffområde,z8
0:00:20,sirius,rensning,0,0
0:00:39,villa,passning,straffområde,z8
0:00:41,sirius,boll,0,z8
0:00:45,sirius,rensning,0,0
0:00:58,villa,passning,lång,0
0:01:02,villa,skott,räddning,z8
0:01:08,villa,skottyp,centralt,z8
0:01:12,villa,hörna,0,z7
0:01:30,villa,skott,täckt,z8
0:01:33,villa,skottyp,fast,z8
0:01:36,sirius,utkast,0,z7
0:01:46,sirius,passning,lång,z2
0:01:48,villa,boll,0,0
0:02:10,villa,passning,straffområde,z8
0:02:12,villa,boll,0,0
0:02:23,villa,passning,lång,z8
0:02:29,sirius,utkast,0,z9
0:02:35,villa,närkamp,0,z8
0:02:40,villa,skott,täckt,z8
0:02:44,villa,skottyp,utifrån,z8
0:02:54,villa,boll,0,0
0:03:01,villa,närkamp,0,z7
0:03:32,villa,frislag,0,z6
0:04:17,villa,frislag,0,z4
0:04:39,villa,passning,straffområde,z8
0:04:42,villa,skott,räddning,z8
0:04:46,villa,skottyp,inlägg,0
0:04:53,sirius,närkamp,0,z6
0:05:03,sirius,närkamp,0,z1
0:05:04,sirius,hörna,0,z1
0:05:34,sirius,skott,täckt,z2
0:05:38,sirius,skottyp,fast,z2
0:05:43,villa,rensning,0,0
0:05:50,sirius,passning,lång,z6
0:05:53,villa,närkamp,0,z6
0:06:02,villa,passning,lång,0
0:06:04,sirius,utkast,0,z7
0:06:18,sirius,bolltapp,tappad,z5
0:06:30,villa,mål,spelmål,z8
0:06:44,villa,skottyp,utifrån,z8
0:06:47,sirius,avslag,0,0
0:06:59,sirius,närkamp,0,z8
0:07:13,sirius,frislag,0,z6
0:07:16,sirius,40,0,0
0:07:36,sirius,skott,räddning,z2
0:07:39,sirius,skottyp,utifrån,z2
0:07:41,sirius,hörna,0,z3
0:08:09,sirius,skott,täckt,z2
0:08:11,sirius,skottyp,fast,z2
0:08:15,sirius,40,0,0
0:08:42,sirius,skott,utanför,z2
0:08:45,sirius,skottyp,centralt,z2
0:08:47,villa,utkast,0,0
0:08:54,sirius,utkast,0,z9
0:09:23,sirius,40,0,0
0:09:39,sirius,passning,straffområde,z2
0:09:42,villa,utkast,0,z3
0:10:02,villa,passning,straffområde,z8
0:10:05,sirius,boll,0,0
0:10:08,villa,närkamp,0,z7
0:10:16,sirius,närkamp,0,z7
0:10:26,villa,brytning,0,z4
0:10:52,villa,offside,0,z8
0:11:01,sirius,boll,0,0
0:11:12,sirius,skott,räddning,z2
0:11:17,sirius,skottyp,utifrån,z2
0:11:21,villa,boll,0,0
0:11:30,villa,hörna,0,z7
0:12:04,villa,skott,täckt,z8
0:12:10,villa,skottyp,fast,z8
0:12:18,villa,skott,täckt,z8
0:12:21,villa,skottyp,utifrån,z8
0:12:23,sirius,utkast,0,0
0:12:37,villa,brytning,0,z2
0:12:44,villa,skott,utanför,z8
0:12:48,villa,skottyp,utifrån,z8
0:12:50,sirius,utkast,0,0
0:12:59,sirius,passning,lång,z3
0:13:02,villa,utkast,0,z6
0:13:19,sirius,närkamp,0,z5
0:13:34,sirius,passning,straffområde,z2
0:13:36,sirius,skott,utanför,z2
0:13:40,sirius,skottyp,inlägg,z2
0:13:42,villa,utkast,0,0
0:14:13,villa,passning,farlig,z8
0:14:18,sirius,utkast,0,z9
0:14:45,villa,brytning,0,z6
0:14:48,sirius,närkamp,0,z5
0:15:01,sirius,närkamp,0,z4
0:15:15,sirius,offside,0,0
0:15:19,villa,boll,0,0
0:15:41,villa,frislag,0,z4
0:16:24,villa,närkamp,0,z8
0:16:43,sirius,närkamp,0,z8
0:17:00,sirius,passning,straffområde,z2
0:17:03,sirius,närkamp,0,z1
0:17:33,sirius,skott,räddning,z2
0:17:36,sirius,skottyp,utifrån,z2
0:17:38,villa,boll,0,0
0:17:43,sirius,brytning,0,z8
0:17:55,sirius,passning,farlig,z2
0:18:06,sirius,skott,räddning,z2
0:18:08,sirius,skottyp,utifrån,z2
0:18:14,sirius,skott,utanför,z2
0:18:17,sirius,skottyp,utifrån,z2
0:18:20,villa,utkast,0,0
0:19:27,villa,passning,farlig,z8
0:19:30,villa,skott,utanför,z8
0:19:35,villa,skottyp,centralt,z8
0:19:37,sirius,utkast,0,0
0:19:44,sirius,frislag,0,z5
0:20:03,sirius,bolltapp,tappad,z1
0:20:05,sirius,närkamp,0,z1
0:20:10,sirius,passning,straffområde,z2
0:20:13,sirius,skott,räddning,z2
0:20:16,sirius,skottyp,inlägg,z2
0:20:17,villa,utkast,0,0
0:20:35,sirius,närkamp,0,z7
0:20:42,villa,närkamp,0,z4
0:21:01,villa,inslag,0,z9
0:21:22,sirius,brytning,0,z8
0:21:32,villa,närkamp,0,z6
0:21:35,sirius,brytning,0,z9
0:21:47,sirius,skott,räddning,z2
0:21:50,sirius,skottyp,utifrån,z2
0:21:53,sirius,offside,0,0
0:22:04,villa,boll,0,0
0:22:11,sirius,närkamp,0,z9
0:22:16,sirius,inslag,0,z9
0:22:37,sirius,passning,straffområde,z2
0:22:39,villa,utkast,0,z3
0:22:54,sirius,närkamp,0,z5
0:23:13,sirius,passning,straffområde,z2
0:23:17,villa,boll,0,0
0:23:30,villa,skott,utanför,z8
0:23:34,villa,skottyp,utifrån,z8
0:23:36,sirius,utkast,0,0
0:23:59,villa,närkamp,0,z4
0:24:07,villa,skott,räddning,z8
0:24:10,villa,skottyp,centralt,z8
0:24:19,villa,mål,spelmål,z8
0:24:23,villa,skottyp,retur,z8
0:24:42,sirius,avslag,0,0
0:25:01,villa,närkamp,0,z1
0:25:19,villa,mål,spelmål,z8
0:25:23,villa,skottyp,utifrån,z8
0:25:54,sirius,avslag,0,0
0:26:07,villa,brytning,0,z6
0:26:39,villa,närkamp,0,z4
0:26:43,villa,passning,lång,z8
0:26:46,sirius,boll,0,0
0:27:04,villa,brytning,0,z2
0:27:22,sirius,närkamp,0,z8
0:27:34,sirius,hörna,0,z1
0:28:02,sirius,skott,utanför,z2
0:28:06,sirius,skottyp,fast,z2
0:28:10,villa,utkast,0,z1
0:28:30,villa,hörna,0,z9
0:28:59,villa,skott,täckt,z8
0:29:02,villa,skottyp,fast,z8
0:29:06,villa,skott,utanför,z8
0:29:09,villa,skottyp,retur,z8
0:29:12,sirius,utkast,0,z7
0:29:17,villa,närkamp,0,z7
0:29:42,sirius,närkamp,0,z5
0:29:52,sirius,skott,utanför,z2
