time,team,event,subevent,zone
0:00:00,edsbyn,avslag,0,z5
0:00:29,sirius,närkamp,0,z9
0:01:46,sirius,hörna,0,z1
0:02:19,sirius,skott,täckt,z2
0:02:23,sirius,skottyp,fast,z2
0:02:27,edsbyn,närkamp,0,z2
0:02:31,edsbyn,frislag,0,z1
0:02:49,edsbyn,hörna,0,z7
0:03:21,edsbyn,skott,täckt,z8
0:03:27,edsbyn,skottyp,fast,z8
0:03:31,edsbyn,skott,räddning,z8
0:03:36,edsbyn,skottyp,retur,z8
0:03:39,sirius,utkast,0,0
0:03:47,sirius,närkamp,0,z5
0:04:09,sirius,skott,räddning,z2
0:04:14,sirius,skottyp,centralt,z2
0:04:19,sirius,hörna,0,z1
0:05:26,sirius,skott,täckt,z2
0:05:29,sirius,skottyp,fast,z2
0:05:33,sirius,skott,täckt,z2
0:05:37,sirius,skottyp,retur,z2
0:05:46,sirius,boll,0,0
0:05:51,sirius,närkamp,0,z1
0:06:08,edsbyn,frislag,0,z1
0:06:19,sirius,närkamp,0,z2
0:06:25,sirius,skott,räddning,z2
0:06:29,sirius,skottyp,utifrån,z2
0:06:34,sirius,skott,räddning,z2
0:06:50,sirius,skottyp,retur,z2
0:06:52,sirius,hörna,0,z1
0:07:00,sirius,skott,utanför,z2
0:07:06,sirius,skottyp,utifrån,z2
0:07:08,edsbyn,utkast,0,z3
0:07:21,edsbyn,skott,räddning,z8
0:07:28,edsbyn,skottyp,utifrån,z8
0:07:35,sirius,boll,0,0
0:07:48,sirius,närkamp,0,z1
0:08:20,sirius,frislag,0,z1
0:08:28,sirius,passning,straffområde,z2
0:08:34,sirius,närkamp,0,z3
0:08:51,sirius,frislag,0,z1
0:09:22,sirius,närkamp,0,z2
0:09:38,sirius,frislag,0,z4
0:10:11,edsbyn,närkamp,0,z5
0:10:55,sirius,närkamp,0,z9
0:11:34,sirius,skott,utanför,z2
0:11:38,sirius,skottyp,utifrån,z2
0:11:41,edsbyn,utkast,0,z1
0:12:36,edsbyn,bolltapp,tappad,z4
0:12:41,edsbyn,närkamp,0,z4
0:12:59,edsbyn,hörna,0,z9
0:13:25,edsbyn,skott,utanför,z8
0:13:32,edsbyn,skottyp,fast,z8
