time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:11,villa,närkamp,0,z3
0:00:17,villa,skott,räddning,z2
0:00:20,villa,skottyp,centralt,z2
0:00:23,sirius,boll,0,0
0:00:25,sirius,kontring,0,0
0:00:29,sirius,passning,straffområde,z8
0:00:30,villa,boll,0,0
0:00:54,sirius,utkast,0,0
0:01:06,sirius,passning,lång,z8
0:01:11,sirius,friläge,0,z8
0:01:16,sirius,skott,räddning,z8
0:01:20,sirius,skottyp,friställande,z8
0:01:26,villa,utkast,0,0
0:01:28,sirius,närkamp,0,z6
0:01:50,villa,närkamp,0,z4
0:01:57,sirius,närkamp,0,z6
0:02:10,sirius,passning,straffområde,z8
0:02:21,villa,utkast,0,0
0:02:30,sirius,närkamp,0,z5
0:02:34,sirius,kontring,0,0
0:02:40,sirius,passning,straffområde,z8
0:02:43,villa,boll,0,0
0:03:10,sirius,närkamp,0,z2
0:03:15,villa,närkamp,0,z6
0:04:01,villa,passning,lång,z2
0:04:07,villa,offside,0,0
0:04:31,sirius,passning,straffområde,z8
0:04:34,villa,brytning,0,z8
0:05:01,villa,hörna,0,z3
0:05:21,villa,skott,räddning,z2
0:05:24,villa,skottyp,fast,z2
0:05:27,sirius,rensning,0,0
0:05:55,villa,passning,straffområde,z2
0:05:59,villa,skott,utanför,z2
0:06:02,villa,skottyp,inlägg,0
0:06:03,sirius,utkast,0,0
0:06:06,sirius,frislag,0,z3
0:06:30,villa,utkast,0,z9
0:07:00,sirius,närkamp,0,z2
0:07:06,sirius,kontring,0,0
0:07:25,sirius,skott,räddning,z8
0:07:31,sirius,skottyp,utifrån,z8
0:07:33,villa,utkast,0,0
0:07:39,sirius,närkamp,0,z2
0:07:41,sirius,rensning,0,0
0:08:07,villa,passning,farlig,z2
0:08:13,villa,mål,spelmål,z2
0:08:19,villa,skottyp,friställande,z2
0:08:42,sirius,avslag,0,0
0:08:48,sirius,närkamp,0,z7
0:08:55,villa,närkamp,0,z7
0:09:13,villa,passning,straffområde,z2
0:09:15,sirius,boll,0,0
0:09:43,sirius,passning,lång,z8
0:09:46,sirius,offside,0,z8
0:09:59,sirius,närkamp,0,z2
0:10:01,sirius,rensning,0,0
0:10:15,villa,skott,räddning,z2
0:10:20,villa,skottyp,utifrån,z2
0:10:21,sirius,utkast,0,0
0:10:49,sirius,passning,straffområde,z8
0:10:57,sirius,inslag,0,z9
0:11:17,sirius,bolltapp,passförsök,z5
0:11:23,villa,skott,räddning,z2
0:11:27,villa,skottyp,dribbling,z2
0:11:31,sirius,boll,0,0
0:11:49,sirius,passning,lång,z5
0:11:53,villa,boll,0,0
0:12:03,sirius,närkamp,0,z3
0:12:16,sirius,frislag,0,z4
0:12:26,sirius,passning,lång,z7
0:12:32,sirius,passning,straffområde,z8
0:12:35,sirius,skott,utanför,z8
0:12:41,sirius,skottyp,inlägg,z8
0:12:44,villa,utkast,0,z8
0:13:07,sirius,närkamp,0,z5
0:13:19,sirius,40,0,z2
0:13:54,sirius,passning,straffområde,z8
0:13:57,villa,brytning,0,z8
0:14:15,sirius,närkamp,0,z2
0:14:22,sirius,kontring,0,0
0:14:30,villa,utkast,0,z7
0:14:34,sirius,närkamp,0,z4
0:14:45,sirius,skott,räddning,z8
0:14:49,sirius,skottyp,centralt,z8
0:14:51,villa,utkast,0,0
0:14:55,villa,kontring,0,0
0:15:32,villa,skott,utanför,z2
0:15:36,villa,skottyp,centralt,z2
0:15:38,sirius,utkast,0,z3
0:15:48,villa,närkamp,0,z6
0:16:02,villa,frislag,0,z2
0:16:30,sirius,brytning,0,z3
0:16:35,villa,boll,0,0
0:16:45,sirius,närkamp,0,z3
0:16:49,villa,närkamp,0,z2
0:16:54,sirius,närkamp,0,z2
0:17:06,villa,närkamp,0,z7
0:17:30,sirius,utkast,0,z3
0:17:43,villa,närkamp,0,z6
0:17:56,villa,skott,räddning,z2
0:17:59,villa,skottyp,utifrån,z2
0:18:01,villa,närkamp,0,z2
0:18:05,villa,frislag,0,z2
0:18:12,0,timeout,0,0
0:18:18,villa,boll,0,0
0:18:25,sirius,närkamp,0,z1
0:18:36,sirius,skott,utanför,z8
0:18:40,sirius,skottyp,utifrån,z8
0:18:46,villa,utkast,0,z7
0:18:58,villa,hörna,0,z1
0:19:33,villa,skott,täckt,z2
0:19:37,sirius,skottyp,fast,z2
0:19:41,villa,skott,utanför,z2
0:19:44,villa,skottyp,utifrån,0
0:19:47,sirius,utkast,0,z3
0:19:57,sirius,passning,lång,0
0:19:59,villa,boll,0,0
0:20:23,villa,skott,räddning,z2
0:20:27,villa,skottyp,centralt,z2
0:20:29,villa,hörna,0,z1
0:20:59,villa,skott,täckt,z2
0:21:02,villa,skottyp,fast,z2
0:21:14,sirius,närkamp,0,z7
0:21:20,sirius,passning,straffområde,z8
0:21:24,villa,utkast,0,z7
0:22:16,villa,frislag,0,z3
0:22:32,villa,offside,0,0
0:22:38,sirius,40,0,z2
0:22:46,sirius,passning,lång,0
0:22:48,sirius,offside,0,0
0:23:41,villa,mål,spelmål,z2
0:23:49,villa,skottyp,centralt,z2
0:24:19,sirius,avslag,0,0
0:24:35,sirius,skott,utanför,z8
0:24:37,sirius,skottyp,utifrån,z8
0:24:39,villa,utkast,0,0
0:25:02,villa,passning,straffområde,z2
0:25:03,sirius,utkast,0,0
0:25:14,sirius,skott,täckt,z8
0:25:18,sirius,skottyp,utifrån,z8
0:25:19,villa,boll,0,0
0:25:33,sirius,utvisning,10,0
0:27:35,villa,frislag,0,z3
0:28:03,sirius,brytning,0,z6
0:28:10,sirius,skott,utanför,z8
0:28:13,sirius,skottyp,utifrån,z8
0:28:16,villa,boll,0,0
0:28:28,sirius,närkamp,0,z2
0:28:42,sirius,timeout,0,0
0:30:35,sirius,frislag,0,z4
0:30:44,sirius,passning,lång,0
0:30:50,sirius,skott,räddning,z8
0:31:00,sirius,skottyp,friställande,z8
0:31:02,villa,boll,0,0
0:31:13,villa,skott,räddning,z2
0:31:19,villa,skottyp,centralt,z2
0:31:22,sirius,utkast,0,0
0:31:30,sirius,frislag,0,z4
0:31:44,sirius,skott,räddning,z9
0:31:47,sirius,skottyp,utifrån,z9
0:31:49,villa,boll,0,0
0:32:10,sirius,utkast,0,z3
0:32:30,sirius,skott,utanför,z9
0:32:33,sirius,skottyp,utifrån,z9
0:32:38,villa,utkast,0,0
0:33:20,sirius,närkamp,0,z1
0:33:23,villa,brytning,0,z4
0:34:17,sirius,närkamp,0,z2
0:34:33,villa,närkamp,0,z9
0:34:49,villa,frislag,0,z2
0:35:20,villa,frislag,0,z5
0:35:45,villa,skott,räddning,z2
0:35:48,villa,skottyp,centralt,z2
0:35:52,villa,skott,räddning,z2
0:35:55,villa,skottyp,retur,z2
0:35:59,villa,skott,räddning,z2
0:36:04,villa,skottyp,retur,z2
0:36:17,sirius,utkast,0,0
0:36:28,villa,brytning,0,z9
0:36:46,sirius,närkamp,0,z2
0:37:09,sirius,passning,straffområde,z8
0:37:10,villa,boll,0,0
0:37:33,villa,passning,straffområde,z2
0:37:36,villa,mål,spelmål,z2
0:37:57,villa,skottyp,inlägg,z2
0:38:13,sirius,avslag,0,0
0:38:33,sirius,passning,straffområde,z8
0:38:39,villa,närkamp,0,z5
0:38:48,villa,passning,straffområde,z2
0:38:52,villa,skott,utanför,z2
0:38:55,villa,skottyp,inlägg,z2
0:38:57,sirius,utkast,0,0
0:39:15,villa,utkast,0,0
0:39:39,villa,mål,spelmål,z2
0:40:00,villa,skottyp,utifrån,z2
0:40:10,sirius,avslag,0,0
0:40:30,sirius,frislag,0,z9
0:40:51,sirius,skott,utanför,z8
0:40:54,sirius,skottyp,utifrån,z8
0:40:56,villa,utkast,0,0
0:41:25,sirius,närkamp,0,z9
0:41:31,sirius,hörna,0,z9
0:41:54,sirius,skott,utanför,z8
0:41:58,sirius,skottyp,fast,z8
0:41:59,villa,utkast,0,0
0:42:17,villa,skott,räddning,z2
0:42:21,villa,skottyp,utifrån,z2
0:42:27,villa,mål,spelmål,z2
0:42:30,villa,skottyp,retur,z2
0:42:52,sirius,avslag,0,0
0:43:03,sirius,40,0,0
0:43:23,sirius,passning,straffområde,z8
0:43:29,villa,utkast,0,0
0:43:54,villa,skott,täckt,z2
0:43:57,villa,skottyp,centralt,z2
0:44:00,villa,hörna,0,z3
0:44:23,villa,skott,utanför,z2
0:44:27,villa,skottyp,fast,z2
0:44:31,sirius,utkast,0,z5
0:44:47,villa,närkamp,0,z5
0:44:55,villa,mål,spelmål,z2
0:45:12,villa,skottyp,friställande,z2
0:45:40,sirius,avslag,0,0
0:46:03,sirius,40,0,0
0:46:15,sirius,40,0,0
0:46:35,sirius,40,0,0
0:46:53,sirius,frislag,0,z4
0:47:17,villa,närkamp,0,z9
0:47:25,sirius,närkamp,0,z2
0:47:45,sirius,frislag,0,z8
0:48:09,sirius,utvisning,10,0
0:48:31,sirius,boll,0,0
0:48:54,sirius,skott,räddning,z8
0:48:57,sirius,skottyp,utifrån,z8
0:49:01,villa,utkast,0,0
0:49:06,0,stop,0,0
