time,team,event,subevent,zone,player
0:00:00,bro,avslag,0,z5,0
0:00:15,bro,passning,lång,z7,0
0:00:18,iks,brytning,0,z4,0
0:00:57,iks,passning,lång,z5,0
0:00:59,bro,brytning,0,z2,0
0:01:18,bro,passning,straffområde,z1,0
0:01:19,iks,brytning,0,z2,0
0:01:25,iks,närkamp,0,z6,0
0:01:44,iks,skott,räddning,z8,0
0:01:44,iks,skottyp,centralt,z8,0
0:01:45,iks,hörna,0,z9,0
0:02:16,iks,skott,täckt,z8,0
0:02:16,iks,skottyp,fast,z8,0
0:02:18,bro,utkast,0,z8,0
0:02:44,bro,passning,straffområde,z1,0
0:02:44,iks,brytning,0,z2,0
0:02:54,iks,närkamp,0,z1,0
0:02:55,iks,utkast,0,z2,0
0:03:05,iks,skott,täckt,z8,0
0:03:05,iks,skottyp,utifrån,z8,0
0:03:06,bro,boll,0,z8,0
0:03:35,bro,frislag,0,z7,0
0:03:52,bro,bolltapp,passförsök,z5,0
0:04:02,iks,passning,straffområde,z7,0
0:04:03,iks,skott,täckt,z8,0
0:04:03,iks,skottyp,inlägg,z8,0
0:04:04,iks,hörna,0,z9,0
0:04:40,iks,skott,utanför,z8,0
0:04:40,iks,skottyp,fast,z8,0
0:04:42,bro,utkast,0,z8,0
0:04:55,iks,närkamp,0,z1,0
0:05:09,iks,passning,farlig,z7,0
0:05:11,iks,mål,spelmål,z8,0
0:05:11,iks,skottyp,dribbling,z8,0
0:05:31,bro,timeout,0,0,0
0:07:11,bro,avslag,0,z5,0
0:08:16,iks,brytning,0,z1,0
0:08:30,iks,frislag,0,z7,0
0:09:14,iks,passning,lång,z4,0
0:09:20,bro,brytning,0,z8,0
0:09:25,bro,närkamp,0,z7,0
0:09:55,bro,passning,farlig,z2,0
0:09:57,bro,skott,räddning,z2,0
0:09:57,bro,skottyp,centralt,z2,0
0:10:00,bro,skott,täckt,z2,0
0:10:00,bro,skottyp,retur,z2,0
0:10:45,iks,brytning,0,z2,0
0:10:46,bro,hörna,0,z3,0
0:11:12,bro,skott,täckt,z2,0
0:11:12,bro,skottyp,fast,z2,0
0:11:24,bro,inslag,0,z1,0
0:11:28,bro,passning,straffområde,z1,0
0:11:30,iks,brytning,0,z2,0
0:11:31,iks,kontring,0,z2,0
0:11:40,iks,skott,utanför,z8,0
0:11:40,iks,skottyp,centralt,z8,0
0:11:42,bro,utkast,0,z8,0
0:12:25,bro,närkamp,0,z5,0
0:12:30,bro,närkamp,0,z4,0
0:14:02,bro,hörna,0,z1,0
0:14:32,bro,skott,täckt,z2,0
0:14:32,bro,skottyp,fast,z2,0
0:14:45,bro,närkamp,0,z4,0
0:15:09,iks,närkamp,0,z6,0
0:15:21,bro,närkamp,0,z9,0
0:15:50,bro,bolltapp,passförsök,z5,0
0:16:25,iks,passning,straffområde,z7,0
0:16:29,iks,hörna,0,z7,0
0:16:55,iks,skott,täckt,z8,0
0:16:55,iks,skottyp,fast,z8,0
0:16:59,bro,utkast,0,z8,0
0:17:16,iks,brytning,0,z4,0
0:17:26,iks,skott,utanför,z8,0
0:17:26,iks,skottyp,centralt,z8,0
0:17:27,bro,utkast,0,z8,0
0:17:34,bro,bolltapp,tappad,z4,0
0:17:41,iks,skott,räddning,z7,0
0:17:41,iks,skottyp,utifrån,z7,0
0:17:51,bro,utkast,0,z8,0
0:18:04,bro,skott,utanför,z2,0
0:18:04,bro,skottyp,utifrån,z2,0
0:18:10,iks,utkast,0,z2,0
0:18:24,iks,passning,farlig,z7,0
0:18:25,bro,utkast,0,z8,0
0:19:08,bro,frislag,0,z5,0
0:19:22,bro,passning,lång,z5,0
0:19:24,iks,utkast,0,z2,0
0:19:41,iks,passning,lång,z4,0
0:19:44,iks,passning,straffområde,z7,0
0:19:45,bro,brytning,0,z8,0
0:19:51,bro,utkast,0,z8,0
0:20:25,bro,bolltapp,tappad,z4,0
0:20:35,iks,skott,utanför,z8,0
0:20:35,iks,skottyp,utifrån,z8,0
0:20:36,bro,utkast,0,z8,0
0:20:50,bro,bolltapp,tappad,z5,0
0:20:54,iks,skott,utanför,z8,0
0:20:54,iks,skottyp,utifrån,z8,0
0:20:55,bro,utkast,0,z8,0
0:21:20,bro,bolltapp,passförsök,z5,0
0:21:22,iks,utkast,0,z2,0
0:21:40,iks,passning,farlig,z8,0
0:21:42,bro,brytning,0,z8,0
0:21:44,bro,utkast,0,z8,0
0:22:04,bro,passning,farlig,z2,0
0:22:08,iks,utkast,0,z2,0
0:23:11,iks,frislag,0,z7,0
0:23:28,iks,skott,täckt,z8,0
0:23:28,iks,skottyp,centralt,z8,0
0:23:29,iks,hörna,0,z9,0
0:23:59,iks,mål,hörnmål,z8,0
0:23:59,iks,skottyp,fast,z8,0
0:24:29,bro,avslag,0,z5,0
0:24:58,bro,passning,lång,z4,0
0:24:59,iks,brytning,0,z4,0
0:25:12,iks,passning,lång,z5,0
0:25:14,bro,brytning,0,z8,0
0:25:28,iks,brytning,0,z2,0
0:26:18,iks,skott,utanför,z8,0
0:26:18,iks,skottyp,utifrån,z8,0
0:26:23,bro,utkast,0,z8,0
0:26:45,iks,utkast,0,z2,0
0:27:08,iks,passning,straffområde,z7,0
0:27:09,bro,brytning,0,z8,0
0:27:16,bro,bolltapp,passförsök,z7,0
0:27:22,iks,närkamp,0,z8,0
0:27:32,bro,passning,straffområde,z3,0
0:27:35,iks,brytning,0,z2,0
0:27:36,iks,kontring,0,z2,0
