time,team,event,subevent,zone,player
0:45:00,iks,avslag,0,0,0
0:45:24,iks,mål,spelmål,z2,10
0:45:24,iks,skottyp,retur,z2,10
0:45:57,mot,avslag,0,0,0
0:46:20,mot,offside,0,z6,0
0:47:54,iks,skott,räddning,z2,0
0:47:54,iks,skottyp,utifrån,z2,0
0:47:54,mot,boll,0,0,0
0:48:15,iks,boll,0,0,0
0:48:25,iks,inslag,0,z6,0
0:48:42,iks,passning,lång,z4,0
0:48:50,iks,hörna,0,z1,0
0:49:17,iks,skott,täckt,z2,0
0:49:17,iks,skottyp,fast,z2,0
0:49:17,mot,boll,0,0,0
0:49:34,iks,boll,0,0,0
0:49:49,mot,brytning,0,z2,0
0:50:10,iks,brytning,0,z8,0
0:50:57,iks,bolltapp,passförsök,z4,0
0:51:28,iks,boll,0,0,0
0:52:15,iks,närkamp,0,z8,0
0:52:24,iks,passning,lång,z8,0
0:52:30,iks,boll,0,0,0
0:52:59,mot,skott,utanför,z8,0
0:52:59,mot,skottyp,centralt,z8,0
0:52:59,iks,boll,0,0,0
0:53:21,mot,frislag,0,z3,0
0:55:06,mot,hörna,0,z9,0
0:55:33,mot,mål,hörnmål,z8,0
0:55:33,mot,skottyp,fast,z8,0
0:56:04,iks,avslag,0,0,0
0:56:25,mot,frislag,0,z4,0
0:56:25,iks,utvisning,10a,0,66
0:57:20,mot,skott,täckt,z8,0
0:57:20,mot,skottyp,utifrån,z8,0
0:57:20,mot,hörna,0,z7,0
0:57:50,mot,skott,täckt,z8,0
0:57:50,mot,skottyp,fast,z8,0
0:57:50,mot,boll,0,0,0
0:58:33,mot,frislag,0,z7,0
0:58:55,iks,brytning,0,z4,0
0:59:33,iks,närkamp,0,z5,0
0:59:44,iks,hörna,0,z1,0
1:00:13,iks,skott,täckt,z2,0
1:00:13,iks,skottyp,fast,z2,0
1:00:13,mot,boll,0,0,0
1:00:38,iks,brytning,0,z8,0
1:00:46,iks,frislag,0,z4,0
1:01:08,mot,boll,0,0,0
1:01:20,mot,bolltapp,passförsök,z5,0
1:01:40,iks,brytning,0,z2,0
1:01:53,iks,frislag,0,z5,0
1:02:10,iks,frislag,0,z3,0
1:02:50,iks,närkamp,0,z6,0
1:03:00,mot,brytning,0,z4,0
1:03:40,iks,boll,0,0,0
1:04:19,mot,närkamp,0,z6,0
1:04:44,iks,brytning,0,z7,0
1:05:00,mot,brytning,0,z2,0
1:05:16,iks,boll,0,0,0
1:05:25,mot,brytning,0,z9,0
1:06:00,mot,inslag,0,z1,0
1:06:20,mot,bolltapp,passförsök,z5,0
1:06:35,iks,skott,utanför,z2,0
1:06:35,iks,skottyp,utifrån,z2,0
1:06:35,mot,boll,0,0,0
1:07:12,mot,inslag,0,z7,0
1:07:43,mot,frislag,0,z9,0
1:08:20,iks,brytning,0,z9,0
1:08:35,iks,passning,lång,z5,0
1:08:40,mot,boll,0,0,0
1:08:50,iks,brytning,0,z5,0
1:09:30,mot,brytning,0,z6,0
