time,team,event,subevent,zone,player
0:00:00,eds,avslag,0,z5,0
0:00:13,eds,hörna,0,z9,0
0:00:45,eds,skott,utanför,z8,0
0:00:45,eds,skottyp,fast,z8,0
0:00:50,iks,utkast,0,z8,0
0:01:22,iks,passning,lång,z4,0
0:01:25,eds,utkast,0,z2,0
0:02:00,eds,passning,straffområde,z7,0
0:02:03,iks,brytning,0,z8,0
0:02:03,iks,utkast,0,z8,0
0:02:11,iks,passning,lång,z6,0
0:02:15,eds,brytning,0,z2,0
0:02:33,eds,passning,straffområde,z8,0
0:02:38,iks,brytning,0,z8,0
0:02:50,iks,skott,utanför,z2,0
0:02:50,iks,skottyp,utifrån,z2,0
0:02:52,eds,utkast,0,z2,0
0:03:20,eds,frislag,0,z7,0
0:04:03,eds,skott,utanför,z8,0
0:04:03,eds,skottyp,dribbling,z8,0
0:04:05,iks,utkast,0,z8,0
0:04:33,eds,utkast,0,z2,0
0:04:50,iks,närkamp,0,z5,0
0:04:58,eds,närkamp,0,z2,0
0:05:06,eds,närkamp,0,z3,0
0:05:24,eds,skott,utanför,z5,0
0:05:24,eds,skottyp,utifrån,z5,0
0:05:25,iks,utkast,0,z8,0
0:05:51,eds,utkast,0,z2,0
0:06:01,eds,bolltapp,tappad,z5,0
0:06:07,eds,brytning,0,z5,0
0:06:24,eds,passning,straffområde,z7,0
0:06:26,iks,rensning,0,z8,0
0:06:33,iks,närkamp,0,z5,0
0:06:34,iks,kontring,0,z5,0
0:06:40,iks,skott,utanför,z2,0
0:06:40,iks,skottyp,utifrån,z2,0
0:06:42,eds,utkast,0,z2,0
0:07:11,eds,bolltapp,passförsök,z4,0
0:07:50,iks,närkamp,0,z5,0
0:08:12,iks,passning,lång,z5,0
0:08:15,eds,brytning,0,z2,0
0:08:25,iks,närkamp,0,z6,0
0:08:27,iks,frislag,0,z6,0
0:09:22,iks,passning,lång,z5,0
0:09:26,eds,utkast,0,z2,0
0:09:42,eds,närkamp,0,z9,0
0:09:46,eds,hörna,0,z9,0
0:10:12,eds,skott,utanför,z8,0
0:10:12,eds,skottyp,fast,z8,0
0:10:17,iks,utkast,0,z8,0
0:11:03,iks,frislag,0,z1,0
0:11:48,iks,skott,täckt,z2,0
0:11:48,iks,skottyp,centralt,z2,0
0:11:49,eds,rensning,0,z2,0
0:11:51,eds,närkamp,0,z5,0
0:11:57,eds,kontring,0,z5,0
0:11:59,iks,utkast,0,z8,0
0:12:15,iks,passning,straffområde,z3,0
0:12:16,eds,utkast,0,z2,0
0:12:28,eds,frislag,0,z6,0
0:12:50,iks,brytning,0,z8,0
0:13:09,iks,skott,räddning,z3,0
0:13:09,iks,skottyp,utifrån,z3,0
0:13:10,iks,offside,0,z2,0
0:13:26,eds,frislag,0,z4,0
0:13:53,eds,passning,straffområde,z7,0
0:13:54,iks,brytning,0,z8,0
0:13:55,iks,utkast,0,z8,0
0:14:31,iks,passning,farlig,z2,0
0:14:32,iks,skott,täckt,z2,0
0:14:32,iks,skottyp,centralt,z2,0
0:14:33,iks,hörna,0,z2,0
0:15:00,iks,skott,utanför,z2,0
0:15:00,iks,skottyp,fast,z2,0
0:15:04,eds,utkast,0,z2,0
0:15:14,eds,skott,utanför,z8,0
0:15:14,eds,skottyp,utifrån,z8,0
0:15:15,iks,utkast,0,z8,0
0:15:42,iks,bolltapp,passförsök,z5,0
0:16:00,eds,skott,täckt,z8,0
0:16:00,eds,skottyp,dribbling,z8,0
0:16:01,eds,straff,0,z8,0
0:16:54,eds,skott,räddning,z8,0
0:16:54,eds,skottyp,fast,z8,0
0:16:55,iks,rensning,0,z8,0
0:16:56,iks,boll,0,z8,0
0:17:02,iks,närkamp,0,z4,0
0:17:13,eds,närkamp,0,z2,0
0:17:27,eds,passning,straffområde,z9,0
0:17:28,iks,brytning,0,z7,0
0:17:34,iks,passning,lång,z4,0
0:17:37,eds,brytning,0,z2,0
0:17:50,eds,skott,räddning,z8,0
0:17:50,eds,skottyp,utifrån,z8,0
0:17:53,eds,offside,0,z8,0
0:18:10,iks,passning,lång,z5,0
0:18:14,eds,utkast,0,z2,0
0:18:33,eds,passning,lång,z6,0
0:18:37,eds,offside,0,z2,0
0:19:02,iks,passning,straffområde,z1,0
0:19:12,iks,frislag,0,z3,0
0:19:50,iks,frislag,0,z1,0
0:19:55,iks,hörna,0,z1,0
