time,team,event,subevent,zone,player
0:00:00,fri,avslag,0,z5,0
0:00:05,fri,passning,lång,z5,0
0:00:08,iks,brytning,0,z2,12
0:00:21,iks,skott,räddning,z8,17
0:00:22,iks,skottyp,utifrån,z8,17
0:00:27,fri,rensning,0,z8,0
0:00:42,iks,närkamp,0,z4,97
0:00:45,iks,inslag,0,z7,0
0:01:22,iks,närkamp,0,z9,12
0:01:28,iks,bolltapp,tappad,z4,17
0:01:35,iks,närkamp,0,z5,0
0:01:42,iks,passning,straffområde,z9,0
0:01:43,fri,rensning,0,z8,0
0:01:44,fri,boll,0,0,0
0:01:55,fri,passning,farlig,z3,0
0:01:57,fri,offside,0,z8,0
0:02:19,iks,passning,lång,z6,66
0:02:21,fri,utkast,0,z8,0
0:02:23,fri,närkamp,0,z8,0
0:02:33,iks,närkamp,0,z4,15
0:02:53,iks,skott,täckt,z8,97
0:02:55,iks,skottyp,utifrån,z8,97
0:03:04,iks,närkamp,0,z5,12
0:03:24,iks,frislag,0,z8,17
0:03:30,iks,skott,utanför,z8,10
0:03:31,iks,skottyp,utifrån,z8,10
0:03:35,fri,utkast,0,z8,0
0:04:40,iks,närkamp,0,z5,12
0:04:42,iks,bolltapp,passförsök,z5,15
0:05:16,fri,passning,lång,z4,0
0:05:20,fri,mål,spelmål,z2,13
0:05:22,fri,skottyp,friställande,z2,13
0:06:00,iks,avslag,0,z5,0
0:06:19,iks,mål,spelmål,z8,20
0:06:20,iks,skottyp,utifrån,z8,20
0:07:38,fri,avslag,0,z5,0
0:07:56,iks,närkamp,0,z5,39
0:08:05,iks,inslag,0,z9,0
0:08:22,fri,utkast,0,z8,0
0:08:38,fri,skott,räddning,z2,13
0:08:40,fri,skottyp,centralt,z2,13
0:08:45,iks,utkast,0,z2,0
0:08:57,iks,passning,straffområde,z7,39
0:09:00,iks,hörna,0,z7,0
0:09:30,iks,skott,täckt,z7,66
0:09:32,iks,skottyp,fast,z7,66
0:09:40,fri,utkast,0,z8,0
0:09:50,fri,offside,0,z9,0
0:10:05,iks,passning,lång,z5,66
0:10:07,fri,brytning,0,z8,0
0:10:28,iks,inslag,0,z6,0
0:10:48,iks,passning,straffområde,z9,20
0:10:52,fri,utkast,0,z8,0
0:11:08,fri,bolltapp,passförsök,z5,0
0:11:18,fri,närkamp,0,z7,0
0:11:23,fri,inslag,0,z4,0
0:11:45,fri,passning,lång,z6,0
0:11:47,iks,utkast,0,z2,0
0:12:06,iks,hörna,0,z7,0
0:12:36,iks,skott,täckt,z7,66
0:12:37,iks,skottyp,fast,z7,66
0:12:38,iks,skott,täckt,z8,17
0:12:39,iks,skottyp,retur,z8,17
0:12:42,fri,rensning,0,z8,0
0:13:00,iks,närkamp,0,z3,17
0:13:03,iks,frislag,0,z6,17
0:13:26,iks,offside,0,z9,0
0:13:30,fri,timeout,0,0,0
0:15:17,fri,frislag,0,z9,0
0:15:31,iks,närkamp,0,z6,61
0:15:38,iks,passning,lång,z5,7
0:15:39,fri,brytning,0,z8,0
0:15:44,iks,inslag,0,z7,0
0:15:55,iks,närkamp,0,z7,17
0:16:10,iks,passning,farlig,z5,17
0:16:15,iks,offside,0,z8,0
0:16:45,iks,närkamp,0,z5,17
0:17:07,iks,bolltapp,tappad,z8,17
0:17:15,fri,utkast,0,z8,0
0:17:20,iks,närkamp,0,z2,7
0:17:34,iks,skott,utanför,z8,17
0:17:35,iks,skottyp,utifrån,z8,17
0:17:40,fri,utkast,0,z8,0
0:17:53,fri,inslag,0,z4,0
0:18:15,fri,passning,lång,z6,0
0:18:20,iks,utkast,0,z2,13
0:18:40,iks,passning,straffområde,z9,97
0:18:45,iks,hörna,0,z7,0
0:19:09,iks,skott,utanför,z7,10
0:19:10,iks,skottyp,fast,z7,10
0:19:15,fri,utkast,0,z8,0
0:19:34,fri,bolltapp,0,tappad,z8
0:19:40,fri,utkast,0,z8,0
0:20:10,fri,passning,0,straffområde,z3
0:20:12,fri,hörna,0,z1,0
0:20:39,iks,brytning,0,z2,2
0:20:49,fri,passning,lång,z4,0
0:20:53,iks,utkast,0,z2,0
0:21:31,iks,skott,utanför,z7,6
0:21:32,iks,skottyp,utifrån,z7,6
0:21:50,fri,utkast,0,z8,0
0:22:10,fri,närkamp,0,z6,0
0:22:35,iks,brytning,0,z3,61
0:23:11,iks,passning,straffområde,z9,61
0:23:15,fri,brytning,0,z8,0
0:23:20,fri,utkast,0,z8,0
0:23:21,fri,passning,lång,z8,0
0:23:25,iks,brytning,0,z6,2
0:23:47,fri,närkamp,0,z7,0
0:23:54,fri,frislag,0,z7,0
0:24:34,fri,bolltapp,tappad,z7,0
0:24:40,iks,hörna,0,z7,0
0:25:10,iks,boll,0,0,0
0:26:20,iks,passning,farlig,z8,6
0:26:25,fri,utkast,0,z8,0
0:26:48,fri,passning,straffområde,z3,0
0:26:50,fri,hörna,0,z1,0
0:27:15,fri,skott,täckt,z7,13
0:27:17,fri,skottyp,fast,z7,13
0:27:22,fri,skott,utanför,z8,13
0:27:23,fri,skottyp,utifrån,z8,13
0:27:30,iks,utkast,0,z2,0
0:27:53,iks,bolltapp,tappad,z9,61
0:28:02,fri,bolltapp,tappad,z3,0
