time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,0,0
0:00:08,iks,passning,lång,z3,61
0:00:10,ham,boll,0,0,0
0:00:24,iks,brytning,0,z6,0
0:00:30,iks,skott,räddning,z8,10
0:00:30,iks,skottyp,friställande,z8,10
0:00:30,ham,boll,0,0,0
0:00:40,iks,brytning,0,z4,0
0:00:48,iks,skott,utanför,z7,88
0:00:48,iks,skottyp,utifrån,z7,88
0:00:48,ham,boll,0,0,0
0:01:57,iks,närkamp,0,z6,0
0:02:23,ham,brytning,0,z4,0
0:02:35,ham,skott,räddning,z2,13
0:02:35,ham,skottyp,utifrån,z2,13
0:02:35,iks,boll,0,0,0
0:02:59,iks,närkamp,0,z9,0
0:03:33,iks,frislag,0,z6,0
0:03:47,iks,passning,lång,z5,2
0:03:48,ham,boll,0,0,0
0:04:14,ham,boll,0,z9,0
0:04:20,iks,hörna,0,z9,39
0:04:48,iks,skott,täckt,z2,70
0:04:48,iks,skottyp,fast,z2,70
0:04:48,iks,boll,0,0,0
0:04:54,iks,skott,utanför,z7,15
0:04:54,iks,skottyp,utifrån,z7,15
0:04:54,ham,boll,0,0,0
0:05:18,ham,bolltapp,tappad,z7,0
0:05:26,iks,hörna,0,z7,0
0:05:56,iks,skott,täckt,z8,0
0:05:56,iks,skottyp,fast,z8,0
0:05:56,ham,boll,0,0,0
0:06:08,iks,brytning,0,z9,0
0:06:09,iks,skott,räddning,z8,0
0:06:09,iks,skottyp,friställande,z8,0
0:06:09,ham,boll,0,0,0
0:06:23,ham,passning,lång,z5,0
0:06:30,ham,inslag,0,z1,0
0:06:55,iks,boll,0,0,0
0:07:41,iks,bolltapp,passförsök,z5,0
0:07:54,iks,brytning,0,z5,0
0:08:05,iks,mål,spelmål,z8,0
0:08:05,iks,skottyp,dribbling,z8,0
0:08:44,ham,avslag,0,0,0
0:09:08,ham,skott,utanför,z2,13
0:09:08,ham,skottyp,centralt,z2,13
0:09:08,iks,boll,0,0,0
0:09:39,iks,bolltapp,passförsök,z9,0
0:09:50,iks,närkamp,0,z3,0
0:10:40,iks,bolltapp,passförsök,z5,0
0:10:48,ham,passning,lång,z6,0
0:10:51,iks,brytning,0,z2,0
0:11:01,ham,hörna,0,z3,0
0:11:27,iks,skott,täckt,z2,0
0:11:27,ham,skottyp,fast,z2,13
0:11:27,iks,boll,0,0,0
0:11:31,iks,frislag,0,z2,0
0:11:54,iks,frislag,0,z7,0
0:12:28,iks,inslag,0,z7,0
0:12:55,iks,bolltapp,passförsök,z5,0
0:13:11,ham,offside,0,0,0
0:13:38,iks,passning,lång,z5,0
0:13:40,ham,boll,0,0,0
0:14:06,iks,hörna,0,z7,0
0:14:34,iks,skott,utanför,z8,0
0:14:34,iks,skottyp,fast,z8,0
0:14:34,ham,boll,0,0,0
0:15:00,ham,bolltapp,passförsök,z4,0
0:15:38,iks,bolltapp,passförsök,z5,0
0:16:04,ham,offside,0,0,0
0:16:30,ham,brytning,0,z7,0
0:16:36,iks,brytning,0,z4,0
0:16:49,ham,boll,0,0,0
0:17:12,ham,mål,spelmål,z2,13
0:17:12,ham,skottyp,inlägg,z2,13
0:17:47,iks,avslag,0,0,0
0:18:03,iks,frislag,0,z5,0
0:19:02,iks,passning,lång,z2,0
0:19:05,ham,boll,0,0,0
0:19:23,ham,offside,0,0,0
0:19:50,ham,brytning,0,z6,0
0:20:00,ham,frislag,0,z6,0
0:20:50,ham,hörna,0,z1,0
0:21:18,ham,skott,utanför,z2,13
0:21:18,ham,skottyp,fast,z2,13
0:21:18,iks,boll,0,0,0
0:22:14,iks,skott,utanför,z8,0
0:22:14,iks,skottyp,centralt,z8,0
0:22:14,ham,boll,0,0,0
0:22:35,ham,skott,räddning,z2,13
0:22:35,ham,skottyp,utifrån,z2,13
0:22:35,ham,hörna,0,z3,0
0:23:02,ham,skott,utanför,z2,13
0:23:02,ham,skottyp,fast,z2,13
0:23:02,iks,boll,0,0,0
0:24:10,iks,frislag,0,z4,0
0:24:24,iks,passning,lång,z5,0
0:24:28,iks,skott,utanför,z8,0
0:24:28,iks,skottyp,centralt,z8,0
0:24:28,ham,boll,0,0,0
0:24:45,ham,offside,0,0,0
0:25:20,ham,brytning,0,z7,0
0:25:37,ham,frislag,0,z1,0
0:25:37,iks,utvisning,10a,z1,15
0:27:09,iks,frislag,0,z2,0
0:28:01,iks,skott,räddning,z8,0
0:28:01,iks,skottyp,utifrån,z8,0
0:28:01,ham,boll,0,0,0
0:28:05,iks,brytning,0,z5,0
0:28:17,iks,hörna,0,z7,0
0:28:47,iks,skott,utanför,z8,0
0:28:47,iks,skottyp,fast,z8,0
0:28:47,ham,boll,0,0,0
0:29:20,iks,brytning,0,z3,0
0:30:07,ham,närkamp,0,z7,0
0:31:15,ham,hörna,0,z1,0
0:31:44,ham,skott,täckt,z2,13
0:31:44,ham,skottyp,fast,z2,13
0:31:44,iks,boll,0,0,0
0:32:00,iks,hörna,0,z9,0
0:32:37,iks,skott,täckt,z8,0
0:32:37,iks,skottyp,fast,z8,0
0:32:37,ham,boll,0,0,0
0:32:54,iks,boll,0,0,0
0:33:17,iks,bolltapp,passförsök,z5,0
0:33:34,ham,bolltapp,passförsök,z5,0
0:33:44,iks,frislag,0,z6,0
0:34:25,ham,brytning,0,z7,0
0:34:31,ham,frislag,0,z1,0
0:34:58,iks,brytning,0,z6,0
0:35:05,iks,inslag,0,z6,0
0:35:34,iks,mål,spelmål,z8,20
0:35:34,iks,friläge,0,z8,20
0:36:10,ham,avslag,0,0,0
0:36:36,iks,närkamp,0,z3,0
0:36:54,iks,bolltapp,passförsök,z6,0
0:37:04,iks,brytning,0,z2,0
0:37:17,ham,brytning,0,z6,0
0:37:30,ham,frislag,0,z1,0
0:38:12,ham,hörna,0,z1,0
0:38:35,ham,skott,utanför,z2,13
0:38:35,ham,skottyp,fast,z2,13
0:38:35,iks,boll,0,0,0
0:39:24,iks,frislag,0,z4,0
0:39:52,iks,frislag,0,z7,0
0:40:31,ham,brytning,0,z8,0
0:40:41,ham,bolltapp,passförsök,z2,0
0:40:56,iks,passning,lång,z5,0
0:40:58,ham,boll,0,0,0
0:41:36,ham,hörna,0,z3,0
0:42:02,ham,skott,täckt,z2,13
0:42:02,ham,skottyp,fast,z2,13
0:42:02,iks,boll,0,0,0
0:42:20,iks,frislag,0,z6,0
0:42:35,iks,inslag,0,z6,0
0:42:41,iks,bolltapp,passförsök,z5,0
0:42:46,ham,skott,räddning,z2,13
0:42:46,ham,skottyp,utifrån,z2,13
0:42:46,ham,hörna,0,z3,0
0:43:12,ham,skott,utanför,z2,13
0:43:12,ham,skottyp,fast,z2,13
0:43:12,iks,boll,0,0,0
0:43:37,ham,brytning,0,z7,0
0:43:50,ham,hörna,0,z3,0
0:44:15,iks,skott,räddning,z2,0
0:44:15,ham,skottyp,fast,z2,13
0:44:15,iks,boll,0,0,0
0:45:30,iks,frislag,0,z9,0
45:55,0,stop,0,0,0
