time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:07,iks,passning,lång,z3,61
0:00:09,fri,brytning,0,z8,0
0:00:21,fri,frislag,0,z6,0
0:00:43,iks,brytning,0,z4,7
0:00:54,iks,närkamp,0,z5,17
0:00:57,iks,skott,räddning,z9,17
0:00:58,iks,skottyp,utifrån,z9,17
0:01:03,fri,utkast,0,z8,0
0:01:16,fri,frislag,0,z6,0
0:01:38,fri,bolltapp,passförsök,z1,0
0:01:40,iks,utkast,0,z2,13
0:01:43,iks,passning,lång,z4,66
0:01:46,fri,brytning,0,z8,0
0:01:48,fri,passning,lång,z8,0
0:01:52,fri,offside,0,z2,0
0:02:05,iks,passning,lång,z3,61
0:02:10,iks,skott,räddning,z8,88
0:02:13,iks,skottyp,friställande,z8,88
0:02:17,fri,rensning,0,z8,0
0:02:20,iks,inslag,0,z9,0
0:02:36,iks,passning,straffområde,z9,61
0:02:37,fri,utkast,0,z8,0
0:02:38,fri,passning,lång,z8,0
0:02:45,iks,brytning,0,z2,2
0:02:55,iks,frislag,0,z1,17
0:03:00,iks,passning,lång,z2,66
0:03:05,fri,brytning,0,z8,0
0:03:19,fri,bolltapp,tappad,z3,0
0:03:20,iks,utkast,0,z2,13
0:03:52,iks,passning,lång,z1,66
0:03:55,fri,utkast,0,z8,0
0:04:11,fri,hörna,0,z1,0
0:04:40,fri,skott,utanför,z1,13
0:04:41,fri,skottyp,fast,z1,13
0:04:45,iks,utkast,0,z2,13
0:04:58,fri,närkamp,0,z5,0
0:05:05,fri,mål,spelmål,z2,13
0:05:07,fri,skottyp,utifrån,z2,13
0:05:40,iks,avslag,0,z5,0
0:05:45,iks,passning,lång,z1,0
0:05:50,fri,brytning,0,z8,0
0:05:58,fri,inslag,0,z4,0
0:06:14,fri,frislag,0,z7,0
0:06:34,fri,närkamp,0,z5,0
0:06:45,fri,passning,lång,z4,0
0:06:49,iks,brytning,0,z2,13
0:06:52,iks,utkast,0,z2,13
0:07:06,iks,passning,lång,z1,17
0:07:09,fri,brytning,0,z2,0
0:07:24,fri,hörna,0,z3,0
0:07:50,iks,boll,0,z2,0
0:07:57,fri,närkamp,0,z5,0
0:08:02,fri,passning,lång,z5,0
0:08:08,iks,brytning,0,z2,97
0:08:18,iks,passning,straffområde,z7,39
0:08:20,fri,rensning,0,z8,0
0:08:26,iks,passning,straffområde,z7,17
0:08:30,fri,rensning,0,z8,0
0:08:32,iks,inslag,0,z7,0
0:08:40,iks,skott,räddning,z7,97
0:08:42,iks,skottyp,utifrån,z7,97
0:08:46,fri,utkast,0,z8,0
0:08:50,fri,passning,lång,z7,0
0:08:55,iks,utkast,0,z2,13
0:09:02,iks,närkamp,0,z4,17
0:09:07,iks,frislag,0,z4,17
0:09:15,iks,passning,lång,z4,17
0:09:20,iks,skott,täckt,z8,39
0:09:21,iks,skottyp,utifrån,z8,39
0:09:29,iks,passning,lång,z3,2
0:09:30,fri,brytning,0,z6,0
0:09:32,fri,rensning,0,z4,0
0:09:46,iks,passning,lång,z1,66
0:09:58,iks,närkamp,0,z6,61
0:10:02,iks,närkamp,0,z4,7
0:10:10,iks,frislag,0,z5,15
0:10:16,iks,passning,lång,z5,7
0:10:20,fri,utkast,0,z8,0
0:10:26,fri,passning,lång,z9,0
0:10:33,fri,mål,spelmål,z8,13
0:10:35,fri,skottyp,centralt,z8,13
0:11:05,iks,avslag,0,z5,0
0:11:08,iks,passning,lång,z3,0
0:11:12,fri,brytning,0,z8,0
0:11:16,iks,närkamp,0,z7,66
0:11:20,iks,passning,straffområde,z7,39
0:11:22,iks,hörna,0,z9,0
0:11:50,iks,skott,utanför,z9,97
0:11:52,iks,skottyp,fast,z9,97
0:12:00,fri,utkast,0,z8,0
0:12:08,iks,närkamp,0,z4,6
0:12:11,iks,passning,lång,z4,10
0:12:16,fri,rensning,0,z7,0
0:12:18,iks,inslag,0,z7,0
0:12:30,iks,passning,lång,z7,17
0:12:39,iks,skott,utanför,z8,6
0:12:40,iks,skottyp,centralt,z8,6
0:12:50,fri,utkast,0,z8,0
0:12:53,fri,passning,lång,z8,0
0:13:02,iks,närkamp,0,z5,15
0:13:08,fri,brytning,0,z5,0
0:13:10,fri,frislag,0,z1,0
0:13:37,fri,passning,lång,z1,0
0:13:47,fri,inslag,0,z1,0
0:14:02,fri,passning,lång,z1,0
0:14:10,fri,skott,utanför,z2,13
0:14:12,fri,skottyp,utifrån,z2,13
0:14:15,iks,utkast,0,z2,13
0:14:30,iks,inslag,0,z1,0
0:14:35,iks,passning,lång,z1,7
0:14:44,fri,rensing,0,z8,0
0:14:50,iks,inslag,0,z6,0
0:14:55,iks,passning,lång,z6,61
0:15:04,iks,skott,täckt,z8,88
0:15:05,iks,skottyp,centralt,z8,88
0:15:06,iks,skott,täckt,z8,7
0:15:07,iks,skottyp,centralt,z8,7
0:15:08,iks,skott,räddning,z8,10
0:15:09,iks,skottyp,centralt,z8,10
0:15:25,fri,utkast,0,z8,0
0:15:26,fri,passning,lång,z8,0
0:15:33,iks,utkast,z2,13,13
0:15:40,iks,passning,lång,z1,7
0:15:45,fri,rensning,0,z8,0
0:15:48,iks,passning,lång,z4,7
0:15:54,fri,utkast,0,z8,0
0:16:07,fri,bolltapp,tappad,z1,0
0:16:09,iks,utkast,0,z2,13
0:16:22,iks,passning,lång,z3,61
0:16:34,iks,skott,täckt,z8,6
0:16:36,iks,skottyp,utifrån,z8,6
0:16:42,iks,inslag,0,z9,0
0:16:53,iks,passning,straffområde,z9,97
0:17:08,iks,närkamp,0,z7,7
0:17:10,iks,närkamp,0,z7,97
0:17:12,iks,frislag,0,z7,7
0:17:23,iks,passning,lång,z7,7
0:17:30,fri,utkast,0,z8,0
0:17:33,fri,passning,lång,z8,0
0:17:36,iks,brytning,0,z2,2
0:17:38,fri,närkamp,0,z2,0
0:17:44,fri,bolltapp,tappad,z1,0
0:17:46,iks,utkast,0,z2,13
0:18:01,iks,passning,lång,z6,66
0:18:08,fri,utkast,0,z8,0
0:18:10,fri,passning,lång,z6,0
0:18:12,iks,brytning,0,z2,2
0:18:27,iks,passning,farlig,z5,97
0:18:31,iks,offside,0,z8,0
0:18:38,fri,passning,lång,z6,0
0:18:46,fri,skott,täckt,z1,13
0:18:48,fri,skottyp,utifrån,z1,13
0:19:00,iks,passning,lång,z5,10
0:19:03,fri,utkast,0,z8,0
0:19:23,fri,frislag,0,z3,0
0:19:32,fri,passning,lång,z3,0
0:19:37,iks,närkamp,0,z2,15
0:19:46,iks,bolltapp,passförsök,z4,10
0:19:53,fri,frislag,0,z7,0
0:20:05,fri,passning,lång,z4,0
0:20:10,iks,utkast,0,z2,13
0:20:20,fri,närkamp,0,z7,0
0:20:32,iks,inslag,0,z4,0
0:20:40,iks,passning,lång,z4,7
0:20:47,fri,utkast,0,z8,0
0:21:02,fri,inslag,0,z1,0
0:21:18,fri,passning,lång,z1,0
0:21:25,iks,utkast,0,z2,13
0:21:38,fri,inslag,0,z7,0
0:21:50,fri,passning,lång,z7,0
0:21:55,iks,utkast,0,z2,13
0:22:02,fri,närkamp,0,z4,0
0:22:19,iks,närkamp,0,z6,6
0:22:27,iks,passning,lång,z1,7
0:22:29,fri,brytning,0,z8,0
0:22:31,fri,bolltapp,passförsök,z5,0
0:22:35,iks,passning,lång,z3,12
0:22:39,fri,brytning,0,z5,0
0:22:42,iks,närkamp,0,z9,97
0:22:45,iks,frislag,0,z9,97
0:23:01,iks,passning,lång,z9,2
0:23:06,iks,mål,spelmål,z8,39
0:23:07,iks,skottyp,centralt,z8,39
