time,team,event,subevent,zone,player
0:00:00,mot,avslag,0,0,0
0:00:06,mot,frislag,0,z8,0
0:00:27,mot,inslag,0,z3,0
0:00:35,mot,hörna,0,z3,0
0:01:10,mot,skott,täckt,z2,13
0:01:10,mot,skottyp,fast,z2,13
0:01:10,mot,boll,0,0,0
0:01:23,mot,bolltapp,tappad,z8,0
0:01:25,iks,mål,spelmål,z2,15
0:01:25,iks,friläge,0,z2,15
0:01:56,mot,avslag,0,0,0
0:02:05,iks,brytning,0,z4,0
0:02:20,iks,passning,lång,z6,0
0:02:23,mot,boll,0,0,0
0:02:30,iks,brytning,0,z6,0
0:02:37,mot,boll,0,0,0
0:02:50,mot,passning,lång,z9,0
0:02:53,iks,boll,0,0,0
0:03:02,mot,brytning,0,z2,0
0:03:07,mot,skott,utanför,z2,13
0:03:07,mot,skottyp,centralt,z2,13
0:03:07,iks,boll,0,0,0
0:03:42,iks,passning,lång,z6,0
0:03:44,mot,boll,0,0,0
0:04:07,mot,skott,räddning,z2,13
0:04:07,mot,skottyp,inlägg,z2,13
0:04:07,mot,hörna,0,z3,0
0:04:36,mot,skott,täckt,z2,13
0:04:36,mot,skottyp,fast,z2,13
0:04:36,mot,boll,0,0,0
0:04:53,mot,passning,lång,z5,0
0:04:57,iks,boll,0,0,0
0:05:22,mot,brytning,0,z2,0
0:05:32,iks,inslag,0,z6,0
0:05:41,iks,passning,lång,z5,0
0:05:45,mot,boll,0,0,0
0:06:08,mot,bolltapp,tappad,z5,0
0:06:17,iks,skott,utanför,z9,0
0:06:17,iks,skottyp,utifrån,z9,0
0:06:17,mot,boll,0,0,0
0:06:50,iks,brytning,0,z3,0
0:07:12,mot,boll,0,0,0
0:07:31,mot,frislag,0,z6,0
0:08:18,iks,brytning,0,z3,0
0:08:47,iks,skott,utanför,z7,0
0:08:47,iks,skottyp,utifrån,z7,0
0:08:47,mot,boll,0,0,0
0:09:22,iks,brytning,0,z2,0
0:09:30,iks,inslag,0,z1,0
0:11:32,iks,närkamp,0,z4,0
0:11:50,iks,frislag,0,z6,0
0:12:11,iks,offside,0,z8,0
0:12:35,iks,boll,0,0,0
0:13:03,iks,bolltapp,passförsök,z5,0
0:13:22,iks,brytning,0,z4,0
0:13:57,iks,bolltapp,tappad,z4,0
0:14:02,mot,frislag,0,z4,0
0:14:38,iks,brytning,0,z5,0
0:14:55,iks,skott,räddning,z8,0
0:14:55,iks,skottyp,utifrån,z8,0
0:14:55,iks,boll,0,0,0
0:14:55,iks,offside,0,z8,0
0:15:28,iks,brytning,0,z9,0
0:15:40,mot,brytning,0,z6,0
0:15:45,iks,boll,0,0,0
0:16:13,mot,brytning,0,z8,0
0:16:30,iks,boll,0,0,0
0:17:02,iks,skott,utanför,z7,0
0:17:02,iks,skottyp,utifrån,z7,0
0:17:02,mot,boll,0,0,0
0:17:26,iks,inslag,0,z4,0
0:18:05,mot,brytning,0,z5,0
0:18:42,iks,brytning,0,z2,0
0:18:46,mot,brytning,0,z5,0
0:19:06,iks,brytning,0,z4,0
0:19:11,iks,skott,räddning,z9,0
0:19:11,iks,skottyp,utifrån,z9,0
0:19:11,mot,boll,0,0,0
0:19:55,iks,brytning,0,z2,0
0:20:03,mot,boll,0,0,0
0:20:26,mot,frislag,0,z3,0
0:20:50,iks,boll,0,0,0
0:21:00,mot,brytning,0,z9,0
0:21:19,mot,offside,0,z3,0
