time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:19,iks,passning,lång,z6,61
0:00:22,iks,offside,0,z8,0
0:00:35,bol,frislag,0,z8,0
0:00:52,iks,närkamp,0,z1,40
0:01:05,bol,närkamp,0,z7,0
0:01:40,iks,utkast,0,z2,13
0:02:29,iks,passning,straffområde,z9,61
0:02:31,iks,skott,rädddning,z8,11
0:02:32,iks,skottyp,inlägg,z8,11
0:02:34,bol,utkast,0,z8,0
0:03:05,bol,frislag,0,z4,0
0:03:41,bol,frislag,0,z6,0
0:04:04,iks,närkamp,0,z4,15
0:04:10,iks,inslag,0,z4,0
0:04:22,iks,passning,lång,z3,61
0:04:26,bol,utkast,0,z8,0
0:04:51,bol,frislag,0,z6,0
0:05:42,iks,närkamp,0,z2,15
0:05:47,iks,passning,lång,z3,61
0:05:52,iks,skott,räddning,z8,10
0:05:53,iks,skottyp,friställande,z8,10
0:05:54,iks,hörna,0,z7,10
0:06:25,iks,skott,täckt,z7,2
0:06:26,iks,skottyp,fast,z7,2
0:06:35,bol,utkast,0,z8,0
0:07:11,bol,passning,lång,z4,0
0:07:16,iks,utkast,0,z2,13
0:07:36,iks,skott,räddning,z8,17
0:07:37,iks,skottyp,utifrån,z8,17
0:07:38,iks,hörna,0,z7,17
0:08:08,iks,skott,räddning,z7,2
0:08:09,iks,skottyp,fast,z7,2
0:08:20,bol,frislag,0,z8,0
0:08:48,iks,närkamp,0,z3,20
0:09:31,iks,passning,lång,z2,66
0:09:34,bol,brytning,0,z8,0
0:10:02,iks,närkamp,0,z1,17
0:10:17,iks,närkamp,0,z1,61
0:10:20,iks,passning,lång,z5,66
0:10:21,iks,skott,rädddning,z8,20
0:10:22,iks,skottyp,centralt,z8,20
0:10:23,iks,hörna,0,z1,20
0:10:54,iks,skott,räddning,z7,17
0:10:55,iks,skottyp,fast,z7,17
0:11:00,bol,inslag,0,z9,0
0:11:12,bol,frislag,0,z9,0
0:11:55,bol,närkamp,0,z1,0
0:11:57,bol,passning,straffområde,z1,0
0:11:59,iks,brytning,0,z2,40
0:12:21,iks,frislag,0,z7,7
0:12:44,iks,passning,straffområde,z7,97
0:12:46,bol,brytning,0,z8,0
0:13:06,iks,närkamp,0,z2,61
0:13:10,iks,bolltapp,passförsök,z2,66
0:13:33,bol,passning,straffområde,z3,0
0:13:34,iks,rensning,0,z2,0
0:13:36,bol,skott,utanför,z2,13
