time,team,event,subevent,zone,player
0:00:00,vsk,avslag,0,z5,0
0:00:09,vsk,passning,lång,z4,0
0:00:11,iks,rensning,0,z2,0
0:00:15,iks,boll,0,z4,0
0:00:25,iks,hörna,0,z7,0
0:00:53,iks,skott,täckt,z8,0
0:00:53,iks,skottyp,fast,z8,0
0:01:02,vsk,utkast,0,z8,0
0:01:09,vsk,bolltapp,passförsök,z5,0
0:01:22,iks,skott,utanför,z8,0
0:01:22,iks,skottyp,utifrån,z8,0
0:01:24,vsk,utkast,0,z8,0
0:01:52,vsk,inslag,0,z3,0
0:02:04,iks,brytning,0,z3,0
0:02:06,vsk,närkamp,0,z3,0
0:02:25,iks,närkamp,0,z4,0
0:02:32,vsk,frislag,0,z7,0
0:03:05,vsk,passning,straffområde,z1,0
0:03:25,vsk,passning,straffområde,z1,0
0:03:29,iks,boll,0,z6,0
0:03:34,iks,passning,farlig,z8,0
0:03:35,iks,friläge,0,z8,0
0:03:37,iks,skott,utanför,z8,0
0:03:37,iks,skottyp,friställande,z8,0
0:03:40,vsk,utkast,0,z8,0
0:04:12,vsk,frislag,0,z4,0
0:04:40,vsk,passning,straffområde,z3,0
0:04:41,vsk,skott,täckt,z2,0
0:04:41,vsk,skottyp,centralt,z2,0
0:04:43,iks,utkast,0,z2,0
0:04:56,iks,frislag,0,z4,0
0:05:11,vsk,närkamp,0,z4,0
0:05:24,iks,närkamp,0,z5,0
0:05:26,vsk,brytning,0,z5,0
0:05:28,vsk,passning,lång,z5,0
0:05:30,iks,brytning,0,z3,0
0:05:49,iks,passning,lång,z6,0
0:05:53,vsk,utkast,0,z8,0
0:06:10,iks,brytning,0,z5,0
0:06:16,vsk,brytning,0,z6,0
0:06:20,iks,brytning,0,z2,0
0:06:28,iks,skott,utanför,z8,0
0:06:28,iks,skottyp,utifrån,z8,0
0:06:30,vsk,utkast,0,z8,0
0:06:51,iks,närkamp,0,z4,0
0:06:58,iks,straff,0,z8,0
0:07:46,iks,mål,straffmål,z8,0
0:07:46,iks,skottyp,fast,z8,0
0:08:15,vsk,avslag,0,z8,0
0:08:31,vsk,hörna,0,z3,0
0:08:59,vsk,skott,utanför,z2,0
0:08:59,vsk,skottyp,fast,z2,0
0:09:02,iks,utkast,0,z2,0
0:09:21,vsk,brytning,0,z9,0
0:09:36,vsk,passning,straffområde,z3,0
0:09:37,iks,brytning,0,z2,0
0:09:50,iks,skott,täckt,z8,0
0:09:50,iks,skottyp,utifrån,z8,0
0:09:51,iks,hörna,0,z9,0
0:10:19,iks,skott,utanför,z8,0
0:10:19,iks,skottyp,fast,z8,0
0:10:22,vsk,utkast,0,z8,0
0:10:40,vsk,passning,straffområde,z1,0
0:10:40,iks,brytning,0,z2,0
0:10:40,0,timeout,0,0,0
0:11:48,iks,frislag,0,z3,0
0:11:52,iks,frislag,0,z1,0
0:12:13,iks,frislag,0,z7,0
0:12:26,iks,passning,straffområde,z7,0
0:12:30,vsk,brytning,0,z8,0
0:12:38,iks,brytning,0,z6,0
0:12:44,vsk,närkamp,0,z6,0
0:12:57,vsk,passning,straffområde,z1,0
0:13:06,iks,utkast,0,z2,0
0:13:24,vsk,närkamp,0,z9,0
0:13:40,vsk,passning,lång,z6,0
0:13:42,vsk,skott,räddning,z2,0
0:13:42,vsk,skottyp,friställande,z2,0
0:13:43,iks,utkast,0,z2,0
0:14:00,iks,passning,straffområde,z7,0
0:14:03,iks,skott,utanför,z8,0
0:14:03,iks,skottyp,utifrån,z8,0
0:14:04,vsk,utkast,0,z8,0
0:14:42,vsk,passning,straffområde,z3,0
0:14:43,iks,brytning,0,z2,0
0:14:45,iks,kontring,0,z2,0
0:14:54,vsk,närkamp,0,z8,0
0:15:07,iks,brytning,0,z5,0
0:15:08,vsk,närkamp,0,z4,0
0:15:10,vsk,frislag,0,z1,0
0:15:35,vsk,bolltapp,passförsök,z6,0
0:15:38,iks,utkast,0,z2,0
0:15:49,vsk,närkamp,0,z9,0
0:16:02,vsk,närkamp,0,z5,0
0:16:16,vsk,passning,lång,z6,0
0:16:20,vsk,passning,straffområde,z3,0
0:16:22,vsk,friläge,0,z2,0
0:16:24,vsk,skott,utanför,z2,0
0:16:24,vsk,skottyp,friställande,z2,0
0:16:25,iks,utkast,0,z2,0
0:16:38,vsk,närkamp,0,z5,0
0:17:10,vsk,hörna,0,z3,0
0:17:34,vsk,skott,utanför,z2,0
0:17:34,vsk,skottyp,fast,z2,0
0:17:38,iks,utkast,0,z2,0
0:17:52,vsk,närkamp,0,z1,0
0:17:59,vsk,närkamp,0,z1,0
