time,team,event,subevent,zone,player
0:00:00,villa,avslag,0,z5,0
0:00:16,villa,skott,räddning,z2,13
0:00:17,villa,skottyp,centralt,z2,13
0:00:18,iks,utkast,0,z2,13
0:00:23,villa,närkamp,0,z5,0
0:00:48,iks,närkamp,0,z5,40
0:00:57,iks,passning,lång,z6,61
0:01:05,villa,utkast,0,z8,0
0:01:28,villa,närkamp,0,z1,0
0:01:30,villa,passning,straffområde,z1,0
0:01:31,villa,skott,utanför,z2,13
0:01:32,villa,skottyp,inlägg,z2,13
0:01:36,iks,utkast,0,z2,13
0:01:40,iks,passning,lång,z1,17
0:01:42,villa,brytning,0,z4,0
0:01:45,iks,inslag,0,z4,0
0:01:57,iks,bolltapp,tappad,z4,0
0:02:05,iks,närkamp,0,z2,11
0:02:10,iks,närkamp,0,z4,11
0:02:19,villa,brytning,0,z8,0
0:02:25,villa,bolltapp,passförsök,z4,0
0:02:42,iks,skott,räddning,z2,11
0:02:43,iks,skottyp,centralt,z2,11
0:02:45,iks,närkamp,0,z7,66
0:02:53,iks,mål,spelmål,z8,10
0:02:54,iks,skottyp,utifrån,z8,10
0:03:25,villa,avslag,0,z5,0
0:04:20,villa,bolltapp,passförsök,z3,0
0:04:22,iks,utkast,0,z2,13
0:04:42,iks,bolltapp,passförsök,z1,2
0:04:47,villa,bolltapp,passförsök,z4,0
0:04:53,iks,skott,täckt,z8,10
0:04:54,iks,skottyp,utifrån,z8,10
0:05:00,iks,inslag,0,z7,0
0:05:45,iks,passning,farlig,z8,17
0:05:47,iks,mål,spelmål,z8,97
0:05:48,iks,skottyp,centralt,z8,10
0:06:24,villa,avslag,0,z5,0
0:06:36,villa,närkamp,0,z3,0
0:06:37,villa,frislag,0,z3,0
0:07:03,villa,skott,täckt,z1,13
0:07:04,villa,skottyp,utifrån,z1,13
0:07:16,iks,skott,räddning,z8,97
0:07:17,iks,skottyp,utifrån,z8,97
0:07:20,villa,utkast,0,z8,0
0:07:30,iks,brytning,0,z5,39
0:07:32,iks,bolltapp,passförsök,z5,20
0:07:46,villa,frislag,0,z5,0
0:08:11,villa,passning,farlig,z2,0
0:08:12,iks,brytning,0,z2,2
0:08:16,iks,närkamp,0,z2,2
0:08:31,villa,närkamp,0,z8,0
0:08:33,villa,bolltapp,tappad,z8,0
0:08:35,iks,skott,utanför,z7,66
0:08:36,iks,skottyp,utifrån,z7,66
0:08:37,villa,utkast,0,z8,0
0:08:56,iks,brytning,0,z3,40
0:09:40,iks,passning,lång,z5,61
0:09:48,villa,brytning,0,z8,0
0:10:02,villa,skott,utanför,z2,13
0:10:03,villa,skottyp,centralt,z2,13
0:10:30,iks,utkast,0,z2,13
0:10:50,iks,passning,lång,z5,61
0:10:53,villa,brytning,0,z8,0
0:10:54,villa,utkast,0,z8,0
0:11:08,villa,frislag,0,z3,0
0:11:21,villa,skott,räddning,z2,13
0:11:22,villa,skottyp,utifrån,z2,13
0:11:30,iks,utkast,0,z2,13
0:11:46,villa,närkamp,0,z9,0
0:12:15,villa,passning,farlig,z3,0
0:12:16,iks,brytning,0,z2,61
0:12:25,villa,närkamp,0,z6,0
0:12:43,villa,skott,räddning,z2,13
0:12:44,villa,skottyp,utifrån,z2,13
0:12:50,iks,närkamp,0,z3,0
0:13:01,villa,närkamp,0,z8,0
0:13:04,villa,bolltapp,tappad,z7,0
0:13:41,iks,inslag,0,z4,0
0:13:52,iks,passning,lång,z5,66
0:13:57,villa,brytning,0,z8,0
0:14:00,iks,brytning,0,z9,10
0:14:03,villa,närkamp,0,z9,0
0:14:09,villa,bolltapp,tappad,z6,0
0:14:19,iks,frislag,0,z3,10
0:14:55,iks,passning,lång,z5,7
0:15:00,villa,utkast,0,z8,0
0:15:19,villa,hörna,0,z1,0
0:15:52,villa,skott,täckt,z1,13
0:15:53,villa,skottyp,fast,z1,13
0:16:03,iks,utkast,0,z2,13
0:16:13,iks,skott,räddning,z7,97
0:16:14,iks,skottyp,utifrån,z7,97
0:16:18,villa,utkast,0,z8,0
0:17:17,villa,mål,spelmål,z2,13
0:17:18,villa,skottyp,centralt,z2,13
0:17:49,iks,avslag,0,z5,0
0:18:13,iks,passning,lång,z5,61
0:18:16,villa,brytning,0,z8,0
0:18:17,villa,utkast,0,z8,0
0:18:37,villa,passning,farlig,z5,0
0:18:40,iks,utkast,0,z2,13
0:19:11,iks,bolltapp,passförsök,z7,0
0:19:14,iks,närkamp,0,z7,0
0:19:15,villa,närkamp,0,z8,0
0:19:19,villa,bolltapp,tappad,z5,0
0:19:45,iks,passning,lång,z4,7
0:19:50,villa,utkast,0,z8,0
0:20:14,villa,bolltapp,tappad,z2,0
0:20:15,iks,utkast,0,z2,13
0:20:34,villa,närkamp,0,z5,0
0:21:04,villa,passning,farlig,z5,0
0:21:07,iks,utkast,0,z2,13
0:21:22,villa,närkamp,0,z9,0
0:21:38,iks,närkamp,0,z5,20
0:21:46,iks,närkamp,0,z5,10
0:21:50,iks,frislag,0,z5,0
0:22:02,iks,passning,lång,z2,61
0:22:07,villa,brytning,0,z7,0
0:22:22,villa,frislag,0,z6,0
0:22:59,villa,passning,lång,z5,0
0:23:01,iks,brytning,0,z2,15
0:23:20,iks,passning,lång,z5,17
0:23:22,villa,utkast,0,z8,0
0:23:44,iks,brytning,0,z3,0
0:23:46,villa,närkamp,0,z2,0
0:23:49,iks,närkamp,0,z2,66
0:23:51,iks,bolltapp,tappad,z2,0
0:23:57,villa,bolltapp,tappad,z1,0
0:23:58,iks,utkast,0,z2,13
0:24:14,iks,passning,straffområde,z9,20
0:24:16,villa,utkast,0,z8,0
0:24:34,villa,bolltapp,tappad,z1,0
0:24:47,villa,närkamp,0,z7,0
0:25:18,villa,passning,straffområde,z1,0
0:25:20,villa,skott,räddning,z2,13
0:25:21,villa,skottyp,centralt,z2,13
0:25:22,iks,närkamp,0,z2,6
0:25:28,villa,närkamp,0,z5,0
0:25:35,iks,närkamp,0,z2,0
0:25:39,iks,rensning,0,z1,0
0:26:07,villa,frislag,0,z1,0
0:26:44,villa,bolltapp,passförsök,z5,0
0:26:48,iks,närkamp,0,z5,17
0:26:50,iks,närkamp,0,z5,17
0:26:52,iks,bolltapp,tappad,z5,17
0:27:01,villa,mål,spelmål,z2,13
0:27:02,villa,skottyp,friställande,z2,13
0:27:40,iks,avslag,0,z5,0
0:27:50,iks,bolltapp,tappad,z5,6
0:27:57,iks,närkamp,0,z1,6
0:27:59,iks,närkamp,0,z1,15
0:28:05,iks,bolltapp,tappad,z1,66
0:28:07,iks,rensning,0,z2,0
0:28:58,villa,skott,utanför,z2,13
0:28:59,villa,skottyp,centralt,z2,13
0:29:00,iks,utkast,0,z2,13
0:29:04,villa,närkamp,0,z6,0
0:29:24,villa,passning,straffområde,z3,0
0:29:27,villa,skott,täckt,z2,13
0:29:28,villa,skottyp,inlägg,z2,13
0:29:35,villa,inslag,0,z3,0
0:30:12,iks,närkamp,0,z6,0
0:30:18,villa,närkamp,0,z8,0
0:30:28,iks,brytning,0,z2,40
0:30:30,iks,rensning,0,z2,0
0:30:32,villa,inslag,0,z3,0
0:30:33,iks,timeout,0,0,0
0:32:13,villa,inslag,0,z3,0
0:32:53,villa,skott,täckt,z2,13
0:32:54,villa,skottyp,utifrån,z2,13
0:33:00,iks,närkamp,0,z3,97
0:33:10,iks,närkamp,0,z6,17
0:33:15,iks,skott,täckt,z8,17
0:33:16,iks,skottyp,utifrån,z8,17
