time,team,event,subevent,zone,player
0:00:00,bol,avslag,0,z5,0
0:00:54,iks,brytning,0,z5,10
0:00:55,iks,bolltapp,passförsök,z5,6
0:01:03,bol,passning,lång,z5,0
0:01:06,iks,brytning,0,z2,2
0:01:51,bol,närkamp,0,z8,0
0:01:53,iks,närkamp,0,z8,0
0:01:54,iks,mål,spelmål,z8,17
0:01:55,iks,skottyp,centralt,z8,17
0:02:30,bol,avslag,0,z5,0
0:02:48,iks,närkamp,0,z6,66
0:02:51,iks,frislag,0,z6,66
0:03:14,iks,passning,lång,z4,2
0:03:19,iks,mål,spelmål,z8,11
0:03:20,iks,skottyp,friställande,z8,11
0:04:00,bol,avslag,0,z5,0
0:04:05,bol,frislag,0,z9,0
0:04:33,bol,frislag,0,z5,0
0:04:50,iks,närkamp,0,z3,40
0:05:24,iks,passning,farlig,z8,17
0:05:30,iks,hörna,0,z9,10
0:06:00,iks,skott,räddning,z9,97
0:06:01,iks,skottyp,fast,z9,97
0:06:04,bol,rensning,0,z8,0
0:06:05,iks,hörna,0,z7,0
0:06:35,iks,skott,räddning,z7,17
0:06:36,iks,skottyp,fast,z7,17
0:06:42,bol,utkast,0,z8,0
0:06:57,bol,skott,täckt,z2,13
0:06:58,bol,skottyp,utifrån,z2,13
0:07:00,iks,boll,0,0,0
0:07:25,bol,närkamp,0,z6,0
0:07:37,iks,närkamp,0,z1,2
0:07:53,bol,brytning,0,z5,0
0:07:57,bol,bolltapp,passförsök,z6,0
0:08:23,iks,skott,täckt,z7,17
0:08:24,iks,skottyp,utifrån,z7,17
0:08:30,bol,närkamp,0,z8,0
0:08:50,iks,närkamp,0,z3,15
0:08:53,iks,frislag,0,z3,7
0:09:17,bol,boll,0,0,0
0:09:54,iks,brytning,0,z2,17
0:10:13,iks,passning,farlig,z5,17
0:10:15,bol,utkast,0,z8,0
0:10:38,bol,inslag,0,z3,0
0:10:50,bol,skott,räddning,z2,13
0:10:52,bol,skottyp,centralt,z2,13
0:10:57,iks,inslag,0,z3,0
0:11:13,bol,boll,0,0,0
0:11:26,bol,skott,utanför,z5,13
0:11:27,bol,skottyp,utifrån,z5,13
0:11:30,iks,utkast,0,z2,13
0:11:45,bol,närkamp,0,z5,0
0:12:35,iks,närkamp,0,z5,6
0:12:55,iks,frislag,0,z2,7
0:13:04,iks,passning,lång,z5,61
0:13:08,iks,skott,räddning,z8,11
0:13:09,iks,skott,centralt,z8,11
0:13:13,iks,hörna,0,z7,11
0:13:45,iks,skott,utanför,z7,2
0:13:46,iks,skottyp,fast,z7,2
0:13:50,bol,utkast,0,z8,0
0:14:15,bol,mål,spelmål,z2,13
0:14:16,bol,skottyp,dribbling,z2,13
0:14:50,iks,avslag,0,z5,0
0:15:14,iks,passning,lång,z5,66
0:15:20,bol,utkast,0,z8,0
0:15:38,bol,hörna,0,z1,0
0:16:08,bol,skott,täckt,z1,13
0:16:09,bol,skottyp,fast,z1,13
0:16:17,bol,passning,straffområde,z3,0
0:16:20,iks,rensning,0,z2,0
0:16:38,iks,närkamp,0,z2,2
0:16:40,iks,utkast,0,z2,13
0:17:25,bol,närkamp,0,z8,0
0:17:36,bol,frislag,0,z9,0
0:18:18,bol,frislag,0,z6,0
0:18:50,bol,bolltapp,tappad,z8,0
0:19:00,iks,hörna,0,z9,97
0:19:30,iks,skott,täckt,z9,11
0:19:31,iks,skottyp,fast,z9,11
0:19:35,iks,passning,straffområde,z9,61
0:19:38,bol,rensning,0,z8,0
0:19:53,bol,närkamp,0,z1,0
0:20:00,bol,frislag,0,z1,0
0:20:08,iks,närkamp,0,z1,17
0:20:15,iks,närkamp,0,z1,15
0:20:27,iks,skott,utanför,z8,20
0:20:28,iks,skottyp,friställande,z8,20
0:20:30,bol,utkast,0,z8,0
0:21:15,bol,timeout,0,0,0
0:22:55,iks,utkast,0,z2,13
0:23:00,iks,bolltapp,tappad,z2,7
0:23:01,bol,skott,räddning,z2,13
0:23:02,bol,skottyp,centralt,z2,13
0:23:13,iks,utkast,0,z2,13
0:23:20,iks,passning,lång,z6,7
0:23:26,bol,utkast,0,z8,0
0:23:39,iks,närkamp,0,z6,7
0:23:45,bol,rensning,0,z6,0
0:23:50,iks,utkast,0,z2,13
0:23:56,iks,bolltapp,passförsök,z5,15
0:24:13,bol,passning,straffområde,z1,0
0:24:15,bol,skott,utanför,z2,0
0:24:16,bol,skottyp,inlägg,z2,13
0:24:56,bol,passning,lång,z5,0
0:25:01,iks,utkast,0,z2,13
