time,team,event,subevent,zone,player
0:00:00,rät,avslag,0,z5,0
0:00:08,iks,utkast,0,z2,0
0:00:36,rät,utkast,0,z8,0
0:00:52,rät,passning,straffområde,z1,0
0:00:53,iks,rensning,0,z2,0
0:01:09,iks,brytning,0,z1,0
0:01:14,rät,brytning,0,z4,0
0:01:22,iks,utkast,0,z2,0
0:01:46,rät,utkast,0,z8,0
0:02:19,rät,skott,utanför,z8,0
0:02:19,rät,skottyp,dribbling,z8,0
0:02:20,iks,utkast,0,z2,0
0:02:47,iks,skott,räddning,z2,0
0:02:47,iks,skottyp,centralt,z2,0
0:03:30,iks,skott,räddning,z1,0
0:03:30,iks,skottyp,utifrån,z1,0
0:03:33,iks,skott,utanför,z2,0
0:03:33,iks,skottyp,retur,z2,0
0:03:35,rät,utkast,0,z8,0
0:04:09,iks,utkast,0,z2,0
0:04:19,rät,utkast,0,z8,0
0:05:02,rät,passning,straffområde,z1,0
0:05:04,iks,brytning,0,z2,0
0:05:18,rät,närkamp,0,z4,0
0:05:24,rät,frislag,0,z6,0
0:05:33,iks,närkamp,0,z5,0
0:05:46,iks,skott,utanför,z2,0
0:05:46,iks,skottyp,inlägg,z2,0
0:05:50,rät,utkast,0,z8,0
0:06:16,rät,hörna,0,z9,0
0:06:46,rät,skott,räddning,z8,0
0:06:46,rät,skottyp,fast,z8,0
0:06:49,rät,mål,hörnmål,z8,0
0:06:49,rät,skottyp,retur,z8,0
0:07:20,iks,avslag,0,z5,0
0:07:33,rät,utkast,0,z8,0
0:07:38,rät,offside,0,z5,0
0:08:20,iks,hörna,0,z3,0
0:08:50,iks,skott,täckt,z2,0
0:08:50,iks,skottyp,fast,z2,0
0:08:55,rät,utkast,0,z8,0
0:09:26,rät,passning,straffområde,z1,0
0:09:27,rät,skott,utanför,z8,0
0:09:27,rät,skottyp,inlägg,z8,0
0:09:35,iks,utkast,0,z2,0
0:10:04,iks,utkast,0,z2,0
0:10:26,iks,passning,straffområde,z9,0
0:10:28,rät,brytning,0,z8,0
0:10:41,rät,frislag,0,z1,0
0:11:00,iks,brytning,0,z6,0
0:11:01,rät,brytning,0,z6,0
0:11:14,iks,närkamp,0,z3,0
0:11:27,iks,bolltapp,tappad,z5,0
0:12:19,rät,bolltapp,passförsök,z4,0
0:12:22,rät,närkamp,0,z4,0
0:12:24,rät,inslag,0,z3,0
0:12:45,rät,passning,straffområde,z1,0
0:12:46,rät,skott,täckt,z8,0
0:12:46,rät,skottyp,inlägg,z8,0
0:12:52,rät,skott,utanför,z7,0
0:12:52,rät,skottyp,utifrån,z7,0
0:12:52,iks,utkast,0,z2,0
0:13:09,iks,närkamp,0,z4,0
0:13:22,iks,inslag,0,z4,0
0:13:33,iks,passning,straffområde,z9,0
0:13:35,rät,rensning,0,z8,0
0:13:58,iks,skott,täckt,z2,0
0:13:58,iks,skottyp,friställande,z2,0
0:14:22,iks,passning,straffområde,z7,0
0:14:24,rät,brytning,0,z7,0
