time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:05,iks,passning,lång,z5,61
0:00:07,iks,skott,räddning,z8,11
0:00:08,iks,skottyp,friställande,z8,11
0:00:10,villa,boll,0,z8,0
0:00:24,villa,skott,räddning,z3,13
0:00:25,villa,skottyp,utifrån,z3,13
0:00:26,iks,utkast,z2,13
0:00:57,iks,passning,lång,z5,97
0:00:59,villa,brytning,0,z8,0
0:01:04,villa,bolltapp,tappad,z9,0
0:01:05,iks,inslag,0,z9,0
0:01:33,iks,passning,lång,z5,61
0:01:35,villa,brytning,0,z7,0
0:01:50,iks,närkamp,0,z4,6
0:01:58,villa,närkamp,0,z4,0
0:02:12,villa,mål,spelmål,z2,13
0:02:13,villa,skottyp,centralt,z2,13
0:02:48,iks,avslag,0,z5,0
0:03:08,iks,inslag,0,z7,0
0:03:13,iks,passning,lång,z7,66
0:03:14,villa,brytning,0,z8,0
0:03:16,villa,bolltapp,passförsök,z8,0
0:03:17,iks,brytning,0,z8,97
0:03:41,iks,inslag,0,z6,0
0:04:08,iks,närkamp,0,z2,17
0:04:11,iks,passning,lång,z6,61
0:04:20,iks,frislag,0,z8,0
0:04:28,iks,skott,täckt,z8,10
0:04:29,iks,skottyp,fast,z8,10
0:04:38,iks,hörna,0,z9,6
0:05:08,iks,skott,täckt,z9,20
0:05:09,iks,skottyp,fast,z9,20
0:05:11,iks,boll,0,z8,0
0:05:27,iks,närkamp,0,z1,2
0:05:29,iks,frislag,0,z1,2
0:05:46,iks,inslag,0,z9,0
0:06:34,iks,bolltapp,tappad,z5,7
0:06:46,villa,skott,täckt,z2,13
0:06:47,villa,skottyp,centralt,z2,13
0:06:48,villa,hörna,0,z3,0
0:07:18,villa,skott,täckt,z3,13
0:07:19,villa,skottyp,fast,z3,13
0:07:22,iks,närkamp,0,z4,15
0:07:30,iks,skott,täckt,z7,10
0:07:31,iks,skottyp,utifrån,z7,10
0:07:32,iks,hörna,0,z7,10
0:08:10,villa,rensning,0,z8,0
0:08:14,iks,skott,täckt,z8,7
0:08:15,iks,skottyp,centralt,z8,7
0:08:16,iks,hörna,0,z7,7
0:09:05,iks,skott,utanför,z7,66
0:09:06,iks,skottyp,fast,z7,66
0:09:14,villa,utkast,0,z8,0
0:09:30,iks,brytning,0,z2,39
0:09:34,iks,närkamp,0,z3,39
0:09:51,iks,bolltapp,tappad,z4,17
0:09:59,villa,skott,räddning,z1,13
0:10:00,villa,skottyp,utifrån,z1,13
0:10:06,iks,utkast,0,z2,13
0:10:28,iks,utkast,0,z2,13
0:10:49,iks,passning,straffområde,z9,20
0:10:50,villa,brytning,0,z8
0:10:51,villa,rensning,0,z8
0:11:17,iks,närkamp,0,z2,6
0:11:26,iks,närkamp,0,z1,6
0:11:39,iks,bolltapp,tappad,z5,0
0:11:40,villa,brytning,0,z5,0
0:11:49,villa,mål,spelmål,z2,13
0:11:50,villa,skottyp,dribbling,z2,13
0:12:20,iks,avslag,0,z5,0
0:12:35,iks,passning,straffområde,z7,17
0:12:38,iks,skott,täckt,z8,20
0:12:39,iks,skottyp,inlägg,z8,20
0:12:41,villa,boll,0,z8,0
0:13:00,villa,passning,straffområde,z1,0
0:13:02,iks,rensning,0,z2,0
0:13:37,villa,närkamp,0,z6,0
0:13:52,iks,brytning,0,z4,6
