time,team,event,subevent,zone,player
0:00:00,eds,avslag,0,z5,0
0:00:15,iks,närkamp,0,z5,97
0:00:23,iks,passning,straffområde,z9,17
0:00:24,eds,brytning,0,z8,0
0:00:28,eds,frislag,0,z9,0
0:00:39,eds,passning,lång,z6,0
0:00:43,iks,brytning,0,z5,40
0:01:00,iks,passning,lång,z5,61
0:01:04,iks,passning,straffområde,z8,66
0:01:05,eds,brytning,0,z8,0
0:01:20,eds,skott,räddning,z2,13
0:01:20,eds,skottyp,utifrån,z2,13
0:01:20,iks,utkast,0,z2,13
0:01:45,iks,passning,straffområde,z7,66
0:01:46,eds,brytning,0,z8,0
0:01:47,eds,rensning,0,z8,0
0:02:12,iks,40,0,z6,40
0:02:40,iks,passning,lång,z5,61
0:02:40,iks,passning,farlig,z7,61
0:02:44,iks,skott,utanför,z8,10
0:02:44,iks,skottyp,centralt,z8,10
0:02:45,iks,hörna,0,z9,10
0:03:34,iks,skott,utanför,z8,10
0:03:34,iks,skottyp,fast,z8,10
0:03:35,eds,utkast,0,z8,0
0:04:03,eds,närkamp,0,z3,0
0:04:10,iks,närkamp,0,z4,97
0:04:13,iks,passning,lång,z5,88
0:04:18,eds,brytning,0,z8,0
0:04:19,eds,närkamp,0,z8,0
0:04:24,eds,närkamp,0,z4,0
0:04:40,eds,närkamp,0,z1,0
0:04:49,eds,frislag,0,z1,0
0:04:57,eds,passning,straffområde,z1,0
0:04:59,eds,skott,utanför,z2,13
0:04:59,eds,skottyp,inlägg,z2,13
0:05:03,iks,utkast,0,z2,13
0:06:01,iks,frislag,0,z4,0
0:06:20,iks,40,0,z2,40
0:06:24,eds,brytning,0,z5,0
0:06:27,eds,närkamp,0,z2,0
0:06:29,eds,skott,täckt,z3,13
0:06:29,eds,skottyp,utifrån,z3,13
0:06:33,iks,boll,0,z3,0
0:06:43,eds,närkamp,0,z8,0
0:06:48,iks,närkamp,0,z9,17
0:06:52,eds,närkamp,0,z9,0
0:07:10,eds,närkamp,0,z1,0
0:07:13,iks,närkamp,0,z4,11
0:07:26,eds,närkamp,0,z7,0
0:07:33,eds,närkamp,0,z4,0
0:07:35,eds,passning,lång,z4,0
0:07:40,iks,brytning,0,z2,61
0:07:41,iks,rensning,0,z2,0
0:07:46,iks,boll,0,z2,0
0:07:57,iks,närkamp,0,z2,88
0:08:03,iks,närkamp,0,z5,88
0:08:06,iks,passning,straffområde,z6,61
0:08:11,eds,utkast,0,z8,0
0:08:27,eds,frislag,0,z6,0
0:08:39,eds,passning,straffområde,z6,0
0:08:43,iks,brytning,0,z2,13
0:08:44,iks,utkast,0,z2,13
0:08:56,eds,närkamp,0,z2,0
0:09:10,iks,passning,lång,z5,88
0:09:13,eds,brytning,0,z5,0
0:09:22,eds,bolltapp,passförsök,z5,0
0:09:50,iks,passning,farlig,z5,7
0:09:52,iks,skott,räddning,z8,11
0:09:52,iks,skottyp,centralt,z8,11
0:09:54,iks,mål,spelmål,z8,6
0:09:54,iks,skottyp,retur,z8,6
0:10:25,eds,avslag,0,z5,0
0:10:42,iks,närkamp,0,z1,17
0:10:46,iks,bolltapp,passförsök,z4,97
0:10:58,eds,passning,straffområde,z3,97
0:11:06,eds,närkamp,0,z1,0
0:11:07,eds,passning,straffområde,z1,0
0:11:15,eds,skott,utanför,z2,13
0:11:15,eds,skottyp,utifrån,z2,13
0:11:17,iks,utkast,0,z2,13
0:11:40,iks,passning,straffområde,z9,66
0:11:42,eds,brytning,0,z8,0
0:11:42,eds,utkast,0,z8,0
0:12:01,iks,närkamp,0,z4,17
0:12:19,iks,passning,straffområde,z7,17
0:12:20,eds,brytning,0,z8,0
