time,team,event,subevent,zone,player
0:00:00,bol,avslag,0,z5,0
0:00:13,iks,brytning,0,z1,97
0:00:16,iks,skott,räddning,z2,97
0:00:16,iks,skottyp,dribbling,z2,97
0:00:17,bol,boll,0,z1,0
0:00:45,bol,bolltapp,passförsök,z4,0
0:00:57,bol,närkamp,0,z6,0
0:01:16,bol,närkamp,0,z4,0
0:01:36,bol,frislag,0,z6,0
0:02:01,bol,skott,täckt,z8,80
0:02:01,bol,skottyp,centralt,z8,80
0:02:03,bol,offside,0,z8,0
0:02:19,bol,brytning,0,z4,0
0:02:30,iks,närkamp,0,z9,40
0:02:51,iks,passning,farlig,z5,66
0:02:53,iks,offside,0,z2,0
0:03:21,bol,närkamp,0,z5,0
0:03:27,bol,frislag,0,z4,0
0:03:45,bol,bolltapp,passförsök,z5,0
0:04:04,bol,brytning,0,z7,0
0:04:09,iks,närkamp,0,z7,88
0:04:16,iks,bolltapp,passförsök,z4,0
0:04:37,bol,passning,lång,z5,0
0:04:39,bol,offside,0,z8,0
0:05:02,iks,närkamp,0,z8,88
0:05:07,iks,närkamp,0,z6,2
0:05:17,bol,närkamp,0,z4,0
0:05:48,iks,närkamp,0,z4,88
0:05:50,bol,närkamp,0,z4,0
0:05:59,bol,närkamp,0,z6,0
0:06:18,bol,skott,räddning,z7,80
0:06:18,bol,skottyp,utifrån,z7,80
0:06:21,iks,rensning,0,z8,0
0:06:22,iks,närkamp,0,z7,11
0:07:07,bol,närkamp,0,z4,0
0:07:39,iks,utkast,0,z8,80
0:07:52,iks,passning,lång,z5,61
0:08:01,bol,utkast,0,z2,0
0:08:18,bol,passning,straffområde,z7,0
0:08:22,iks,brytning,0,z8,2
0:08:41,iks,passning,lång,z8,66
0:08:45,iks,offside,0,z5,0
0:08:59,bol,passning,lång,z6,0
0:09:05,bol,friläge,0,z8,0
0:09:06,bol,mål,spelmål,z8,80
0:09:06,bol,skottyp,friställande,z8,80
0:09:35,iks,avslag,0,z5,0
0:10:33,bol,närkamp,0,z3,0
0:10:38,iks,närkamp,0,z6,15
0:10:48,iks,bolltapp,tappad,z7,61
0:11:12,bol,passning,lång,z5,0
0:11:18,iks,utkast,0,z8,80
0:11:36,iks,bolltapp,passförsök,z6,7
0:11:38,bol,utkast,0,z2,0
0:12:00,bol,närkamp,0,z6,0
0:12:23,iks,närkamp,0,z9,11
0:12:28,iks,frislag,0,z9,0
0:12:49,iks,passning,lång,z4,61
0:12:56,iks,skott,täckt,z2,10
0:12:56,iks,skottyp,dribbling,z2,10
0:12:59,iks,skott,täckt,z2,97
0:12:59,iks,skottyp,utifrån,z2,97
0:13:05,bol,boll,0,z2,0
0:13:06,iks,hörna,0,z1,97
0:13:37,iks,skott,räddning,z2,2
0:13:37,iks,skottyp,fast,z2,2
0:13:45,bol,utkast,0,z2,0
0:14:05,iks,brytning,0,z8,66
0:14:16,bol,brytning,0,z6,0
0:14:42,bol,passning,lång,z2,0
0:14:48,iks,utkast,0,z8,80
0:15:01,iks,passning,farlig,z5,61
0:15:03,iks,skott,räddning,z2,66
0:15:03,iks,skottyp,utifrån,z2,66
0:15:08,bol,utkast,0,z2,0
0:15:29,iks,närkamp,0,z5,11
0:15:58,iks,skott,täckt,z2,97
0:15:58,iks,skottyp,centralt,z2,97
0:15:58,bol,boll,0,z2,0
0:16:13,bol,skott,täckt,z8,80
0:16:13,bol,skottyp,utifrån,z8,80
0:16:13,iks,boll,0,z8,0
0:16:28,bol,brytning,0,z2,0
0:16:46,iks,närkamp,0,z8,2
0:16:55,bol,närkamp,0,z7,0
0:17:10,bol,frislag,0,z4,0
0:17:40,bol,passning,farlig,z8,0
0:17:42,bol,skott,täckt,z8,80
0:17:42,bol,skottyp,centralt,z8,80
0:17:44,iks,boll,0,z8,0
0:17:53,bol,brytning,0,z6,0
0:17:55,bol,frislag,0,z6,0
0:18:37,bol,bolltapp,passförsök,z5,0
0:18:39,iks,inslag,0,z7,0
0:18:50,iks,närkamp,0,z6,17
0:19:09,iks,skott,utanför,z2,10
0:19:09,iks,skottyp,utifrån,z2,10
0:19:10,bol,utkast,0,z2,0
0:19:24,bol,närkamp,0,z5,0
