time,team,event,subevent,zone,player
0:00:00,vet,avslag,0,z5,0
0:00:00,0,timeout,0,0,0
0:15:00,vet,utkast,0,z2,0
0:15:21,iks,närkamp,0,z6,0
0:15:23,vet,brytning,0,z6,0
0:15:52,vet,passning,straffområde,z9,0
0:15:53,vet,friläge,0,z8,0
0:15:54,vet,mål,spelmål,z8,13
0:15:54,vet,skottyp,friställande,z8,13
0:16:29,iks,avslag,0,z5,0
0:16:51,vet,närkamp,0,z2,0
0:17:03,vet,skott,täckt,z8,13
0:17:03,vet,skottyp,utifrån,z8,13
0:17:04,iks,utkast,0,z8,13
0:17:38,vet,närkamp,0,z1,0
0:18:03,vet,passning,straffområde,z7,0
0:18:04,iks,brytning,0,z8,0
0:18:06,iks,rensning,0,z8,0
0:18:18,iks,närkamp,0,z6,0
0:18:45,iks,närkamp,0,z3,0
0:18:48,iks,bolltapp,passförsök,z5,0
0:18:50,iks,närkamp,0,z4,0
0:18:51,vet,närkamp,0,z4,0
0:19:15,iks,närkamp,0,z8,0
0:19:34,iks,passning,straffområde,z1,0
0:19:47,iks,inslag,0,z4,0
0:20:42,vet,brytning,0,z2,0
0:20:55,vet,hörna,0,z7,0
0:21:26,vet,skott,utanför,z8,13
0:21:26,vet,skottyp,fast,z8,13
0:21:28,iks,utkast,0,z8,13
0:21:56,iks,passning,straffområde,z3,0
0:22:05,iks,skott,räddning,z2,0
0:22:05,iks,skottyp,inlägg,z2,0
0:22:06,iks,hörna,0,z3,0
0:22:40,iks,skott,täckt,z2,0
0:22:40,iks,skottyp,fast,z2,0
0:22:43,iks,inslag,0,z1,0
0:23:08,iks,passning,straffområde,z1,0
0:23:10,iks,skott,täckt,z2,0
0:23:10,iks,skottyp,inlägg,z2,0
0:23:11,vet,rensning,0,z2,0
0:24:27,vet,brytning,0,z6,0
0:24:40,vet,bolltapp,tappad,z4,0
0:24:50,iks,skott,räddning,z1,0
0:24:50,iks,skottyp,utifrån,z1,0
0:24:51,vet,utkast,0,z2,0
0:25:12,vet,skott,räddning,z5,13
0:25:12,vet,skottyp,utifrån,z5,13
0:25:14,iks,utkast,0,z8,13
0:25:23,iks,passning,lång,z5,0
0:25:30,vet,brytning,0,z2,0
0:25:33,iks,närkamp,0,z3,0
0:25:39,vet,närkamp,0,z3,0
0:25:56,vet,passning,straffområde,z9,0
0:25:58,vet,mål,spelmål,z8,13
0:25:58,vet,skottyp,inlägg,z8,13
0:26:30,iks,avslag,0,z5,0
0:26:58,vet,närkamp,0,z1,0
0:27:37,iks,närkamp,0,z6,0
0:27:39,vet,närkamp,0,z6,0
0:27:49,iks,utkast,0,z8,13
0:28:11,iks,passning,straffområde,z1,0
0:28:12,vet,brytning,0,z2,0
0:28:16,iks,hörna,0,z1,0
0:28:46,iks,mål,hörnmål,z2,0
0:28:46,iks,skottyp,fast,z2,0
0:29:20,vet,avslag,0,z5,0
0:29:55,iks,brytning,0,z5,0
0:29:59,iks,passning,straffområde,z1,0
0:30:00,0,stop,0,0,0
