time,team,event,subevent,zone,player
0:00:00,vet,avslag,0,z5,0
0:00:12,iks,brytning,0,z6,0
0:00:17,vet,närkamp,0,z6,0
0:00:27,vet,passning,lång,z1,0
0:00:33,vet,mål,spelmål,z8,13
0:00:33,vet,skottyp,friställande,z8,13
0:01:03,iks,avslag,0,z5,0
0:01:45,iks,passning,lång,z5,0
0:01:49,iks,mål,spelmål,z2,0
0:01:49,iks,skottyp,centralt,z2,0
0:02:23,vet,avslag,0,z5,0
0:02:40,vet,passning,straffområde,z7,0
0:02:43,vet,skott,täckt,z8,13
0:02:43,vet,skottyp,centralt,z8,13
0:02:44,vet,hörna,0,z9,0
0:03:09,vet,skott,utanför,z8,13
0:03:09,vet,skottyp,fast,z8,13
0:03:19,iks,utkast,0,z8,13
0:03:34,iks,bolltapp,tappad,z5,0
0:03:37,iks,närkamp,0,z5,0
0:03:49,iks,passning,straffområde,z3,0
0:03:50,vet,brytning,0,z2,0
0:04:03,iks,närkamp,0,z8,0
0:04:25,vet,brytning,0,z5,0
0:05:28,vet,skott,täckt,z8,13
0:05:28,vet,skottyp,dribbling,z8,13
0:05:33,vet,hörna,0,z9,0
0:05:55,vet,skott,utanför,z8,13
0:05:55,vet,skottyp,fast,z8,13
0:06:03,iks,utkast,0,z8,13
0:06:12,iks,passning,lång,z5,0
0:06:20,iks,närkamp,0,z1,0
0:06:42,vet,brytning,0,z9,0
0:06:45,iks,närkamp,0,z9,0
0:06:55,vet,frislag,0,z6,0
0:06:59,vet,passning,lång,z5,0
0:07:02,iks,brytning,0,z8,0
0:07:16,iks,hörna,0,z1,0
0:07:49,iks,skott,räddning,z2,0
0:07:49,iks,skottyp,fast,z2,0
0:07:51,iks,skott,räddning,z2,0
0:07:51,iks,skottyp,retur,z2,0
0:07:53,vet,utkast,0,z2,0
0:08:15,iks,närkamp,0,z5,0
0:08:39,vet,brytning,0,z4,0
0:08:45,iks,närkamp,0,z7,0
0:08:59,iks,bolltapp,tappad,z5,0
0:09:43,iks,närkamp,0,z5,0
0:09:58,iks,skott,täckt,z2,0
0:09:58,iks,skottyp,utifrån,z2,0
0:10:23,vet,närkamp,0,z6,0
0:10:38,iks,brytning,0,z6,0
0:10:49,vet,utkast,0,z2,0
0:10:56,iks,brytning,0,z4,0
0:11:34,iks,passning,lång,z5,0
0:11:37,iks,skott,räddning,z2,0
0:11:37,iks,skottyp,utifrån,z2,0
0:11:38,vet,utkast,0,z2,0
0:11:52,vet,bolltapp,passförsök,z6,0
0:12:05,iks,bolltapp,tappad,z5,0
0:12:08,iks,närkamp,0,z8,0
0:12:30,iks,närkamp,0,z4,0
0:12:37,iks,frislag,0,z4,0
0:13:03,iks,passning,lång,z6,0
0:13:09,iks,skott,utanför,z2,0
0:13:09,iks,skottyp,centralt,z2,0
0:13:10,vet,utkast,0,z2,0
0:13:35,vet,friläge,0,z8,0
0:13:37,vet,skott,täckt,z8,13
0:13:37,vet,skottyp,dribbling,z8,13
0:13:38,iks,rensning,0,z8,0
0:13:40,vet,skott,täckt,z8,13
0:13:40,vet,skottyp,retur,z8,13
0:13:42,vet,skott,utanför,z8,13
0:13:42,vet,skottyp,retur,z8,13
0:13:43,iks,utkast,0,z8,13
0:14:29,vet,utkast,0,z2,0
0:15:00,0,stop,0,0,0
