time,team,event,subevent,zone
0:00:00,edsbyn,avslag,0,z8
0:00:15,edsbyn,passning,lång,z3
0:00:18,edsbyn,hörna,0,z3
0:00:49,edsbyn,mål,hörnmål,z2
0:00:54,edsbyn,skottyp,fast,z2
0:01:17,sirius,avslag,0,z2
0:02:05,sirius,närkamp,0,z2
0:02:34,sirius,närkamp,0,z5
0:02:45,sirius,frislag,0,z2
0:02:58,sirius,passning,lång,z2
0:03:01,edsbyn,utkast,0,z8
0:03:31,edsbyn,frislag,0,z6
0:03:41,sirius,brytning,0,z4
0:03:56,sirius,skott,utanför,z2
0:04:02,sirius,skottyp,dribbling,z2
0:04:05,edsbyn,boll,0,0
0:04:30,edsbyn,närkamp,0,z2
0:05:19,edsbyn,skott,utanför,z2
0:05:24,edsbyn,skottyp,centralt,z2
0:05:30,sirius,utkast,0,z2
0:05:43,edsbyn,närkamp,0,z8
0:05:59,sirius,närkamp,0,z2
0:06:08,edsbyn,närkamp,0,z5
0:06:14,edsbyn,närkamp,0,z4
0:06:17,sirius,närkamp,0,z4
0:06:35,edsbyn,närkamp,0,z8
0:06:49,edsbyn,skott,täckt,z2
0:06:53,edsbyn,skottyp,utifrån,z2
0:06:56,sirius,boll,0,0
0:07:03,sirius,närkamp,0,z6
0:07:14,sirius,frislag,0,z9
0:07:47,sirius,bolltapp,tappad,z5
0:07:55,sirius,närkamp,0,z9
0:08:30,sirius,skott,täckt,z8
0:08:37,sirius,skottyp,utifrån,z8
0:08:40,sirius,hörna,0,z9
0:09:04,sirius,skott,räddning,z8
0:09:10,sirius,skottyp,fast,z8
0:09:14,sirius,skott,täckt,z8
0:09:18,sirius,skottyp,retur,z8
0:09:23,edsbyn,utkast,0,z8
0:09:38,edsbyn,bolltapp,passförsök,z4
0:10:42,sirius,frislag,0,z2
0:11:38,sirius,bolltapp,passförsök,z4
0:11:42,sirius,närkamp,0,z1
0:11:47,sirius,frislag,0,z5
0:12:23,sirius,bolltapp,passförsök,z5
0:12:26,sirius,närkamp,0,z6
0:12:32,edsbyn,närkamp,0,z5
0:13:02,edsbyn,passning,straffområde,z2
0:13:06,edsbyn,boll,0,z3
0:13:35,sirius,utkast,0,z2
0:13:46,edsbyn,brytning,0,z9
0:14:00,sirius,brytning,0,z2
0:14:06,edsbyn,närkamp,0,z2
0:14:13,edsbyn,skott,utanför,z2
0:14:18,edsbyn,skottyp,centralt,z2
0:14:21,sirius,utkast,0,0
0:14:35,sirius,frislag,0,z5
0:14:57,sirius,frislag,0,z9
0:15:27,sirius,hörna,0,z9
0:16:04,sirius,boll,0,z9
0:16:12,edsbyn,närkamp,0,z4
0:16:35,edsbyn,skott,räddning,z2
0:16:40,edsbyn,skottyp,dribbling,z2
0:16:44,edsbyn,boll,0,0
0:16:55,sirius,närkamp,0,z6
0:17:04,sirius,frislag,0,z8
0:17:39,sirius,boll,0,0
0:17:53,edsbyn,brytning,0,z8
0:18:00,edsbyn,inslag,0,z7
0:18:24,edsbyn,passning,lång,z2
0:18:28,sirius,utkast,0,z2
0:18:48,edsbyn,brytning,0,z2
0:18:51,edsbyn,skott,räddning,z2
0:19:00,edsbyn,skottyp,dribbling,z2
0:19:01,sirius,utkast,0,0
0:19:09,sirius,skott,utanför,z9
0:19:12,sirius,skottyp,utifrån,z9
0:19:14,edsbyn,utkast,0,0
0:19:35,edsbyn,närkamp,0,z1
0:20:27,edsbyn,passning,lång,z2
0:20:31,sirius,utkast,0,z3
0:21:02,edsbyn,närkamp,0,z5
0:21:08,sirius,frislag,0,z6
0:21:25,sirius,skott,räddning,z8
0:21:28,sirius,skottyp,centralt,z8
0:21:31,sirius,hörna,0,z9
0:22:00,sirius,skott,täckt,z8
0:22:04,sirius,skottyp,fast,z8
0:22:08,edsbyn,närkamp,0,z8
0:22:22,edsbyn,bolltapp,passförsök,z2
0:22:26,sirius,utkast,0,z1
0:22:34,sirius,närkamp,0,z5
0:22:58,edsbyn,frislag,0,z5
0:23:12,edsbyn,hörna,0,z1
0:23:40,edsbyn,skott,räddning,z2
0:23:44,edsbyn,skottyp,fast,z2
0:23:49,sirius,utkast,0,z3
0:23:59,sirius,närkamp,0,z2
0:24:09,edsbyn,utkast,0,z8
0:24:45,edsbyn,passning,straffområde,z2
0:24:50,edsbyn,skott,utanför,z2
0:24:54,edsbyn,skottyp,utifrån,0
0:24:56,sirius,utkast,0,0
0:25:01,edsbyn,närkamp,0,z5
0:25:11,edsbyn,skott,räddning,z2
0:25:17,edsbyn,skottyp,centralt,z2
0:25:20,edsbyn,hörna,0,z3
0:25:39,edsbyn,skott,täckt,z2
0:25:44,edsbyn,skottyp,fast,z2
0:25:49,edsbyn,boll,0,0
0:26:16,sirius,närkamp,0,z2
0:26:25,sirius,närkamp,0,z6
0:26:44,edsbyn,brytning,0,z8
0:26:59,edsbyn,skott,räddning,z2
0:27:03,edsbyn,skottyp,utifrån,z2
0:27:09,edsbyn,hörna,0,z3
0:27:33,edsbyn,skott,utanför,z2
0:27:40,edsbyn,skottyp,fast,z2
0:27:44,sirius,utkast,0,z2
0:27:52,sirius,frislag,0,z5
0:28:24,sirius,närkamp,0,z6
0:28:38,sirius,passning,lång,z9
0:28:43,edsbyn,utkast,0,z8
0:28:56,edsbyn,hörna,0,z3
0:29:24,edsbyn,skott,täckt,z2
0:29:33,edsbyn,skottyp,fast,z2
0:29:39,sirius,rensning,0,0
0:29:48,sirius,utkast,0,z2
0:30:02,sirius,bolltapp,passförsök,z1
0:30:14,edsbyn,närkamp,0,z4
0:30:28,sirius,brytning,0,z2
