time,team,event,subevent,zone
0:00:00,vänersborg,avslag,0,z5
0:00:43,vänersborg,offside,0,0
0:00:47,sirius,boll,0,z8
0:01:58,vänersborg,utkast,0,z3
0:02:39,vänersborg,skott,utanför,z8
0:02:44,vänersborg,skottyp,utifrån,z8
0:02:47,sirius,utkast,0,z8
0:03:06,sirius,närkamp,0,z6
0:03:17,sirius,närkamp,0,z4
0:03:25,sirius,frislag,0,z4
0:03:41,vänersborg,närkamp,0,z5
0:03:52,vänersborg,mål,lång,z8
0:04:00,vänersborg,skottyp,utifrån,z8
0:04:16,sirius,avslag,0,z5
0:04:35,sirius,frislag,0,z4
0:04:57,sirius,skott,täckt,z2
0:05:02,sirius,skottyp,utifrån,z2
0:05:06,sirius,skott,täckt,z2
0:05:10,sirius,skottyp,utifrån,z2
0:05:13,sirius,hörna,0,z1
0:05:34,sirius,skott,täckt,z2
0:05:42,vänersborg,utkast,0,z3
0:06:05,sirius,utkast,0,z9
0:06:54,sirius,passning,straffområde,z2
0:06:59,sirius,boll,0,z3
0:07:37,vänersborg,utkast,0,z1
0:07:44,vänersborg,närkamp,0,z2
0:08:09,sirius,utkast,0,z8
0:08:24,sirius,närkamp,0,z5
0:08:50,sirius,passning,lång,z2
0:08:54,vänersborg,utkast,0,z3
0:09:32,sirius,brytning,0,z5
0:09:42,sirius,närkamp,0,z5
0:09:50,vänersborg,utkast,0,z2
0:10:22,vänersborg,frislag,0,z9
0:10:39,vänersborg,passning,straffområde,z8
0:10:45,vänersborg,skott,täckt,z8
0:10:52,vänersborg,skottyp,inlägg,z8
0:10:56,vänersborg,hörna,0,z7
0:11:14,vänersborg,skott,utanför,z8
0:11:14,vänersborg,skottyp,fast,z8
0:11:18,sirius,utkast,0,z9
0:12:13,vänersborg,närkamp,0,z6
0:12:18,vänersborg,frislag,0,z6
0:12:36,vänersborg,närkamp,0,z4
0:13:44,sirius,brytning,0,z8
0:13:51,vänersborg,boll,0,z8
0:14:05,vänersborg,passning,straffområde,z8
0:14:08,vänersborg,boll,0,0
0:14:39,sirius,utkast,0,z8
0:14:58,sirius,närkamp,0,z5
