time,team,event,subevent,zone
0:00:00,hammarby,avslag,0,0
0:00:29,hammarby,passning,lång,z2
0:00:32,sirius,utkast,0,0
0:01:51,hammarby,närkamp,0,z1
0:01:54,sirius,närkamp,0,z1
0:01:59,hammarby,närkamp,0,z4
0:02:36,hammarby,passning,straffområde,0
0:02:45,hammarby,mål,spelmål,z2
0:02:57,hammarby,skottyp,friställande,z2
0:03:15,sirius,avslag,0,0
0:03:52,hammarby,närkamp,0,z5
0:03:55,sirius,närkamp,0,z5
0:04:10,sirius,skott,täckt,z8
0:04:15,sirius,skottyp,utifrån,z8
0:04:18,sirius,hörna,0,z9
0:04:36,sirius,skott,täckt,z8
0:04:42,sirius,skottyp,fast,z8
0:04:44,sirius,boll,0,0
0:05:05,hammarby,närkamp,0,z7
0:05:18,sirius,närkamp,0,z4
0:05:20,sirius,inslag,0,z4
0:05:49,sirius,offside,0,z8
0:05:58,hammarby,boll,0,z9
0:07:18,sirius,närkamp,0,z6
0:07:27,hammarby,närkamp,0,z6
0:07:37,hammarby,offside,0,z2
0:07:42,sirius,boll,0,0
0:08:29,hammarby,närkamp,0,z6
0:08:43,hammarby,skott,utanför,z2
0:08:48,hammarby,skottyp,utifrån,z2
0:08:50,sirius,utkast,0,0
0:08:59,sirius,passning,straffområde,z8
0:09:03,hammarby,närkamp,0,z8
0:09:11,hammarby,passning,lång,z2
0:09:13,sirius,utkast,0,z1
0:09:38,sirius,passning,straffområde,z8
0:09:45,sirius,inslag,0,z9
0:10:18,sirius,skott,utanför,z8
0:10:24,sirius,skottyp,centralt,z8
0:10:26,hammarby,utkast,0,0
0:11:00,hammarby,skott,räddning,z2
0:11:04,hammarby,skottyp,utifrån,z2
0:11:06,sirius,utkast,0,0
0:11:11,hammarby,brytning,0,z5
0:11:41,hammarby,passning,straffområde,z2
0:11:46,hammarby,skott,utanför,z2
0:11:51,hammarby,skottyp,utifrån,z2
0:11:53,sirius,utkast,0,0
0:12:09,sirius,närkamp,0,z5
0:12:19,hammarby,närkamp,0,z4
0:12:26,hammarby,bolltapp,tappad,z2
0:12:29,sirius,rensning,0,0
0:12:54,hammarby,passning,lång,z2
0:13:00,hammarby,skott,täckt,z2
0:13:06,hammarby,skottyp,friställande,z2
0:13:09,sirius,boll,0,0
0:13:18,hammarby,utkast,0,z7
0:13:30,sirius,brytning,0,z4
0:13:50,sirius,passning,straffområde,z8
0:13:57,hammarby,närkamp,0,z8
0:14:07,hammarby,frislag,0,z4
0:14:29,hammarby,skott,utanför,z5
0:14:33,hammarby,skottyp,utifrån,z5
0:14:37,sirius,utkast,0,0
0:15:01,hammarby,brytning,0,z9
0:15:11,hammarby,frislag,0,z6
0:15:40,sirius,brytning,0,z1
0:15:55,sirius,närkamp,0,z5
0:16:01,sirius,passning,straffområde,z8
0:16:05,hammarby,närkamp,0,z8
0:16:38,hammarby,passning,straffområde,z2
0:16:40,sirius,brytning,0,z2
0:16:46,sirius,skott,utanför,z7
0:16:53,sirius,skottyp,utifrån,z7
0:16:55,hammarby,utkast,0,0
0:17:29,hammarby,passning,lång,z2
0:17:36,sirius,utkast,0,z1
0:18:39,hammarby,närkamp,0,z6
0:18:55,hammarby,passning,straffområde,z2
0:19:01,hammarby,mål,spelmål,z2
0:19:07,hammarby,skottyp,inlägg,z2
0:19:26,sirius,avslag,0,z2
0:19:50,sirius,frislag,0,z9
0:20:36,hammarby,brytning,0,z8
0:20:50,hammarby,passning,straffområde,0
0:20:54,hammarby,skott,utanför,z2
0:20:59,hammarby,skottyp,inlägg,z2
0:21:07,sirius,utkast,0,0
0:22:10,sirius,passning,lång,z8
0:22:14,sirius,närkamp,0,z8
0:22:21,sirius,hörna,0,z9
0:22:49,sirius,skott,täckt,z8
0:22:52,sirius,skottyp,fast,z8
0:22:57,sirius,boll,0,0
0:23:23,sirius,bolltapp,passförsök,z9
0:23:27,hammarby,inslag,0,z9
0:23:55,hammarby,skott,utanför,z2
0:23:59,hammarby,skottyp,utifrån,z2
0:24:01,sirius,utkast,0,0
0:24:40,sirius,passning,straffområde,z8
0:24:46,hammarby,närkamp,0,z8
0:24:48,hammarby,rensning,0,0
0:25:24,sirius,skott,täckt,z5
0:25:28,sirius,skottyp,utifrån,0
0:25:31,hammarby,boll,0,0
0:25:36,hammarby,skott,utanför,z3
0:25:41,hammarby,skottyp,utifrån,0
0:25:44,sirius,utkast,0,0
0:26:01,sirius,skott,räddning,z8
0:26:07,sirius,skottyp,utifrån,z8
0:26:09,hammarby,utkast,0,0
0:26:42,hammarby,passning,straffområde,z2
0:26:47,sirius,frislag,0,z2
0:27:10,sirius,skott,täckt,z8
0:27:15,sirius,skottyp,utifrån,z8
0:27:19,hammarby,boll,0,0
0:28:28,hammarby,passning,lång,z2
0:28:30,sirius,utkast,0,z1
0:29:16,sirius,passning,straffområde,z8
0:29:19,sirius,hörna,0,z7
0:29:50,sirius,skott,räddning,z8
0:29:55,sirius,skottyp,fast,z8
0:29:57,0,timeout,0,0
0:30:46,sirius,boll,0,0
0:30:49,sirius,utkast,0,z3
0:31:08,hammarby,närkamp,0,z5
0:31:13,hammarby,utkast,0,0
0:32:18,hammarby,passning,lång,z3
0:32:21,sirius,utkast,0,z3
0:32:50,hammarby,närkamp,0,z5
0:32:56,sirius,närkamp,0,z5
0:33:12,hammarby,brytning,0,z8
0:33:25,hammarby,rensning,0,0
0:33:40,hammarby,brytning,0,z6
0:33:55,hammarby,mål,spelmål,z2
0:34:05,hammarby,skottyp,utifrån,z2
0:34:35,sirius,avslag,0,z2
0:35:11,sirius,närkamp,0,z4
0:35:30,hammarby,närkamp,0,z5
0:35:33,sirius,närkamp,0,z5
0:36:05,sirius,passning,lång,z8
0:36:12,hammarby,utkast,0,z8
0:37:25,hammarby,passning,straffområde,z2
0:37:28,sirius,närkamp,0,z3
0:37:43,hammarby,närkamp,0,z8
0:38:43,hammarby,passning,lång,z2
0:38:46,sirius,utkast,0,z3
0:39:30,sirius,skott,räddning,z8
0:39:34,sirius,skottyp,dribbling,z8
0:39:38,hammarby,utkast,0,0
0:40:02,sirius,närkamp,0,z1
0:40:16,sirius,skott,utanför,z8
0:40:20,sirius,skottyp,centralt,z8
0:40:22,hammarby,utkast,0,0
0:40:28,sirius,närkamp,0,z2
0:40:33,0,timeout,0,0
0:41:51,sirius,boll,0,0
0:42:03,sirius,närkamp,0,z5
0:42:09,hammarby,närkamp,0,z9
0:42:27,hammarby,hörna,0,z3
0:42:56,hammarby,skott,täckt,z2
0:43:00,hammarby,skottyp,fast,z2
0:43:04,sirius,rensning,0,0
0:43:59,sirius,närkamp,0,z1
0:44:01,sirius,utkast,0,z3
0:44:16,sirius,bolltapp,tappad,z4
0:44:49,hammarby,närkamp,0,z4
0:45:44,sirius,närkamp,0,z1
0:45:59,hammarby,närkamp,0,z5
0:46:03,hammarby,utkast,0,z7
0:46:11,hammarby,passning,lång,0
0:46:14,sirius,närkamp,0,z2
0:46:22,hammarby,brytning,0,z5
0:46:32,0,stop,0,0
