time,team,event,subevent,zone
0:00:00,frillesås,avslag,0,z2
0:00:12,frillesås,bolltapp,passförsök,z1
0:00:14,sirius,hörna,0,z1
0:00:36,sirius,skott,täckt,z2
0:00:41,sirius,skottyp,fast,z2
0:00:45,frillesås,boll,0,z3
0:00:52,sirius,närkamp,0,z6
0:01:05,frillesås,närkamp,0,z7
0:01:13,frillesås,frislag,0,z7
0:01:30,frillesås,passning,straffområde,z8
0:01:53,frillesås,passning,lång,z9
0:02:00,frillesås,skott,räddning,z8
0:02:05,frillesås,skottyp,utifrån,z8
0:02:07,sirius,boll,0,0
0:02:18,sirius,skott,täckt,z2
0:02:25,sirius,skottyp,utifrån,0
0:02:34,sirius,inslag,0,z1
0:02:47,sirius,passning,straffområde,z2
0:02:52,frillesås,utkast,0,z3
0:03:27,frillesås,passning,lång,0
0:03:29,sirius,inslag,0,z7
0:03:47,sirius,skott,täckt,z2
0:03:51,sirius,skottyp,utifrån,z2
0:03:53,sirius,hörna,0,z1
0:04:15,sirius,skott,täckt,z2
0:04:18,sirius,skottyp,fast,z2
0:04:22,sirius,boll,0,0
0:04:27,sirius,skott,utanför,z2
0:04:30,sirius,skottyp,utifrån,z2
0:04:32,frillesås,utkast,0,0
0:04:40,sirius,närkamp,0,z6
0:04:52,sirius,närkamp,0,z5
0:05:33,sirius,frislag,0,z3
0:05:44,sirius,skott,utanför,z2
0:05:47,sirius,skottyp,fast,z2
0:05:49,frillesås,utkast,0,z1
0:06:12,sirius,närkamp,0,z7
0:06:15,sirius,inslag,0,z7
0:06:31,sirius,40,0,z8
0:06:42,sirius,passning,lång,z2
0:06:46,frillesås,utkast,0,0
0:07:04,frillesås,närkamp,0,z7
0:07:08,frillesås,frislag,0,z7
0:07:19,frillesås,passning,lång,z8
0:07:23,sirius,utkast,0,z7
0:07:44,sirius,passning,straffområde,z2
0:07:47,sirius,närkamp,0,z2
0:07:52,sirius,skott,räddning,z2
0:07:55,sirius,skottyp,utifrån,z2
0:07:58,sirius,hörna,0,z1
0:08:18,sirius,skott,utanför,z2
0:08:21,sirius,skottyp,fast,z2
0:08:24,frillesås,utkast,0,z1
0:08:56,frillesås,passning,lång,z5
0:09:00,sirius,brytning,0,z5
0:09:16,frillesås,utvisning,10,z2
0:09:19,0,timeout,0,0
0:12:48,sirius,frislag,0,z2
0:12:57,sirius,bolltapp,passförsök,z2
0:13:01,frillesås,rensning,0,0
0:13:19,sirius,40,0,z5
0:13:33,sirius,skott,räddning,z2
0:13:37,sirius,skottyp,utifrån,z2
0:13:40,frillesås,utkast,0,z1
0:13:48,sirius,närkamp,0,z5
0:13:58,sirius,passning,straffområde,z2
0:14:00,frillesås,närkamp,0,z2
0:14:05,frillesås,närkamp,0,z4
0:14:15,frillesås,skott,täckt,z8
0:14:20,frillesås,skottyp,utifrån,z8
0:14:29,sirius,närkamp,0,z8
0:14:35,frillesås,utkast,0,z3
0:15:12,sirius,brytning,0,z7
0:15:31,sirius,passning,straffområde,z2
0:15:34,frillesås,närkamp,0,z3
0:15:49,frillesås,passning,farlig,z8
0:15:52,sirius,utkast,0,0
0:16:07,sirius,40,0,z5
0:16:22,sirius,offside,0,z2
0:16:26,frillesås,boll,0,0
0:16:29,sirius,närkamp,0,z1
0:16:49,sirius,mål,lång,z2
0:16:56,sirius,skottyp,utifrån,z2
0:17:33,frillesås,avslag,0,0
0:17:41,sirius,närkamp,0,z3
0:18:01,sirius,bolltapp,passförsök,z5
0:18:16,frillesås,frislag,0,z9
0:18:33,sirius,närkamp,0,z8
0:18:40,sirius,utkast,0,z7
0:18:55,sirius,40,0,z8
0:19:16,frillesås,närkamp,0,z6
0:19:21,sirius,närkamp,0,z6
0:19:31,sirius,skott,utanför,z2
0:19:35,sirius,skottyp,utifrån,z2
0:19:38,frillesås,utkast,0,z1
0:19:57,frillesås,hörna,0,z7
0:20:27,frillesås,skott,täckt,z8
0:20:31,frillesås,skottyp,fast,z8
0:20:36,frillesås,skott,täckt,z8
0:20:42,frillesås,skottyp,retur,z8
0:20:44,sirius,utkast,0,0
0:20:51,sirius,skott,täckt,z2
0:20:56,sirius,skottyp,utifrån,z2
0:20:58,sirius,inslag,0,z1
0:21:08,frillesås,närkamp,0,z3
0:21:14,sirius,brytning,0,z6
0:21:31,sirius,hörna,0,z1
0:22:02,sirius,skott,täckt,z2
0:22:07,sirius,skottyp,fast,z2
0:22:10,sirius,mål,retur,z2
0:22:19,sirius,skottyp,utifrån,z2
0:22:38,frillesås,avslag,0,0
0:23:06,frillesås,skott,räddning,z8
0:23:13,frillesås,skottyp,dribbling,z8
0:23:16,frillesås,hörna,0,z9
0:23:44,frillesås,skott,täckt,z8
0:23:51,frillesås,skottyp,fast,z8
0:23:54,sirius,rensning,0,0
0:24:16,sirius,närkamp,0,z8
0:24:56,sirius,40,0,0
0:25:18,sirius,40,0,0
0:25:33,frillesås,närkamp,0,z2
0:25:39,frillesås,närkamp,0,z6
0:26:09,frillesås,skott,utanför,z8
