time,team,event,subevent,zone
0:00:00,motala,avslag,0,z2
0:00:26,motala,passning,lång,z8
0:00:32,sirius,utkast,0,z7
0:01:01,sirius,skott,utanför,z2
0:01:04,sirius,skottyp,utifrån,z2
0:01:06,motala,utkast,0,z3
0:01:24,sirius,närkamp,0,z8
0:01:40,sirius,bolltapp,tappad,z5
0:02:07,sirius,brytning,0,z8
0:02:14,motala,närkamp,0,z4
0:03:07,sirius,närkamp,0,z4
0:03:32,sirius,närkamp,0,z3
0:03:36,sirius,passning,straffområde,z2
0:03:43,motala,utkast,0,0
0:04:28,motala,utkast,0,0
0:04:43,sirius,närkamp,0,z8
0:04:48,motala,närkamp,0,z9
0:05:11,motala,skott,utanför,z9
0:05:16,motala,skottyp,utifrån,z9
0:05:17,sirius,utkast,0,0
0:05:20,sirius,passning,lång,0
0:05:23,motala,boll,0,0
0:05:27,sirius,närkamp,0,z5
0:05:40,sirius,skott,täckt,z2
0:05:45,sirius,skottyp,utifrån,z2
0:05:47,sirius,närkamp,0,z2
0:05:54,sirius,skott,täckt,z2
0:06:00,sirius,skottyp,retur,z2
0:06:03,motala,utkast,0,0
0:06:09,motala,passning,lång,0
0:06:11,sirius,boll,0,0
0:06:26,motala,rensning,0,0
0:07:17,motala,närkamp,0,z3
0:07:45,motala,offside,0,0
0:07:51,sirius,boll,0,0
0:08:42,motala,utkast,0,z3
0:08:49,motala,passning,lång,0
0:08:54,sirius,boll,0,z8
0:09:08,sirius,bolltapp,tappad,z4
0:09:10,sirius,närkamp,0,z8
0:09:43,motala,utkast,0,z1
0:10:08,sirius,utkast,0,z7
0:10:37,sirius,40,0,z8
0:10:51,motala,utkast,0,0
0:11:25,motala,närkamp,0,z8
0:11:38,motala,passning,straffområde,z8
0:11:55,motala,hörna,0,z9
0:12:08,motala,skott,räddning,z8
0:12:13,motala,skottyp,fast,z8
0:12:16,sirius,utkast,0,z9
0:12:20,sirius,passning,lång,0
0:12:24,motala,boll,0,0
0:12:42,sirius,närkamp,0,z8
0:13:12,motala,närkamp,0,z6
0:13:41,sirius,brytning,0,z4
0:14:07,motala,utkast,0,z3
0:14:26,motala,skott,utanför,z8
0:14:29,motala,skottyp,utifrån,z8
0:14:31,sirius,utkast,0,0
0:15:18,sirius,passning,straffområde,z2
0:15:22,sirius,mål,spelmål,z2
0:15:27,sirius,skottyp,inlägg,z2
0:16:16,motala,avslag,0,0
0:16:38,sirius,närkamp,0,z4
0:16:46,motala,frislag,0,z4
0:16:56,motala,bolltapp,passförsök,z1
0:17:01,sirius,hörna,0,z1
0:17:28,sirius,skott,täckt,z2
0:17:31,sirius,skottyp,fast,z2
0:17:36,sirius,närkamp,0,z4
0:17:48,motala,utkast,0,z3
0:18:22,sirius,närkamp,0,z5
0:18:30,sirius,mål,spelmål,z2
0:18:33,sirius,skottyp,utifrån,z2
0:18:59,motala,avslag,0,0
0:19:13,sirius,brytning,0,z5
0:19:32,sirius,40,0,0
0:19:50,sirius,närkamp,0,z6
0:20:06,motala,utkast,0,0
0:20:26,motala,frislag,0,z6
0:20:48,motala,passning,lång,0
0:21:41,sirius,närkamp,0,z6
0:21:57,sirius,passning,lång,z2
0:22:01,motala,boll,0,z2
0:22:16,motala,närkamp,0,z9
0:22:51,motala,passning,lång,0
0:23:06,sirius,utkast,0,z9
0:23:17,motala,närkamp,0,z7
0:23:27,sirius,brytning,0,z7
0:23:32,motala,inslag,0,z7
0:23:46,motala,hörna,0,z7
0:24:21,motala,skott,täckt,z8
0:24:24,motala,skottyp,fast,z8
0:24:30,sirius,utkast,0,0
0:24:41,sirius,friläge,0,z2
0:24:45,sirius,mål,spelmål,z2
0:24:53,sirius,skottyp,friställande,z2
0:25:09,motala,avslag,0,0
0:25:26,sirius,utkast,0,0
0:25:37,sirius,bolltapp,tappad,z9
0:25:46,motala,skott,utanför,z8
0:25:50,motala,skottyp,utifrån,z8
0:25:52,motala,timeout,0,0
0:27:14,sirius,utkast,0,z7
0:27:22,motala,brytning,0,z1
0:27:39,motala,passning,straffområde,z8
0:27:44,sirius,utkast,0,z4
0:27:56,sirius,passning,straffområde,z2
0:27:58,sirius,skott,utanför,z2
0:28:02,sirius,skottyp,inlägg,z2
0:28:03,motala,utkast,0,0
0:28:28,sirius,brytning,0,z8
0:28:29,sirius,frislag,0,0
0:28:32,sirius,passning,lång,0
0:28:34,motala,utkast,0,0
0:28:44,sirius,närkamp,0,z5
0:28:56,sirius,frislag,0,z1
0:29:15,sirius,passning,lång,0
0:29:16,motala,utkast,0,0
0:29:20,motala,passning,lång,0
0:29:24,motala,närkamp,0,z8
0:29:28,motala,skott,räddning,z8
0:29:31,motala,skottyp,utifrån,z8
0:29:35,sirius,närkamp,0,z1
0:29:37,motala,frislag,0,z1
0:30:06,motala,skott,räddning,z8
0:30:10,motala,skottyp,utifrån,z8
0:30:25,sirius,utkast,0,0
0:30:43,motala,skott,täckt,z8
0:30:51,motala,skottyp,centralt,z8
0:31:00,sirius,närkamp,0,z8
0:31:05,sirius,skott,räddning,z2
0:31:09,sirius,skottyp,utifrån,z2
0:31:11,motala,utkast,0,0
0:31:18,sirius,närkamp,0,z8
0:31:34,motala,närkamp,0,z3
0:31:40,motala,passning,lång,0
0:31:44,motala,hörna,0,z9
0:32:17,motala,skott,täckt,z8
0:32:24,motala,skottyp,fast,z8
0:32:26,sirius,utkast,0,z7
0:32:37,sirius,inslag,0,z4
0:32:47,sirius,passning,lång,z2
0:32:51,sirius,närkamp,0,z2
0:32:56,sirius,skott,utanför,z2
0:32:59,sirius,skottyp,centralt,z2
0:33:01,motala,utkast,0,0
0:33:20,sirius,närkamp,0,z7
0:33:28,motala,frislag,0,z5
0:33:39,motala,passning,straffområde,z8
0:33:41,sirius,rensning,0,0
0:33:48,motala,inslag,0,z7
0:33:53,motala,passning,straffområde,z8
0:33:55,sirius,rensning,0,0
0:34:02,sirius,närkamp,0,z6
0:34:05,sirius,offside,0,0
0:34:24,motala,frislag,0,z7
0:34:41,motala,passning,straffområde,z8
