time,team,event,subevent,zone
0:00:00,villa,avslag,0,0
0:00:17,villa,passning,straffområde,z2
0:00:23,villa,mål,spelmål,z2
0:00:27,villa,skottyp,inlägg,z2
0:00:45,sirius,avslag,0,0
0:01:18,villa,närkamp,0,z6
0:01:27,villa,frislag,0,z2
0:02:20,sirius,närkamp,0,z2
0:02:29,villa,närkamp,0,z3
0:02:52,villa,skott,räddning,z2
0:02:55,villa,skottyp,utifrån,z2
0:02:57,sirius,utkast,0,z3
0:03:07,villa,närkamp,0,z6
0:03:17,villa,passning,lång,0
0:03:22,villa,skott,räddning,z2
0:03:28,villa,skottyp,centralt,z2
0:03:30,villa,hörna,0,z1
0:03:54,villa,skott,utanför,z2
0:03:59,villa,skottyp,fast,z2
0:04:04,sirius,utkast,0,0
0:04:07,villa,brytning,0,z5
0:04:14,sirius,närkamp,0,z5
0:04:30,villa,närkamp,0,z9
0:04:42,villa,skott,räddning,z2
0:04:45,villa,skottyp,centralt,z2
0:04:51,sirius,boll,0,0
0:05:05,sirius,skott,täckt,z8
0:05:11,sirius,skottyp,utifrån,z8
0:05:14,sirius,inslag,0,z9
0:05:31,sirius,40,0,z2
0:05:42,villa,närkamp,0,z5
0:05:51,villa,skott,utanför,z2
0:06:01,villa,skottyp,dribbling,z2
0:06:04,villa,hörna,0,z3
0:06:21,villa,skott,utanför,z2
0:06:25,villa,skottyp,fast,z2
0:06:28,sirius,utkast,0,z3
0:06:44,villa,närkamp,0,z8
0:06:58,sirius,närkamp,0,z9
0:07:07,sirius,40,0,z2
0:07:26,villa,brytning,0,z8
0:07:36,villa,inslag,0,z7
0:08:34,villa,offside,0,0
0:09:08,villa,närkamp,0,z8
0:09:16,villa,passning,lång,0
0:09:22,villa,skott,räddning,z2
0:09:25,villa,skottyp,utifrån,z2
0:09:28,sirius,boll,0,0
0:09:37,sirius,mål,spelmål,z8
0:09:41,sirius,skottyp,utifrån,z8
0:10:09,villa,avslag,0,0
0:10:48,villa,skott,räddning,z2
0:10:53,villa,skottyp,centralt,z2
0:10:56,sirius,rensning,0,0
0:11:36,villa,skott,utanför,z2
0:11:39,villa,skottyp,utifrån,z2
0:11:47,villa,skott,utanför,z2
0:11:52,villa,skottyp,centralt,z2
0:11:53,sirius,utkast,0,0
0:12:12,sirius,40,0,0
0:12:20,sirius,offside,0,0
0:12:51,sirius,närkamp,0,z6
0:12:59,villa,närkamp,0,z8
0:13:20,villa,skott,räddning,z2
0:13:28,villa,skottyp,dribbling,z2
