time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:12,edsbyn,närkamp,0,z4
0:00:18,edsbyn,frislag,0,z5
0:00:30,sirius,närkamp,0,z2
0:00:39,edsbyn,inslag,0,z1
0:01:09,edsbyn,passning,straffområde,z2
0:01:15,edsbyn,boll,0,z3
0:01:44,edsbyn,skott,räddning,z2
0:01:52,edsbyn,skottyp,utifrån,z2
0:01:56,edsbyn,hörna,0,z3
0:02:03,edsbyn,skott,räddning,z2
0:02:07,edsbyn,skottyp,fast,z2
0:02:13,edsbyn,skott,utanför,z2
0:02:17,edsbyn,skottyp,retur,z2
0:02:21,sirius,boll,0,0
0:02:29,edsbyn,närkamp,0,z9
0:02:33,edsbyn,frislag,0,z9
0:02:45,sirius,närkamp,0,z6
0:02:50,edsbyn,närkamp,0,z5
0:03:22,edsbyn,skott,täckt,z2
0:03:26,edsbyn,skottyp,utifrån,z2
0:03:29,sirius,utkast,0,0
0:04:09,sirius,skott,räddning,z8
0:04:14,sirius,skottyp,utifrån,z8
0:04:16,edsbyn,utkast,0,0
0:05:31,edsbyn,frislag,0,z5
0:06:11,edsbyn,bolltapp,passförsök,z4
0:06:16,edsbyn,boll,0,z7
0:06:20,sirius,närkamp,0,z2
0:06:42,sirius,bolltapp,passförsök,z6
0:06:50,sirius,närkamp,0,z2
0:07:04,edsbyn,utkast,0,z8
0:07:18,sirius,närkamp,0,z5
0:07:28,sirius,hörna,0,z9
0:07:55,sirius,skott,täckt,z8
0:07:58,sirius,skottyp,fast,z8
0:08:02,sirius,boll,0,0
0:08:36,sirius,passning,lång,z2
0:08:40,edsbyn,brytning,0,z5
0:09:18,edsbyn,offside,0,z2
0:09:26,sirius,boll,0,0
0:10:13,sirius,bolltapp,passförsök,z6
0:10:25,edsbyn,bolltapp,passförsök,0
0:10:32,sirius,utkast,0,z2
0:10:39,sirius,skott,utanför,z8
0:10:46,sirius,skottyp,utifrån,z8
0:10:48,edsbyn,utkast,0,0
0:11:01,sirius,brytning,0,z1
0:11:58,sirius,skott,räddning,z8
0:12:01,sirius,skottyp,centralt,z8
0:12:04,sirius,boll,0,0
0:12:16,sirius,passning,lång,z8
0:12:22,edsbyn,brytning,0,z8
0:12:58,edsbyn,mål,straffområde,z2
0:13:02,edsbyn,skottyp,centralt,z2
0:13:30,sirius,avslag,0,z5
0:13:44,sirius,närkamp,0,z6
0:14:02,edsbyn,närkamp,0,z3
0:14:40,edsbyn,passning,lång,z2
0:14:47,sirius,utkast,0,z2
0:15:15,sirius,rensning,0,0
0:16:27,edsbyn,närkamp,0,z9
0:16:30,edsbyn,frislag,0,z9
0:16:49,sirius,närkamp,0,z4
0:17:03,sirius,närkamp,0,z5
0:17:42,sirius,passning,straffområde,z8
0:17:45,edsbyn,närkamp,0,z8
0:18:25,sirius,närkamp,0,z6
0:18:40,sirius,skott,räddning,z8
0:18:45,sirius,skottyp,centralt,z8
0:18:52,sirius,mål,straffområde,z8
0:18:56,sirius,skottyp,retur,z8
0:19:16,edsbyn,avslag,0,0
0:20:34,sirius,närkamp,0,z4
0:20:47,sirius,närkamp,0,z6
0:21:46,sirius,skott,täckt,z9
0:21:52,sirius,skottyp,utifrån,z9
0:21:54,sirius,hörna,0,z9
0:22:17,sirius,skott,utanför,z8
0:22:20,sirius,skottyp,fast,z8
0:22:25,edsbyn,utkast,0,0
0:22:40,sirius,brytning,0,z5
0:22:56,edsbyn,utkast,0,z9
0:23:36,edsbyn,frislag,0,z2
0:23:52,edsbyn,skott,räddning,z2
0:23:55,edsbyn,skottyp,utifrån,z2
0:24:02,sirius,utkast,0,0
0:24:08,edsbyn,utkast,0,0
