time,team,event,subevent,zone
0:00:00,edsbyn,avslag,0,z5
0:00:16,edsbyn,frislag,0,z4
0:01:01,edsbyn,närkamp,0,z3
0:01:04,sirius,närkamp,0,z3
0:01:23,sirius,hörna,0,z9
0:01:51,sirius,skott,täckt,z8
0:01:55,sirius,skottyp,fast,z8
0:02:03,edsbyn,boll,0,0
0:02:43,edsbyn,passning,lång,z2
0:02:48,sirius,boll,0,z2
0:02:52,sirius,skott,räddning,z8
0:02:57,sirius,skottyp,utifrån,z8
0:02:59,edsbyn,utkast,0,0
0:03:05,sirius,närkamp,0,z6
0:03:22,sirius,frislag,0,z9
0:03:34,sirius,inslag,0,z7
0:04:25,sirius,bolltapp,passförsök,z5
0:04:31,edsbyn,bolltapp,passförsök,z1
0:04:36,sirius,frislag,0,z4
0:05:02,edsbyn,närkamp,0,z5
0:05:12,edsbyn,skott,räddning,z2
0:05:15,edsbyn,skottyp,utifrån,z2
0:05:18,sirius,utkast,0,z3
0:05:23,edsbyn,närkamp,0,z9
0:05:44,edsbyn,frislag,0,z1
0:05:58,sirius,närkamp,0,z2
0:06:04,edsbyn,boll,0,0
0:06:06,sirius,närkamp,0,z5
0:06:23,sirius,närkamp,0,z6
0:06:52,sirius,passning,straffområde,z8
0:06:55,sirius,boll,0,z7
0:07:02,sirius,passning,straffområde,z8
0:07:07,edsbyn,inslag,0,z9
0:07:28,edsbyn,passning,lång,z6
0:07:32,sirius,brytning,0,z6
0:07:49,sirius,passning,lång,z8
0:07:53,sirius,friläge,0,z8
0:08:01,sirius,mål,straffområde,z8
0:08:12,sirius,skottyp,friställande,z8
0:08:19,edsbyn,avslag,0,z5
0:09:13,edsbyn,passning,straffområde,z2
0:09:20,sirius,närkamp,0,z1
0:09:22,sirius,inslag,0,z1
0:09:34,sirius,närkamp,0,z1
0:09:46,edsbyn,brytning,0,z8
0:09:57,sirius,närkamp,0,z4
0:10:00,sirius,skott,utanför,z8
0:10:04,sirius,skottyp,utifrån,z8
0:10:07,edsbyn,utkast,0,0
0:10:12,sirius,närkamp,0,z5
0:10:28,edsbyn,brytning,0,z5
0:10:35,sirius,närkamp,0,z5
0:10:38,sirius,frislag,0,z4
0:11:39,sirius,passning,straffområde,z8
0:11:46,sirius,hörna,0,z9
0:12:48,sirius,skott,täckt,z8
0:12:52,sirius,skottyp,fast,z8
0:12:54,edsbyn,utkast,0,0
0:13:12,sirius,närkamp,0,z6
0:13:25,sirius,frislag,0,z9
0:14:01,edsbyn,närkamp,0,z8
0:14:15,sirius,boll,0,z5
0:14:25,sirius,mål,straffområde,z8
0:14:32,sirius,skottyp,dribbling,z8
0:14:43,edsbyn,avslag,0,z5
0:15:19,edsbyn,närkamp,0,z5
0:16:11,edsbyn,passning,straffområde,z2
0:16:22,edsbyn,skott,räddning,z2
0:16:27,edsbyn,skottyp,centralt,z2
0:16:37,sirius,boll,0,0
0:16:49,sirius,bolltapp,passförsök,z4
0:17:21,edsbyn,skott,räddning,z2
0:17:25,edsbyn,skottyp,utifrån,z2
0:17:33,edsbyn,hörna,0,z1
0:18:14,edsbyn,skott,täckt,z2
0:18:18,edsbyn,skottyp,fast,z2
0:18:20,sirius,boll,0,0
0:18:24,sirius,hörna,0,z9
0:18:53,sirius,skott,utanför,z8
0:18:58,sirius,skottyp,fast,z8
0:19:03,edsbyn,utkast,0,0
0:19:27,edsbyn,passning,lång,z2
0:19:30,sirius,närkamp,0,z2
0:19:41,sirius,bolltapp,passförsök,z6
0:19:52,sirius,närkamp,0,z2
0:20:04,sirius,bolltapp,passförsök,z8
0:20:20,edsbyn,passning,straffområde,z2
0:20:23,edsbyn,boll,0,0
0:22:26,edsbyn,närkamp,0,z5
0:23:10,edsbyn,närkamp,0,z8
0:23:45,sirius,närkamp,0,z3
0:24:34,sirius,passning,straffområde,z8
0:24:38,edsbyn,utkast,0,0
0:25:07,edsbyn,passning,lång,z2
0:25:10,edsbyn,boll,0,z2
0:25:30,sirius,hörna,0,z7
0:25:56,sirius,skott,täckt,z8
0:26:02,sirius,skottyp,fast,z8
0:26:07,edsbyn,boll,0,0
0:26:14,edsbyn,skott,räddning,z2
0:26:18,edsbyn,skottyp,dribbling,z2
0:26:22,edsbyn,hörna,0,z3
0:26:39,edsbyn,skott,täckt,z2
0:26:45,edsbyn,skottyp,fast,z2
0:26:48,sirius,utkast,0,0
0:27:21,sirius,närkamp,0,z4
0:28:25,edsbyn,närkamp,0,z5
0:28:33,edsbyn,närkamp,0,z1
0:28:43,edsbyn,passning,straffområde,z2
0:28:44,sirius,boll,0,0
0:29:37,sirius,rensning,0,z5
0:29:42,edsbyn,boll,0,0
0:29:57,edsbyn,frislag,0,z5
0:30:16,edsbyn,passning,straffområde,z2
0:30:22,edsbyn,skott,räddning,0
0:30:29,edsbyn,skottyp,inlägg,z2
0:30:37,edsbyn,skott,räddning,z2
0:30:41,edsbyn,skottyp,retur,z2
0:30:43,sirius,boll,0,0
0:30:53,edsbyn,närkamp,0,z8
0:31:00,sirius,närkamp,0,z8
0:31:10,edsbyn,utkast,0,0
0:31:24,edsbyn,passning,straffområde,z2
0:31:28,edsbyn,skott,räddning,z2
0:31:35,edsbyn,skottyp,inlägg,z2
0:31:40,sirius,utkast,0,0
0:32:42,sirius,passning,lång,z8
0:32:49,sirius,skott,räddning,z8
0:32:54,sirius,skottyp,centralt,z8
0:32:56,edsbyn,boll,0,0
0:33:04,sirius,närkamp,0,z2
0:33:13,sirius,närkamp,0,z6
