time,team,event,subevent,zone
0:00:00,broberg,avslag,0,z5
0:00:14,broberg,närkamp,0,z8
0:00:41,broberg,bolltapp,tappad,z5
0:01:11,broberg,brytning,0,z6
0:01:17,sirius,närkamp,0,z6
0:01:24,broberg,frislag,0,z6
0:01:50,sirius,närkamp,0,z6
0:02:03,sirius,närkamp,0,z4
0:02:47,sirius,bolltapp,passförsök,z8
0:03:02,broberg,hörna,0,z3
0:03:32,broberg,skott,täckt,z2
0:03:39,broberg,inslag,0,z1
0:04:18,broberg,närkamp,0,z2
0:04:21,sirius,närkamp,0,z2
0:04:36,broberg,utkast,0,z9
0:04:54,sirius,närkamp,0,z5
0:05:05,broberg,boll,0,z5
0:05:22,broberg,bolltapp,tappad,z4
0:05:53,sirius,passning,straffområde,z8
0:05:59,broberg,närkamp,0,z9
0:06:06,sirius,närkamp,0,z4
0:06:24,sirius,närkamp,0,z6
0:07:07,sirius,passning,straffområde,z8
0:07:10,broberg,utkast,0,z8
0:07:25,broberg,skott,räddning,z2
0:07:31,broberg,skottyp,centralt,z2
0:07:36,broberg,boll,0,z5
0:08:08,broberg,passning,straffområde,z2
0:08:14,sirius,utkast,0,z2
0:08:38,broberg,brytning,0,z8
0:08:47,broberg,skott,täckt,z2
0:08:54,broberg,skottyp,dribbling,z2
0:09:00,sirius,närkamp,0,0
0:10:02,broberg,närkamp,0,z8
0:10:06,broberg,närkamp,0,z6
0:10:38,broberg,offside,0,0
0:10:45,sirius,boll,0,0
0:11:40,sirius,frislag,0,z5
0:12:19,sirius,passning,lång,0
0:12:22,broberg,utkast,0,z8
0:12:34,broberg,närkamp,0,z6
0:12:44,broberg,närkamp,0,z4
0:13:08,broberg,närkamp,0,z5
0:13:12,sirius,frislag,0,z2
0:13:34,sirius,skott,täckt,z8
0:13:39,sirius,skottyp,centralt,z8
0:13:42,broberg,boll,0,0
0:13:51,sirius,närkamp,0,z1
0:14:03,broberg,närkamp,0,z5
0:14:14,sirius,närkamp,0,z2
0:14:31,sirius,passning,straffområde,z8
0:14:37,sirius,hörna,0,z9
0:15:09,sirius,skott,räddning,z8
0:15:29,sirius,skottyp,fast,z8
0:15:36,sirius,närkamp,0,0
0:15:47,sirius,passning,straffområde,z8
0:15:50,sirius,närkamp,0,z8
0:16:14,sirius,bolltapp,passförsök,z4
0:17:03,broberg,passning,straffområde,z2
0:17:05,sirius,utkast,0,z3
0:17:34,sirius,närkamp,0,z8
0:17:48,sirius,frislag,0,z8
0:18:48,sirius,närkamp,0,z6
0:19:14,broberg,närkamp,0,z4
0:19:22,sirius,närkamp,0,z1
0:19:42,sirius,skott,täckt,z8
0:19:46,sirius,skottyp,utifrån,z8
0:19:49,broberg,boll,0,0
0:19:57,sirius,närkamp,0,z2
0:20:08,sirius,skott,räddning,z8
0:20:12,sirius,skottyp,utifrån,z8
0:20:17,broberg,utkast,0,z8
0:20:23,broberg,närkamp,0,z5
0:20:36,broberg,skott,täckt,z2
0:20:43,broberg,skottyp,utifrån,z2
0:20:47,sirius,boll,0,0
0:21:06,sirius,passning,straffområde,z8
0:21:35,sirius,skott,täckt,z8
0:21:42,sirius,skottyp,utifrån,z8
0:21:48,broberg,boll,0,0
0:21:57,broberg,skott,räddning,z2
0:21:58,broberg,skottyp,centralt,z2
0:22:05,sirius,boll,0,z2
0:22:10,broberg,närkamp,0,z5
0:22:15,broberg,frislag,0,z4
0:22:22,broberg,skott,räddning,z2
0:22:30,broberg,skottyp,utifrån,z2
0:22:34,broberg,hörna,0,z1
0:22:51,broberg,mål,fast,z2
0:22:55,broberg,skottyp,fast,z2
0:23:23,sirius,avslag,0,z5
0:23:57,broberg,närkamp,0,z6
0:24:08,broberg,frislag,0,z6
0:24:22,broberg,passning,straffområde,z2
0:24:28,broberg,skott,räddning,z2
0:24:37,broberg,skottyp,utifrån,z2
0:24:42,broberg,skott,täckt,z2
0:24:48,broberg,skottyp,retur,z2
0:24:52,broberg,hörna,0,z3
0:25:03,broberg,skott,täckt,z2
0:25:14,broberg,skottyp,fast,z2
0:25:21,sirius,närkamp,0,0
0:25:25,broberg,närkamp,0,0
0:25:48,broberg,skott,räddning,z2
0:25:52,broberg,skottyp,centralt,z2
0:25:58,sirius,utkast,0,z2
0:26:25,sirius,rensning,0,z2
0:26:37,broberg,passning,lång,z2
0:26:42,sirius,brytning,0,z2
0:26:57,broberg,närkamp,0,z6
0:27:10,broberg,passning,straffområde,z2
0:27:14,sirius,närkamp,0,z2
0:27:23,broberg,närkamp,0,z6
0:28:00,broberg,passning,straffområde,z2
0:28:06,sirius,utkast,0,z1
0:28:29,broberg,passning,straffområde,z2
0:28:41,broberg,närkamp,0,z8
0:28:47,broberg,närkamp,0,z4
0:29:01,broberg,passning,straffområde,z2
0:29:13,sirius,närkamp,0,z2
0:29:22,sirius,mål,lång,z8
0:29:26,sirius,skottyp,utifrån,z8
0:29:37,broberg,avslag,0,z5
0:30:05,0,stop,0,0
