time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:32,sirius,frislag,0,z6
0:01:16,sirius,bolltapp,tappad,z9
0:01:19,villa,inslag,0,z9
0:02:05,villa,passning,straffområde,z7
0:02:08,villa,skott,utanför,0
0:02:15,villa,skottyp,inlägg,z8
0:02:17,sirius,utkast,0,z8
0:02:38,sirius,bolltapp,passförsök,z7
0:03:01,villa,passning,straffområde,z8
0:03:10,villa,mål,straffområde,z8
0:03:17,villa,skottyp,inlägg,z8
0:03:27,sirius,avslag,0,z8
0:03:58,sirius,närkamp,0,z8
0:04:07,sirius,frislag,0,z4
0:04:45,sirius,skott,utanför,z3
0:04:53,sirius,skottyp,utifrån,z3
0:04:55,villa,utkast,0,z1
0:05:05,villa,passning,lång,z8
0:05:10,sirius,boll,0,z8
0:05:24,sirius,bolltapp,passförsök,z4
0:05:27,sirius,boll,0,0
0:05:36,sirius,skott,täckt,z2
0:05:45,sirius,skottyp,utifrån,z2
0:05:49,sirius,hörna,0,z3
0:06:13,sirius,skott,utanför,z2
0:06:22,villa,utkast,0,z2
0:06:45,sirius,brytning,0,z4
0:06:58,sirius,hörna,0,z1
0:07:32,sirius,skott,täckt,z2
0:07:36,sirius,boll,0,z5
0:07:57,sirius,skott,utanför,z2
0:08:08,sirius,skottyp,centralt,z2
0:08:12,villa,utkast,0,z2
0:08:27,villa,skott,utanför,z8
0:08:34,villa,skottyp,centralt,z8
0:08:39,sirius,utkast,0,z7
0:08:55,sirius,offside,0,z2
0:09:00,villa,boll,0,z2
0:09:08,villa,hörna,0,z9
0:09:50,villa,skott,täckt,z8
0:09:57,villa,skott,räddning,z8
0:10:06,villa,utvisning,10,0
0:10:17,sirius,frislag,0,z5
0:10:42,villa,närkamp,0,z5
0:11:16,villa,offside,0,z8
0:11:27,sirius,boll,0,z5
0:11:54,villa,närkamp,0,z5
0:12:17,sirius,brytning,0,z5
0:12:28,villa,utkast,0,z1
0:12:57,sirius,närkamp,0,z6
0:13:04,villa,närkamp,0,z2
0:13:19,villa,passning,lång,z8
0:13:27,villa,boll,0,z6
0:13:46,sirius,boll,0,z9
0:14:17,sirius,inslag,0,z3
0:14:39,sirius,bolltapp,passförsök,z2
0:14:41,villa,utkast,0,z1
0:15:56,villa,mål,straffområde,z8
0:16:03,villa,skottyp,dribbling,z8
0:16:24,sirius,avslag,0,z5
0:16:35,villa,närkamp,0,z8
0:16:38,sirius,närkamp,0,z8
0:17:02,sirius,passning,straffområde,z2
0:17:15,sirius,hörna,0,z3
0:17:39,sirius,skott,täckt,z2
0:17:45,villa,boll,0,z3
0:18:05,villa,hörna,0,z7
0:18:38,villa,skott,räddning,z8
0:18:47,villa,boll,0,z4
0:19:13,villa,mål,straffområde,z8
0:19:38,villa,skottyp,centralt,z8
0:19:47,sirius,avslag,0,z5
0:19:59,villa,närkamp,0,z6
0:20:04,sirius,närkamp,0,z7
0:20:13,villa,brytning,0,z5
0:20:32,villa,passning,lång,z8
0:20:44,sirius,utkast,0,z8
0:21:53,sirius,bolltapp,passförsök,z4
0:21:58,villa,boll,0,z2
0:22:20,villa,passning,straffområde,z7
0:22:26,villa,boll,0,z2
0:22:58,villa,skott,räddning,z8
0:23:04,villa,skottyp,centralt,z8
0:23:07,villa,hörna,0,z9
0:23:15,villa,skott,täckt,z8
0:23:56,villa,hörna,0,z1
0:24:19,villa,mål,fast,z8
0:24:41,sirius,avslag,0,z8
0:24:53,sirius,frislag,0,z1
0:25:24,sirius,bolltapp,passförsök,z6
0:25:34,sirius,utkast,0,z9
0:25:52,sirius,hörna,0,z1
0:26:21,sirius,skott,täckt,z2
0:26:24,sirius,boll,0,z5
0:26:39,sirius,bolltapp,tappad,z5
0:26:59,sirius,utkast,0,z8
0:27:27,sirius,bolltapp,tappad,z5
0:27:32,villa,boll,0,z6
0:27:52,villa,offside,0,z8
0:27:57,sirius,boll,0,z8
0:28:33,sirius,passning,straffområde,z2
0:28:46,sirius,skott,räddning,z8
0:28:53,sirius,skottyp,inlägg,z2
0:29:01,sirius,hörna,0,z3
0:29:14,sirius,skott,utanför,z2
0:29:17,villa,utkast,0,z1
0:29:49,sirius,utkast,0,z8
0:30:02,0,stop,0,0
