time,team,event,subevent,zone
0:00:00,gripen,avslag,0,z8
0:00:08,gripen,passning,lång,z2
0:00:10,sirius,brytning,0,z2
0:00:21,sirius,40,0,0
0:01:00,gripen,närkamp,0,z6
0:01:44,gripen,rensning,0,0
0:01:52,sirius,frislag,0,z8
0:02:06,sirius,passning,straffområde,z8
0:02:15,sirius,närkamp,0,z8
0:02:21,sirius,mål,straffområde,z8
0:02:38,sirius,skottyp,utifrån,z8
0:02:51,gripen,avslag,0,z8
0:03:04,gripen,passning,lång,z5
0:03:08,gripen,närkamp,0,z5
0:03:10,sirius,utvisning,10,0
0:03:14,gripen,frislag,0,z2
0:03:58,gripen,skott,täckt,z2
0:04:02,gripen,skottyp,fast,z2
0:04:04,gripen,hörna,0,z3
0:04:34,gripen,mål,fast,z2
0:04:40,gripen,skottyp,fast,z2
0:05:00,sirius,avslag,0,0
0:05:24,sirius,40,0,0
0:05:36,sirius,40,0,z2
0:06:04,gripen,närkamp,0,z5
0:06:13,gripen,passning,lång,z2
0:06:17,sirius,utkast,0,z1
0:06:25,sirius,närkamp,0,z5
0:06:34,sirius,frislag,0,z4
0:07:21,gripen,närkamp,0,z8
0:07:26,gripen,frislag,0,z4
0:07:59,sirius,närkamp,0,z6
0:08:08,gripen,brytning,0,z5
0:08:19,gripen,mål,straffområde,z2
0:08:26,gripen,skottyp,centralt,z2
0:08:46,sirius,avslag,0,z2
0:08:57,sirius,40,0,z2
0:09:15,sirius,närkamp,0,z2
0:09:39,sirius,frislag,0,z6
0:09:41,0,timeout,0,0
0:10:20,sirius,boll,0,0
0:10:33,sirius,40,0,z2
0:10:43,gripen,närkamp,0,z4
0:10:57,gripen,bolltapp,passförsök,z1
0:10:59,sirius,utkast,0,z3
0:11:21,sirius,40,0,z2
0:11:40,gripen,närkamp,0,z7
0:11:49,sirius,närkamp,0,z5
0:12:10,gripen,närkamp,0,z6
0:12:42,gripen,passning,lång,z2
0:12:44,sirius,utkast,0,z2
0:13:06,gripen,utvisning,10,0
0:13:30,sirius,frislag,0,z6
0:14:01,sirius,hörna,0,z9
0:14:26,sirius,mål,fast,z8
0:14:35,sirius,skottyp,fast,z8
0:14:59,gripen,avslag,0,0
0:15:32,gripen,bolltapp,passförsök,0
0:15:39,sirius,passning,lång,z8
0:15:42,sirius,hörna,0,z9
0:16:09,sirius,skott,täckt,z2
0:16:15,sirius,skottyp,fast,z8
0:16:20,sirius,skott,räddning,z8
0:16:23,sirius,skottyp,utifrån,z8
0:16:25,gripen,utkast,0,0
0:16:36,sirius,utkast,0,z3
0:16:58,sirius,närkamp,0,z4
0:17:04,gripen,bolltapp,passförsök,z7
0:17:15,gripen,passning,lång,z2
0:17:17,gripen,hörna,0,z3
0:17:48,gripen,skott,täckt,z2
0:17:53,gripen,skottyp,fast,z2
0:17:57,gripen,skott,täckt,z2
0:18:00,gripen,skottyp,retur,z2
0:18:05,sirius,rensning,0,0
0:18:14,gripen,passning,lång,z2
0:18:16,sirius,utkast,0,z2
0:18:28,sirius,40,0,z2
0:18:47,sirius,passning,straffområde,z8
0:19:01,gripen,utkast,0,z7
0:19:08,sirius,närkamp,0,z7
0:19:20,sirius,bolltapp,passförsök,z7
0:19:22,gripen,utkast,0,0
0:19:29,sirius,brytning,0,z8
0:19:36,sirius,mål,straffområde,z8
0:19:50,sirius,skottyp,centralt,z8
0:20:00,gripen,avslag,0,0
0:20:44,sirius,närkamp,0,z9
0:20:53,sirius,skott,räddning,z8
0:20:56,sirius,skottyp,utifrån,z8
0:21:06,gripen,utkast,0,z6
0:21:11,sirius,brytning,0,z6
0:21:19,gripen,närkamp,0,z6
0:21:34,gripen,skott,utanför,z2
0:21:38,gripen,skottyp,dribbling,z2
0:21:41,sirius,utkast,0,z3
0:22:03,sirius,40,0,z2
0:22:14,sirius,40,0,z2
0:22:34,sirius,skott,täckt,z2
0:22:40,sirius,skottyp,centralt,z8
0:22:47,sirius,hörna,0,z9
0:23:05,sirius,boll,0,0
0:23:12,sirius,40,0,0
0:23:30,sirius,närkamp,0,z9
0:23:43,gripen,närkamp,0,z9
0:24:17,gripen,passning,lång,0
0:24:19,gripen,offside,0,0
0:24:37,sirius,passning,lång,z8
0:24:43,sirius,skott,utanför,z8
0:24:52,sirius,skottyp,friställande,z8
0:24:54,gripen,utkast,0,0
0:25:02,sirius,boll,0,0
0:25:13,sirius,passning,lång,z8
0:25:19,sirius,skott,utanför,z8
0:25:24,sirius,skottyp,centralt,z8
0:25:26,gripen,utkast,0,0
0:25:32,gripen,närkamp,0,z7
0:25:54,gripen,passning,straffområde,z2
0:25:57,gripen,skott,utanför,z2
0:26:01,gripen,skottyp,inlägg,z2
0:26:03,sirius,utkast,0,0
0:26:11,sirius,närkamp,0,z4
0:26:21,sirius,40,0,z2
0:26:48,gripen,närkamp,0,z7
0:26:52,gripen,närkamp,0,z7
0:27:40,sirius,närkamp,0,z1
0:27:48,sirius,bolltapp,tappad,z5
0:27:57,sirius,utkast,0,z3
0:28:16,sirius,bolltapp,tappad,z5
0:28:24,sirius,närkamp,0,z4
0:28:53,sirius,40,0,z2
0:29:11,gripen,brytning,0,z5
0:29:36,sirius,närkamp,0,z3
0:29:56,sirius,40,0,z2
0:30:25,gripen,utvisning,10,0
0:30:28,sirius,frislag,0,z9
0:30:33,0,timeout,0,0
0:30:48,sirius,boll,0,0
0:31:25,sirius,passning,farlig,z8
0:31:29,gripen,närkamp,0,z8
0:31:42,sirius,närkamp,0,z6
0:32:13,gripen,närkamp,0,0
0:32:17,sirius,närkamp,0,z2
0:32:25,sirius,utkast,0,z1
0:32:36,sirius,skott,täckt,z8
0:32:40,sirius,skottyp,utifrån,z8
0:32:44,sirius,frislag,0,z8
0:32:52,0,timeout,0,0
0:33:04,sirius,skott,utanför,z8
0:33:11,sirius,skottyp,centralt,z8
0:33:13,gripen,utkast,0,0
0:33:16,sirius,närkamp,0,z4
0:33:25,sirius,frislag,0,z4
0:33:58,sirius,närkamp,0,z5
0:34:10,gripen,närkamp,0,z9
0:34:22,gripen,skott,räddning,z2
0:34:27,gripen,skottyp,utifrån,z2
0:34:29,sirius,utkast,0,z3
0:34:34,gripen,närkamp,0,z6
0:34:44,gripen,bolltapp,tappad,0
0:35:01,gripen,utvisning,10,0
0:35:44,sirius,frislag,0,z5
0:36:00,sirius,passning,straffområde,z8
0:36:08,sirius,inslag,0,z7
0:36:27,sirius,40,0,z2
0:36:54,sirius,40,0,0
0:37:16,sirius,skott,utanför,z8
0:37:20,sirius,skottyp,centralt,z8
0:37:23,gripen,utkast,0,z7
0:37:35,sirius,närkamp,0,z2
0:38:13,sirius,frislag,0,z7
0:38:30,sirius,40,0,z2
0:38:42,gripen,närkamp,0,z9
