time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:01,0,timeout,0,0
0:01:05,sirius,hörna,0,0
0:01:05,sirius,skott,täckt,z2
0:01:10,sirius,skottyp,fast,z2
0:01:11,0,timeout,0,z2
0:04:37,sirius,boll,0,0
0:04:45,motala,brytning,0,z5
0:04:50,sirius,boll,0,0
0:05:04,motala,närkamp,0,z9
0:05:19,sirius,utkast,0,z3
0:05:35,sirius,40,0,0
0:05:56,motala,närkamp,0,z9
0:06:07,motala,hörna,0,z3
0:06:40,motala,skott,täckt,z2
0:06:43,motala,skottyp,fast,z2
0:06:45,sirius,utkast,0,z1
0:07:10,sirius,skott,täckt,z7
0:07:14,sirius,skottyp,utifrån,z7
0:07:19,sirius,40,0,0
0:07:48,sirius,närkamp,0,z5
0:07:52,sirius,40,0,0
0:08:14,sirius,frislag,0,z8
0:08:37,sirius,40,0,0
0:09:08,motala,utkast,0,z9
0:09:45,sirius,närkamp,0,z4
0:10:07,sirius,40,0,0
0:10:15,sirius,bolltapp,passförsök,z3
0:10:24,motala,skott,räddning,z2
0:10:28,motala,skottyp,utifrån,z2
0:10:29,sirius,utkast,0,0
0:10:53,motala,närkamp,0,z4
0:11:19,sirius,närkamp,0,z2
0:11:36,sirius,skott,täckt,z8
0:11:40,sirius,skottyp,utifrån,z8
0:11:42,motala,boll,0,0
0:11:55,motala,passning,lång,z2
0:12:00,0,timeout,0,0
0:12:25,sirius,utkast,0,z3
0:12:49,sirius,skott,täckt,z7
0:12:53,sirius,skottyp,utifrån,z7
0:12:59,sirius,hörna,0,z9
0:13:19,sirius,mål,hörnmål,z8
0:13:25,sirius,skottyp,fast,z8
0:13:48,motala,avslag,0,0
0:14:16,motala,frislag,0,z3
0:14:44,motala,passning,straffområde,z2
0:14:52,sirius,rensning,0,0
0:15:46,motala,skott,räddning,z2
0:15:50,motala,skottyp,centralt,z2
0:15:52,motala,hörna,0,z3
0:16:16,motala,skott,utanför,z2
0:16:19,motala,skottyp,fast,z2
0:16:21,sirius,utkast,0,z1
0:17:00,motala,brytning,0,z8
0:17:08,sirius,närkamp,0,z5
0:17:21,sirius,närkamp,0,z3
0:17:27,motala,brytning,0,z8
0:17:35,sirius,närkamp,0,z6
0:17:37,sirius,40,0,0
0:18:18,sirius,40,0,0
0:18:52,motala,närkamp,0,z6
0:19:04,motala,skott,räddning,z2
0:19:07,motala,skottyp,utifrån,z2
0:19:09,sirius,utkast,0,z2
0:19:26,sirius,skott,utanför,z8
0:19:29,sirius,skottyp,utifrån,z8
0:19:32,motala,utkast,0,0
0:20:05,sirius,brytning,0,z2
0:20:13,motala,brytning,0,z4
0:20:34,motala,passning,farlig,z2
0:20:41,motala,skott,utanför,z2
0:20:44,motala,skottyp,centralt,z2
0:20:46,sirius,utkast,0,z3
0:21:06,motala,närkamp,0,z6
0:21:20,sirius,närkamp,0,z3
0:21:49,motala,närkamp,0,z9
0:21:54,sirius,närkamp,0,z6
0:21:57,sirius,40,0,0
0:22:06,motala,närkamp,0,z5
0:22:27,motala,skott,räddning,z2
0:22:31,motala,skottyp,centralt,z2
0:22:32,0,timeout,0,0
0:22:42,sirius,boll,0,0
0:23:11,sirius,bolltapp,passförsök,z5
0:23:50,motala,frislag,0,z5
0:24:11,motala,frislag,0,z3
0:25:10,sirius,närkamp,0,z3
0:25:21,motala,närkamp,0,z6
0:25:44,sirius,närkamp,0,z6
0:26:11,sirius,närkamp,0,z1
0:26:41,sirius,40,0,0
0:26:57,sirius,frislag,0,z4
0:27:30,sirius,skott,utanför,z8
0:27:35,sirius,skottyp,dribbling,z8
0:27:40,sirius,närkamp,0,z7
0:28:04,motala,närkamp,0,z9
0:28:16,sirius,närkamp,0,z3
0:28:38,sirius,skott,räddning,z8
0:28:42,sirius,skottyp,utifrån,z8
0:28:45,motala,utkast,0,0
0:29:14,motala,passning,straffområde,z2
0:29:20,motala,skott,utanför,z2
0:29:24,motala,skottyp,utifrån,z2
0:29:25,sirius,utkast,0,0
0:29:45,motala,brytning,0,z8
0:30:15,motala,passning,lång,z2
0:30:19,motala,närkamp,0,z3
0:30:25,motala,hörna,0,z3
0:30:47,motala,skott,räddning,z2
0:30:53,motala,skottyp,fast,z2
0:30:56,motala,skott,utanför,z2
0:31:00,motala,skottyp,retur,z2
0:31:01,sirius,utkast,0,0
0:31:22,sirius,närkamp,0,z5
0:31:28,sirius,40,0,0
0:31:46,sirius,närkamp,0,z4
0:31:59,sirius,40,0,0
0:32:17,motala,närkamp,0,z6
0:32:25,sirius,närkamp,0,z2
0:32:38,motala,brytning,0,z5
0:32:42,sirius,närkamp,0,z2
0:32:58,sirius,bolltapp,passförsök,z5
0:33:05,sirius,närkamp,0,z4
0:33:25,sirius,närkamp,0,z5
0:33:30,motala,närkamp,0,z5
0:33:44,motala,hörna,0,z3
0:34:12,motala,mål,hörnmål,z2
0:34:15,motala,skottyp,fast,z2
0:34:50,sirius,avslag,0,0
0:35:02,motala,närkamp,0,z6
0:35:08,motala,skott,täckt,z2
0:35:14,motala,skottyp,utifrån,z2
0:35:23,sirius,närkamp,0,z3
0:35:26,motala,inslag,0,z3
0:35:43,motala,närkamp,0,z1
0:35:56,motala,passning,straffområde,z2
0:36:01,motala,boll,0,0
0:36:19,0,utkast,0,z1
0:36:34,sirius,bolltapp,passförsök,0
0:36:39,motala,inslag,0,z9
0:36:52,motala,passning,lång,z2
0:36:55,sirius,närkamp,0,z2
0:37:11,sirius,40,0,0
0:37:28,motala,närkamp,0,z3
0:38:34,motala,närkamp,0,z5
0:38:44,motala,passning,lång,z3
0:38:52,motala,skott,utanför,z2
0:38:56,motala,skottyp,utifrån,z2
0:38:58,sirius,utkast,0,z2
0:39:22,sirius,skott,utanför,z8
0:39:26,sirius,skottyp,utifrån,z8
0:39:28,motala,utkast,0,z8
0:39:40,motala,bolltapp,tappad,z5
0:39:43,sirius,40,0,0
0:39:52,sirius,inslag,0,z6
0:40:05,motala,närkamp,0,z3
0:40:12,motala,skott,täckt,z2
0:40:15,motala,skottyp,utifrån,z2
0:40:18,sirius,rensning,0,0
0:40:59,motala,passning,lång,z3
0:41:03,sirius,närkamp,0,z3
0:41:19,sirius,bolltapp,passförsök,z3
0:41:22,motala,hörna,0,z3
0:41:47,motala,skott,täckt,z2
0:41:50,motala,skottyp,fast,z2
0:41:57,sirius,närkamp,0,z1
0:42:12,motala,brytning,0,z6
0:42:15,motala,inslag,0,0
0:42:45,motala,passning,lång,z2
0:42:49,sirius,närkamp,0,z2
0:43:02,sirius,40,0,0
0:43:20,sirius,frislag,0,z5
0:43:50,sirius,40,0,0
0:43:59,motala,brytning,0,z4
0:44:19,motala,bolltapp,tappad,z3
0:44:23,sirius,inslag,0,z3
0:44:46,motala,närkamp,0,z4
0:45:03,motala,skott,räddning,z2
0:45:10,motala,skottyp,centralt,z2
0:45:13,motala,hörna,0,z3
0:45:32,motala,skott,utanför,z2
0:45:38,motala,skottyp,fast,z2
0:45:39,0,stop,0,0
