time,team,event,subevent,zone
0:00:00,bollnäs,avslag,0,0
0:00:52,bollnäs,passning,straffområde,z2
0:00:54,sirius,utkast,0,z1
0:01:18,bollnäs,brytning,0,z8
0:01:55,bollnäs,passning,straffområde,z2
0:01:56,sirius,utkast,0,0
0:02:26,sirius,passning,lång,z8
0:02:29,bollnäs,boll,0,z8
0:02:51,sirius,närkamp,0,z6
0:02:57,sirius,skott,utanför,z8
0:03:00,sirius,skottyp,utifrån,z8
0:03:02,bollnäs,utkast,0,z7
0:03:51,bollnäs,passning,straffområde,z2
0:03:57,bollnäs,mål,spelmål,z2
0:04:01,bollnäs,skottyp,inlägg,z2
0:04:28,sirius,avslag,0,0
0:04:42,bollnäs,närkamp,0,z6
0:04:58,sirius,närkamp,0,z4
0:05:20,sirius,närkamp,0,z5
0:05:23,sirius,40,0,z2
0:05:37,bollnäs,närkamp,0,z9
0:05:39,bollnäs,kontring,0,0
0:05:53,bollnäs,skott,räddning,z2
0:05:58,bollnäs,skottyp,centralt,z2
0:06:01,bollnäs,hörna,0,z3
0:06:17,bollnäs,skott,utanför,z2
0:06:21,bollnäs,skottyp,fast,z2
0:06:25,sirius,utkast,0,z3
0:07:08,sirius,passning,farlig,z8
0:07:11,sirius,skott,räddning,z8
0:07:19,sirius,skottyp,centralt,z8
0:07:21,bollnäs,utkast,0,0
0:07:33,sirius,utkast,0,z3
0:08:06,sirius,40,0,z2
0:08:18,bollnäs,närkamp,0,z5
0:08:28,bollnäs,hörna,0,z1
0:09:00,bollnäs,skott,täckt,z2
0:09:04,bollnäs,skottyp,fast,z2
0:09:11,sirius,utkast,0,z3
0:09:37,sirius,skott,räddning,z8
0:09:41,sirius,skottyp,utifrån,z8
0:09:43,bollnäs,utkast,0,0
0:10:41,bollnäs,skott,räddning,z2
0:10:45,bollnäs,skottyp,utifrån,z2
0:10:51,bollnäs,boll,0,z3
0:11:20,sirius,brytning,0,z1
0:11:39,bollnäs,brytning,0,z5
0:11:52,bollnäs,passning,straffområde,z2
0:11:55,bollnäs,skott,täckt,z2
0:11:58,bollnäs,skottyp,inlägg,z2
0:11:59,sirius,boll,0,z2
0:12:04,sirius,40,0,0
0:12:25,sirius,skott,räddning,0
0:12:29,sirius,skottyp,utifrån,0
0:12:34,bollnäs,utkast,0,z8
0:12:51,bollnäs,skott,täckt,z2
0:13:00,bollnäs,skottyp,utifrån,0
0:13:28,bollnäs,närkamp,0,z4
0:13:56,sirius,brytning,0,z5
0:13:59,bollnäs,närkamp,0,z5
0:14:02,bollnäs,passning,lång,z2
0:14:05,sirius,brytning,0,z2
0:14:11,sirius,bolltapp,tappad,z6
0:14:28,sirius,utkast,0,0
0:15:01,sirius,passning,straffområde,z8
0:15:05,sirius,närkamp,0,z8
0:15:09,sirius,40,0,0
0:15:24,bollnäs,närkamp,0,z7
0:15:51,bollnäs,passning,lång,z3
0:15:55,bollnäs,offside,0,0
0:16:03,sirius,timeout,0,0
0:17:48,sirius,boll,0,0
0:18:45,sirius,40,0,0
0:18:51,sirius,40,0,0
0:19:03,bollnäs,närkamp,0,z3
0:19:16,sirius,utkast,0,z1
0:19:28,sirius,passning,lång,z8
0:19:36,bollnäs,utkast,0,0
0:19:40,bollnäs,närkamp,0,z8
0:19:57,bollnäs,passning,straffområde,z2
0:20:04,bollnäs,boll,0,z3
0:20:12,sirius,närkamp,0,z3
0:20:27,bollnäs,brytning,0,z8
0:20:35,sirius,närkamp,0,z7
0:20:37,sirius,hörna,0,z7
0:21:09,sirius,skott,täckt,z8
0:21:11,sirius,skottyp,fast,z8
0:21:22,bollnäs,närkamp,0,z9
0:21:25,bollnäs,utkast,0,0
0:21:41,bollnäs,passning,straffområde,z2
0:21:43,sirius,utkast,0,z3
0:22:04,bollnäs,närkamp,0,z8
0:22:21,sirius,närkamp,0,z5
0:22:35,sirius,kontring,0,0
0:22:38,sirius,frislag,0,z8
0:22:49,sirius,40,0,0
0:23:19,bollnäs,närkamp,0,z7
0:23:22,bollnäs,kontring,0,0
0:23:31,bollnäs,mål,spelmål,z2
0:23:36,bollnäs,skottyp,centralt,z2
0:24:18,sirius,avslag,0,0
0:24:56,sirius,skott,utanför,z8
0:25:00,sirius,skottyp,utifrån,z8
0:25:02,bollnäs,boll,0,0
0:26:35,sirius,brytning,0,z3
0:27:52,sirius,40,0,0
0:28:09,sirius,passning,lång,z8
0:28:13,bollnäs,brytning,0,z8
0:28:35,bollnäs,skott,utanför,z3
0:28:38,bollnäs,skottyp,utifrån,z3
0:28:39,sirius,utkast,0,0
0:29:06,bollnäs,brytning,0,z7
0:29:38,bollnäs,passning,straffområde,z2
0:29:43,bollnäs,mål,spelmål,z2
0:29:49,bollnäs,skottyp,inlägg,z2
0:30:10,sirius,avslag,0,0
0:30:31,bollnäs,närkamp,0,z7
