time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:01,0,timeout,0,0
0:25:33,sirius,utvisning,10,0
0:27:35,villa,frislag,0,z3
0:28:03,sirius,brytning,0,z6
0:28:10,sirius,skott,utanför,z8
0:28:13,sirius,skottyp,utifrån,z8
0:28:16,villa,boll,0,0
0:28:28,sirius,närkamp,0,z2
0:28:42,sirius,timeout,0,0
0:30:35,sirius,frislag,0,z4
0:30:44,sirius,passning,lång,0
0:30:50,sirius,skott,räddning,z8
0:31:00,sirius,skottyp,friställande,z8
0:31:02,villa,boll,0,0
0:31:13,villa,skott,räddning,z2
0:31:19,villa,skottyp,centralt,z2
0:31:22,sirius,utkast,0,0
0:31:30,sirius,frislag,0,z4
0:31:44,sirius,skott,räddning,z9
0:31:47,sirius,skottyp,utifrån,z9
0:31:49,villa,boll,0,0
0:32:10,sirius,utkast,0,z3
0:32:30,sirius,skott,utanför,z9
0:32:33,sirius,skottyp,utifrån,z9
0:32:38,villa,utkast,0,0
0:33:20,sirius,närkamp,0,z1
0:33:23,villa,brytning,0,z4
0:34:17,sirius,närkamp,0,z2
0:34:33,villa,närkamp,0,z9
0:34:49,villa,frislag,0,z2
0:35:20,villa,frislag,0,z5
0:35:45,villa,skott,räddning,z2
0:35:48,villa,skottyp,centralt,z2
0:35:52,villa,skott,räddning,z2
0:35:55,villa,skottyp,retur,z2
0:35:59,villa,skott,räddning,z2
0:36:04,villa,skottyp,retur,z2
0:36:17,sirius,utkast,0,0
0:36:28,villa,brytning,0,z9
0:36:46,sirius,närkamp,0,z2
0:37:09,sirius,passning,straffområde,z8
0:37:10,villa,boll,0,0
0:37:33,villa,passning,straffområde,z2
0:37:36,villa,mål,spelmål,z2
0:37:57,villa,skottyp,inlägg,z2
0:38:13,0,stop,0,0
