time,team,event,subevent,zone
0:00:00,iks,avslag,0,z5
0:00:09,iks,närkamp,0,z2
0:00:31,eds,brytning,0,z6
0:00:52,eds,hörna,0,z1
0:01:22,eds,skott,täckt,z2
0:01:25,eds,skottyp,fast,z2
0:01:28,eds,skott,täckt,z2
0:01:34,eds,skottyp,retur,z2
0:01:40,iks,rensning,0,0
0:01:45,iks,utkast,0,z1
0:02:10,iks,passning,lång,z5
0:02:17,iks,skott,utanför,z5
0:02:21,iks,skottyp,utifrån,z5
0:02:24,eds,utkast,0,0
0:02:34,eds,hörna,0,z1
0:03:02,eds,skott,räddning,z2
0:03:07,eds,skottyp,fast,z2
0:03:17,iks,utkast,0,0
0:03:51,eds,närkamp,0,z5
0:04:14,iks,närkamp,0,z3
0:04:56,iks,rensning,0,z2
0:05:02,eds,skott,täckt,z2
0:05:05,eds,skottyp,fast,z2
0:05:07,eds,hörna,0,z1
0:05:33,eds,skott,utanför,z2
0:05:36,eds,skottyp,fast,z2
0:05:38,iks,utkast,0,z1
0:05:42,iks,bolltapp,tappad,z2
0:05:45,iks,närkamp,0,z2
0:06:02,eds,utkast,0,z7
0:06:25,iks,närkamp,0,z3
0:06:50,eds,närkamp,0,z5
0:07:00,eds,frislag,0,z6
0:07:16,iks,brytning,0,z2
0:07:22,eds,närkamp,0,z2
0:07:40,iks,närkamp,0,z3
0:07:53,iks,hörna,0,z9
0:08:26,iks,skott,täckt,z8
0:08:31,iks,skottyp,fast,z8
0:08:46,iks,frislag,0,z7
0:09:01,eds,brytning,0,z5
0:09:10,eds,offside,0,z2
0:09:20,iks,boll,0,0
0:09:44,eds,frislag,0,z6
0:09:56,eds,passning,lång,z2
0:10:00,eds,närkamp,0,z2
0:10:03,eds,skott,räddning,z2
0:10:09,eds,skottyp,centralt,z2
0:10:11,iks,utkast,0,0
0:10:17,eds,utkast,0,z8
0:10:32,iks,närkamp,0,z6
0:10:34,eds,närkamp,0,z6
0:11:14,eds,rensning,0,0
0:11:58,iks,skott,räddning,z9
0:12:02,iks,skottyp,centralt,z9
0:12:06,iks,hörna,0,z9
0:12:18,eds,närkamp,0,z8
0:12:49,eds,passning,lång,z2
0:12:53,iks,närkamp,0,z2
0:12:56,eds,närkamp,0,z4
0:13:08,iks,närkamp,0,z2
0:13:13,eds,närkamp,0,z2
0:13:16,iks,närkamp,0,z2
0:13:27,eds,närkamp,0,z8
0:13:39,eds,frislag,0,z3
0:13:56,iks,brytning,0,z2
0:14:20,iks,skott,räddning,z8
0:14:26,iks,skottyp,friställande,z8
0:14:29,iks,hörna,0,z9
0:14:41,iks,skott,utanför,z8
0:14:45,iks,skottyp,fast,z8
0:14:50,eds,utkast,0,0
0:15:18,eds,frislag,0,z2
0:15:25,eds,skott,räddning,z2
0:15:31,eds,skottyp,centralt,z2
0:15:35,eds,hörna,0,z3
0:15:56,eds,skott,räddning,z2
0:16:00,eds,skottyp,fast,z2
0:16:11,iks,utkast,0,0
0:16:19,iks,närkamp,0,z6
0:16:26,iks,passning,straffområde,z8
0:16:30,eds,brytning,0,z8
0:16:48,iks,närkamp,0,z1
0:16:54,eds,frislag,0,z1
0:17:06,iks,brytning,0,z2
0:17:08,iks,frislag,0,z1
0:17:26,iks,bolltapp,passförsök,z3
0:17:32,eds,inslag,0,z3
0:17:42,eds,passning,lång,z2
0:18:03,eds,passning,straffområde,z2
0:18:08,eds,mål,spelmål,z2
0:18:12,eds,skottyp,inlägg,z2
0:18:38,iks,avslag,0,0
0:18:54,eds,utkast,0,0
0:18:58,iks,boll,0,z2
0:19:04,eds,närkamp,0,z4
0:19:18,iks,brytning,0,z2
0:19:25,iks,frislag,0,z3
0:19:43,iks,passning,lång,z8
0:19:48,eds,boll,0,0
0:19:55,eds,bolltapp,passförsök,z4
0:20:00,eds,utkast,0,z7
0:20:17,iks,utkast,0,z3
0:20:32,iks,passning,lång,z8
0:20:37,eds,brytning,0,z8
0:20:41,eds,närkamp,0,z5
0:20:55,eds,passning,lång,z2
0:20:57,iks,utkast,0,z1
0:21:09,iks,passning,lång,z5
0:21:16,eds,närkamp,0,z8
0:21:26,eds,närkamp,0,z6
0:21:31,iks,närkamp,0,z3
0:21:53,iks,inslag,0,z9
0:22:07,iks,passning,straffområde,z8
0:22:11,eds,rensning,0,z8
0:22:19,iks,passning,lång,z8
0:22:22,eds,boll,0,z7
0:22:31,eds,passning,lång,z8
0:22:36,eds,skott,utanför,z2
0:22:42,eds,skottyp,centralt,z2
0:22:45,iks,utkast,0,z5
0:22:50,iks,närkamp,0,z6
0:22:53,iks,frislag,0,z6
0:23:18,iks,skott,utanför,z8
0:23:21,iks,skottyp,utifrån,z8
0:23:29,eds,utkast,0,0
0:23:34,iks,utkast,0,0
0:23:41,iks,passning,lång,z8
0:23:50,eds,passning,straffområde,z8
0:23:59,iks,skott,utanför,z8
0:24:02,iks,skottyp,inlägg,z8
0:24:04,eds,utkast,0,0
0:24:14,eds,passning,straffområde,z2
0:24:25,eds,närkamp,0,z2
0:24:28,iks,närkamp,0,z5
0:24:34,eds,närkamp,0,z7
0:24:54,eds,inslag,0,z1
0:25:01,eds,passning,straffområde,z2
0:25:04,iks,brytning,0,z2
0:25:23,eds,närkamp,0,z8
0:25:25,eds,utkast,0,0
0:25:30,eds,offside,0,z2
0:25:42,iks,utkast,0,z3
0:25:49,iks,passning,lång,z8
0:25:54,eds,utkast,0,0
0:26:05,iks,boll,0,z8
0:26:21,eds,närkamp,0,z8
0:26:25,iks,närkamp,0,z7
0:26:32,iks,frislag,0,z7
