time,team,event,subevent,zone
0:00:00,iks,avslag,0,z5
0:00:10,iks,40,0,z2
0:00:45,iks,40,0,z2
0:00:59,iks,frislag,0,z9
0:01:40,iks,40,0,z2
0:02:02,fri,utkast,0,z9
0:02:23,iks,utkast,0,z3
0:02:38,iks,40,0,z2
0:02:54,iks,40,0,z2
0:03:11,iks,skott,räddning,z8
0:03:16,iks,skottyp,centralt,z8
0:03:20,iks,hörna,0,z7
0:03:50,iks,skott,täckt,z8
0:03:54,iks,skottyp,fast,z8
0:04:13,fri,inslag,0,z7
0:04:24,fri,bolltapp,passförsök,z6
0:04:43,iks,närkamp,0,z7
0:04:46,iks,hörna,0,z7
0:05:08,iks,skott,utanför,z8
0:05:13,iks,skottyp,fast,z8
0:05:15,fri,utkast,0,0
0:06:16,iks,närkamp,0,z1
0:06:23,fri,närkamp,0,z4
0:06:29,fri,passning,straffområde,z2
0:06:38,iks,rensning,0,0
0:06:59,fri,närkamp,0,z6
0:07:22,fri,frislag,0,z3
0:07:45,fri,passning,straffområde,z2
0:07:50,iks,utkast,0,z1
0:08:14,fri,brytning,0,z8
0:08:55,fri,passning,straffområde,z2
0:09:01,iks,rensning,0,0
0:09:06,fri,inslag,0,z6
0:09:29,fri,inslag,0,z4
0:09:42,iks,närkamp,0,z2
0:09:47,fri,boll,0,z4
0:09:59,fri,frislag,0,z5
0:10:54,fri,skott,räddning,z2
0:11:00,fri,skottyp,dribbling,z2
0:11:04,fri,hörna,0,z1
0:11:40,fri,skott,täckt,z2
0:11:43,fri,skottyp,fast,z2
0:11:50,fri,skott,räddning,z2
0:11:53,fri,skottyp,retur,z2
0:11:56,iks,utkast,0,0
0:12:22,iks,passning,straffområde,z8
0:12:26,iks,skott,räddning,z8
0:12:30,iks,skottyp,inlägg,z8
0:12:34,fri,boll,0,0
0:12:41,iks,utkast,0,z2
0:13:16,fri,närkamp,0,z8
0:13:27,fri,bolltapp,tappad,z4
0:13:40,iks,mål,spelmål,z8
0:13:50,iks,skottyp,dribbling,z8
0:14:15,fri,avslag,0,z5
0:14:50,iks,närkamp,0,z4
0:15:19,iks,40,0,0
0:15:35,iks,40,0,z2
0:15:46,iks,40,0,z2
0:16:02,iks,40,0,z2
0:16:16,fri,närkamp,0,z5
0:16:31,fri,närkamp,0,z1
0:16:35,fri,passning,straffområde,z2
0:16:39,iks,rensning,0,0
0:17:01,fri,passning,lång,z1
0:17:07,iks,utkast,0,z1
0:17:22,iks,40,0,0
0:17:30,iks,40,0,0
0:17:53,iks,40,0,0
0:17:59,iks,bolltapp,passförsök,z2
0:18:04,fri,hörna,0,z1
0:18:29,fri,skott,utanför,z2
0:18:34,fri,skottyp,fast,z2
0:18:37,iks,utkast,0,z3
0:18:45,iks,passning,lång,z8
0:18:52,iks,skott,räddning,z8
0:18:55,iks,skottyp,utifrån,z8
0:19:01,iks,brytning,0,z8
0:19:10,iks,skott,täckt,z8
0:19:16,iks,skottyp,utifrån,z8
0:19:18,iks,hörna,0,z7
0:19:27,iks,skott,utanför,z8
0:19:31,iks,skottyp,fast,z8
0:19:35,fri,utkast,0,z7
0:19:52,fri,passning,lång,z3
0:19:54,iks,utkast,0,z3
0:20:18,iks,hörna,0,z9
0:20:49,iks,skott,täckt,z8
0:20:53,iks,skottyp,fast,z8
0:20:57,iks,närkamp,0,z6
0:21:06,fri,närkamp,0,z6
0:21:15,iks,närkamp,0,z2
0:21:17,iks,utkast,0,z1
0:21:38,iks,passning,straffområde,z8
0:21:43,fri,boll,0,0
0:21:53,fri,passning,straffområde,z2
0:21:55,iks,inslag,0,z1
0:22:17,iks,närkamp,0,z5
0:22:26,iks,bolltapp,passförsök,z9
0:22:28,fri,utkast,0,0
0:23:08,fri,passning,straffområde,z2
0:23:11,iks,närkamp,0,z2
0:23:23,iks,närkamp,0,z5
0:23:33,iks,40,0,z2
0:23:56,iks,bolltapp,passförsök,z5
0:24:09,fri,passning,straffområde,z2
0:24:16,fri,skott,räddning,z2
0:24:19,fri,skottyp,utifrån,z2
0:24:21,iks,utkast,0,0
0:24:32,iks,frislag,0,z7
0:25:13,iks,passning,straffområde,z2
0:25:18,iks,skott,utanför,z2
0:25:26,iks,skottyp,inlägg,z2
0:25:28,fri,utkast,0,0
0:25:54,fri,mål,spelmål,z2
0:26:22,fri,skottyp,inlägg,z2
0:26:25,iks,avslag,0,0
0:26:52,iks,bolltapp,tappad,z3
0:26:57,fri,skott,räddning,z2
0:27:01,fri,skottyp,utifrån,z2
0:27:09,iks,boll,0,0
0:27:23,fri,boll,0,0
