time,team,event,subevent,zone
0:00:00,vsk,avslag,0,0
0:00:26,vsk,passning,straffområde,z8
0:00:28,iks,utkast,0,0
0:00:47,vsk,brytning,0,z4
0:00:53,iks,närkamp,0,z6
0:01:05,vsk,närkamp,0,z6
0:01:14,iks,närkamp,0,z8
0:01:26,vsk,närkamp,0,z1
0:01:42,vsk,frislag,0,z7
0:02:25,vsk,passning,lång,z8
0:02:33,iks,rensning,0,0
0:02:39,vsk,boll,0,0
0:02:43,vsk,utkast,0,0
0:03:03,iks,närkamp,0,z8
0:03:06,vsk,närkamp,0,z6
0:03:12,iks,närkamp,0,z9
0:03:27,iks,skott,utanför,z2
0:03:31,iks,skottyp,utifrån,z2
0:03:34,vsk,utkast,0,0
0:03:45,vsk,frislag,0,0
0:04:08,iks,närkamp,0,z4
0:04:51,vsk,närkamp,0,z6
0:05:03,iks,närkamp,0,z4
0:05:05,iks,frislag,0,z5
0:05:36,vsk,utkast,0,z1
0:05:58,vsk,frislag,0,z7
0:06:10,vsk,skott,räddning,z8
0:06:13,vsk,skottyp,utifrån,z8
0:06:15,vsk,hörna,0,z7
0:06:39,vsk,skott,räddning,z8
0:06:46,vsk,skottyp,fast,z8
0:06:53,vsk,hörna,0,z9
0:07:19,vsk,skott,täckt,z8
0:07:22,vsk,skottyp,fast,z8
0:07:27,iks,rensning,0,0
0:07:44,iks,närkamp,0,z3
0:07:48,vsk,närkamp,0,z2
0:07:57,iks,närkamp,0,z7
0:08:13,iks,rensning,0,0
0:08:19,vsk,inslag,0,z7
0:08:27,iks,närkamp,0,z8
0:08:38,vsk,närkamp,0,z5
0:09:07,iks,närkamp,0,z5
0:09:12,vsk,närkamp,0,z3
0:09:15,iks,hörna,0,z3
0:09:52,vsk,brytning,0,z2
0:09:57,iks,närkamp,0,z2
0:10:15,iks,passning,straffområde,z2
0:10:17,vsk,utkast,0,z2
0:10:36,vsk,hörna,0,z9
0:11:03,vsk,skott,utanför,z8
0:11:06,vsk,skottyp,fast,z8
0:11:08,iks,utkast,0,0
0:11:39,iks,närkamp,0,z9
0:11:58,vsk,närkamp,0,z4
0:12:12,iks,närkamp,0,z8
0:12:30,vsk,närkamp,0,z8
0:12:36,vsk,skott,räddning,z8
0:12:39,vsk,skottyp,utifrån,z8
0:12:43,vsk,hörna,0,z7
0:13:00,vsk,mål,hörnmål,z8
0:13:06,vsk,skottyp,fast,z8
0:13:27,iks,avslag,0,0
0:13:46,iks,närkamp,0,z5
0:13:54,vsk,närkamp,0,z1
0:13:57,vsk,frislag,0,z4
0:14:42,iks,utkast,0,0
0:15:09,iks,hörna,0,z1
0:15:40,iks,skott,räddning,z2
0:15:43,iks,skottyp,fast,z2
0:15:46,vsk,utkast,0,0
0:15:59,0,stop,0,0
