time,team,event,subevent,zone
0:00:00,iks,avslag,0,z8
0:00:54,iks,hörna,0,z1
0:01:18,iks,skott,täckt,z2
0:01:24,iks,skottyp,fast,z2
0:01:28,gri,utkast,0,z1
0:01:35,gri,närkamp,0,z2
0:01:39,iks,närkamp,0,z1
0:01:49,iks,skott,utanför,z2
0:01:54,iks,skottyp,utifrån,z2
0:01:56,gri,utkast,0,0
0:02:00,gri,passning,lång,0
0:02:06,iks,brytning,0,z6
0:02:15,gri,brytning,0,z2
0:02:30,iks,närkamp,0,z7
0:02:59,iks,40,0,z8
0:03:40,iks,närkamp,0,z1
0:03:45,gri,närkamp,0,z1
0:04:00,iks,boll,0,z8
0:04:16,iks,bolltapp,passförsök,z2
0:04:18,gri,utkast,0,0
0:04:34,iks,närkamp,0,z7
0:05:17,iks,närkamp,0,z2
0:05:19,iks,frislag,0,z2
0:05:40,iks,40,0,0
0:05:47,gri,närkamp,0,z4
0:05:57,iks,närkamp,0,z7
0:06:04,gri,brytning,0,z5
0:06:12,gri,skott,räddning,z5
0:06:16,gri,skottyp,utifrån,z5
0:06:19,gri,hörna,0,z9
0:06:37,gri,skott,täckt,z8
0:06:41,gri,skottyp,fast,z8
0:06:46,gri,boll,0,0
0:07:00,gri,rensning,0,0
0:07:04,gri,närkamp,0,z5
0:07:13,gri,skott,räddning,z8
0:07:17,gri,skottyp,utifrån,z8
0:07:19,iks,utkast,0,0
0:07:46,gri,skott,räddning,z2
0:07:50,gri,skottyp,dribbling,z2
0:07:59,iks,hörna,0,z3
0:08:12,iks,skott,utanför,z2
0:08:16,iks,skottyp,fast,z2
0:08:17,gri,utkast,0,0
0:08:43,gri,hörna,0,z7
0:09:04,gri,skott,täckt,z8
0:09:08,gri,skottyp,fast,z8
0:09:12,iks,utkast,0,0
0:09:29,gri,närkamp,0,z4
0:09:32,iks,närkamp,0,z5
0:09:36,gri,närkamp,0,z4
0:09:49,gri,skott,räddning,z8
0:09:54,gri,skottyp,dribbling,z8
0:09:56,iks,utkast,0,0
0:10:02,gri,närkamp,0,z5
0:10:13,iks,närkamp,0,z6
0:10:20,iks,inslag,0,z6
0:10:32,iks,passning,lång,z2
0:10:41,gri,närkamp,0,z2
0:10:47,iks,närkamp,0,z4
0:10:53,iks,närkamp,0,z4
0:11:02,iks,inslag,0,z1
0:11:28,iks,passning,lång,z2
0:11:33,gri,utkast,0,0
0:11:45,iks,närkamp,0,z1
0:11:48,gri,utkast,0,0
0:12:04,gri,skott,utanför,z8
0:12:08,gri,skottyp,utifrån,z8
0:12:13,gri,hörna,0,z9
0:12:27,gri,mål,hörnmål,z8
0:12:46,gri,skottyp,fast,z8
0:12:59,iks,avslag,0,0
0:13:14,gri,närkamp,0,z6
0:13:22,iks,närkamp,0,z6
0:13:49,gri,utvisning,10,z1
0:15:01,iks,frislag,0,z1
0:15:07,gri,utkast,0,z3
0:15:20,iks,närkamp,0,z6
0:15:30,iks,skott,utanför,z2
0:15:35,iks,skottyp,utifrån,z2
0:15:37,gri,utkast,0,0
0:15:39,iks,närkamp,0,z6
0:15:47,iks,skott,utanför,z2
0:15:57,iks,skottyp,centralt,z2
0:15:58,gri,utkast,0,0
0:16:07,iks,inslag,0,0
0:16:32,gri,brytning,0,z3
0:16:36,iks,närkamp,0,z6
0:16:54,gri,närkamp,0,z5
0:17:03,gri,frislag,0,z4
0:17:19,iks,utvisning,10,z8
0:17:47,gri,frislag,0,z8
0:17:54,iks,närkamp,0,z8
0:18:15,iks,passning,straffområde,z2
0:18:20,iks,närkamp,0,z3
0:18:55,iks,närkamp,0,z3
0:19:10,gri,närkamp,0,z1
0:19:15,iks,inslag,0,z1
0:19:20,gri,brytning,0,z1
0:19:26,iks,närkamp,0,z5
0:19:57,iks,skott,räddning,z2
0:20:04,iks,skottyp,utifrån,z2
0:20:08,iks,boll,0,0
0:20:22,iks,bolltapp,tappad,z1
0:20:36,iks,brytning,0,z6
0:20:50,iks,närkamp,0,z3
0:20:52,iks,frislag,0,z3
0:21:06,iks,passning,straffområde,z2
0:21:13,gri,rensning,0,0
0:21:17,iks,frislag,0,0
0:21:35,iks,utkast,0,z1
0:21:43,gri,passning,lång,0
0:21:46,iks,brytning,0,z8
0:21:49,iks,40,0,0
0:21:59,iks,närkamp,0,z4
0:22:01,gri,närkamp,0,z1
0:22:06,iks,närkamp,0,z4
0:22:15,iks,40,0,z8
0:22:23,gri,närkamp,0,z5
0:22:33,gri,närkamp,0,z5
0:22:43,iks,närkamp,0,z7
0:22:48,iks,frislag,0,z4
0:23:00,gri,utkast,0,z2
0:23:11,iks,närkamp,0,z6
