time,team,event,subevent,zone
0:00:00,iks,avslag,0,0
0:00:07,bro,närkamp,0,z1
0:00:11,iks,närkamp,0,z4
0:00:14,bro,utkast,0,0
0:02:05,bro,passning,farlig,z8
0:02:10,bro,mål,spelmål,z8
0:02:17,bro,skottyp,inlägg,z8
0:02:39,iks,avslag,0,0
0:02:46,iks,bolltapp,tappad,z5
0:03:04,iks,brytning,0,z8
0:03:22,iks,bolltapp,passförsök,z2
0:03:23,bro,utkast,0,0
0:03:40,bro,bolltapp,passförsök,z6
0:03:42,iks,utkast,0,z7
0:04:35,iks,40,0,z8
0:04:51,bro,brytning,0,z5
0:05:20,bro,skott,räddning,z8
0:05:24,bro,skottyp,centralt,z8
0:05:26,bro,boll,0,0
0:05:30,bro,hörna,0,z7
0:06:10,bro,skott,utanför,z8
0:06:14,bro,skottyp,fast,z8
0:06:17,iks,utkast,0,z7
0:06:31,iks,40,0,0
0:06:39,iks,passning,lång,z2
0:06:42,bro,utkast,0,z3
0:07:08,bro,passning,lång,z8
0:07:15,iks,utkast,0,z8
0:07:47,iks,passning,lång,z2
0:07:52,iks,offside,0,z2
0:08:01,bro,boll,0,0
0:08:18,bro,frislag,0,z6
0:09:07,bro,hörna,0,z7
0:09:39,bro,skott,täckt,z8
0:09:42,bro,skottyp,fast,z8
0:09:44,iks,utkast,0,z7
0:09:55,iks,närkamp,0,z5
0:10:08,iks,passning,straffområde,z2
0:10:16,iks,frislag,0,z2
0:10:18,0,timeout,0,0
0:10:42,iks,boll,0,0
0:10:52,iks,40,0,0
0:11:18,bro,närkamp,0,z2
0:11:33,iks,skott,räddning,z2
0:11:42,iks,skottyp,friställande,z2
0:11:45,iks,hörna,0,z3
0:12:02,iks,skott,utanför,z2
0:12:09,iks,skottyp,fast,z2
0:12:11,bro,utkast,0,0
0:12:58,iks,utkast,0,z9
0:13:19,iks,skott,utanför,z2
0:13:22,iks,skottyp,utifrån,z2
0:13:23,bro,utkast,0,0
0:13:50,bro,hörna,0,z7
0:14:16,bro,mål,hörnmål,z8
0:14:21,bro,skottyp,fast,z8
0:14:41,iks,avslag,0,0
0:15:04,iks,närkamp,0,z5
0:15:17,iks,bolltapp,tappad,z4
0:15:46,bro,passning,lång,z8
0:15:50,iks,utkast,0,z9
0:16:05,iks,40,0,0
0:16:34,bro,närkamp,0,z2
0:16:39,iks,brytning,0,z4
0:16:47,bro,närkamp,0,z5
0:16:51,bro,skott,utanför,z8
0:16:55,bro,skottyp,utifrån,z8
0:16:58,iks,utkast,0,z8
0:17:20,bro,utkast,0,0
0:17:25,bro,passning,lång,z9
0:17:28,iks,utkast,0,0
0:17:41,bro,närkamp,0,z3
0:18:15,bro,närkamp,0,z4
0:18:18,bro,inslag,0,z4
0:19:10,iks,brytning,0,z1
