time,team,event,subevent,zone
0:00:00,vet,avslag,0,z2
0:00:52,vet,passning,lång,z8
0:00:59,vet,skott,täckt,z8
0:01:06,vet,skottyp,utifrån,z8
0:01:09,vet,hörna,0,z7
0:01:25,vet,skott,täckt,z8
0:01:28,vet,skottyp,fast,z8
0:01:38,iks,frislag,0,z9
0:02:40,vet,boll,0,0
0:02:47,vet,inslag,0,z3
0:02:59,iks,närkamp,0,z9
0:03:10,iks,skott,räddning,z2
0:03:14,iks,skottyp,utifrån,z2
0:03:16,0,timeout,0,0
0:04:10,vet,utkast,0,0
0:04:21,iks,utkast,0,0
0:04:50,vet,boll,0,0
0:05:12,vet,skott,räddning,z8
0:05:17,vet,skottyp,dribbling,z8
0:05:21,iks,utkast,0,0
0:05:36,iks,40,0,0
0:06:07,vet,närkamp,0,z3
0:06:28,vet,inslag,0,z3
0:06:44,iks,brytning,0,z5
0:06:49,vet,brytning,0,z5
0:06:56,vet,skott,täckt,z8
0:07:03,vet,skottyp,utifrån,0
0:07:09,vet,inslag,0,z7
0:07:11,iks,utkast,0,0
0:07:18,vet,närkamp,0,z4
0:07:28,vet,skott,utanför,z8
0:07:32,vet,skottyp,utifrån,z8
0:07:35,iks,utkast,0,0
0:08:07,iks,40,0,0
0:08:17,iks,40,0,0
0:08:36,iks,mål,spelmål,z2
0:08:45,iks,skottyp,utifrån,z2
0:08:59,vet,avslag,0,0
0:09:17,vet,frislag,0,z6
0:09:44,vet,skott,räddning,z8
0:09:49,vet,skottyp,utifrån,z8
0:09:53,vet,hörna,0,z7
0:10:14,vet,skott,täckt,z8
0:10:20,vet,skottyp,fast,z8
0:10:25,vet,mål,hörnmål,z8
0:10:30,vet,skottyp,retur,z8
0:10:48,iks,avslag,0,0
0:11:00,vet,utkast,0,0
0:11:41,vet,skott,räddning,z8
0:11:46,vet,skottyp,centralt,z8
0:11:55,vet,mål,spelmål,z8
0:11:59,vet,skottyp,retur,z8
0:12:20,iks,timeout,0,0
0:13:18,iks,avslag,0,0
0:13:39,iks,passning,straffområde,z2
0:13:44,iks,inslag,0,z3
0:13:58,iks,passning,straffområde,z2
0:14:02,iks,skott,utanför,z2
0:14:07,iks,skottyp,utifrån,z2
0:14:09,vet,utkast,0,0
0:14:14,iks,närkamp,0,z8
0:14:30,iks,inslag,0,z3
0:14:37,vet,närkamp,0,z3
0:15:00,iks,passning,lång,z2
0:15:04,iks,offside,0,0
0:15:06,vet,boll,0,0
0:15:13,iks,utvisning,10,0
0:15:44,vet,frislag,0,z5
0:16:05,iks,närkamp,0,z6
0:16:11,vet,närkamp,0,z3
0:16:45,iks,brytning,0,z5
0:16:53,vet,närkamp,0,z2
0:17:05,iks,brytning,0,z4
0:17:34,iks,passning,straffområde,z2
0:17:40,vet,utkast,0,z3
0:17:47,iks,närkamp,0,z8
0:18:02,iks,offside,0,z2
