time,team,event,subevent,zone
0:00:00,hammarby,avslag,0,z2
0:00:14,hammarby,anfall,0,0
0:00:26,hammarby,passning,lång,z8
0:00:31,hammarby,skott,räddning,z8
0:00:34,hammarby,skottyp,utifrån,0
0:00:37,sirius,boll,0,0
0:00:43,sirius,passning,straffområde,z2
0:00:48,sirius,mål,spelmål,z2
0:00:53,sirius,skottyp,inlägg,z2
0:01:13,hammarby,avslag,0,0
0:01:25,sirius,utkast,0,0
0:01:35,sirius,passning,lång,z2
0:01:45,hammarby,utkast,0,z1
0:02:19,hammarby,skott,täckt,z9
0:02:26,hammarby,skottyp,utifrån,0
0:02:29,sirius,boll,0,0
0:02:32,hammarby,närkamp,0,z6
0:02:48,0,timeout,0,0
0:03:07,hammarby,frislag,0,z6
0:03:35,hammarby,anfall,0,0
0:03:55,sirius,närkamp,0,z1
0:04:00,sirius,passning,straffområde,z2
0:04:03,hammarby,närkamp,0,z2
0:04:05,sirius,närkamp,0,z1
0:04:12,sirius,närkamp,0,z4
0:04:15,sirius,inslag,0,z4
0:04:43,sirius,40,0,0
0:04:56,sirius,bolltapp,passförsök,z5
0:05:01,hammarby,hörna,0,z9
0:05:22,hammarby,skott,utanför,z8
0:05:28,hammarby,skottyp,fast,z8
0:05:32,sirius,utkast,0,z9
0:05:56,sirius,passning,lång,z5
0:06:00,hammarby,boll,0,0
0:06:10,hammarby,hörna,0,z7
0:06:44,hammarby,skott,utanför,z8
0:06:47,hammarby,skottyp,fast,z8
0:06:49,sirius,utkast,0,z9
0:07:10,sirius,40,0,0
0:07:17,sirius,bolltapp,tappad,z9
0:07:22,hammarby,frislag,0,z9
0:07:31,sirius,0,0,z6
0:07:42,sirius,passning,farlig,z2
0:07:46,sirius,mål,spelmål,z2
0:08:00,sirius,skottyp,friställande,z2
0:08:13,hammarby,avslag,0,0
0:08:21,sirius,närkamp,0,z5
0:08:24,hammarby,närkamp,0,z5
0:09:09,hammarby,passning,lång,z8
0:09:13,sirius,närkamp,0,z8
0:09:18,sirius,utkast,0,z8
0:09:35,sirius,skott,täckt,z2
0:09:40,sirius,skottyp,utifrån,z2
0:09:44,hammarby,boll,0,0
0:09:46,sirius,närkamp,0,z6
0:09:51,sirius,skott,utanför,z2
0:09:54,sirius,skottyp,utifrån,z2
0:09:56,hammarby,utkast,0,0
0:10:23,hammarby,skott,räddning,z5
0:10:31,hammarby,skottyp,utifrån,z5
0:10:35,sirius,utkast,0,0
0:10:40,sirius,hörna,0,z1
0:11:18,sirius,mål,hörnmål,z2
0:11:24,sirius,skottyp,fast,z2
0:11:49,hammarby,timeout,0,0
0:13:17,hammarby,avslag,0,0
0:13:24,hammarby,närkamp,0,z6
0:13:29,sirius,närkamp,0,z9
0:13:34,sirius,utkast,0,z9
0:14:09,sirius,passning,lång,0
0:14:13,hammarby,boll,0,0
0:15:48,sirius,närkamp,0,z5
0:15:59,sirius,offside,0,z2
0:16:11,hammarby,passning,lång,0
0:16:13,sirius,boll,0,z7
0:16:28,sirius,skott,täckt,z2
0:16:31,sirius,skottyp,utifrån,z2
0:16:37,hammarby,frislag,0,z1
0:17:29,hammarby,skott,räddning,z8
0:17:34,hammarby,skottyp,utifrån,z8
0:17:36,sirius,utkast,0,z7
0:17:45,sirius,passning,farlig,z2
0:17:47,sirius,friläge,0,z2
0:17:54,sirius,mål,spelmål,z2
0:18:00,sirius,skottyp,friställande,z2
0:18:18,hammarby,avslag,0,0
0:18:35,hammarby,närkamp,0,z5
0:18:51,sirius,närkamp,0,z7
0:19:28,sirius,passning,straffområde,z2
0:19:32,hammarby,brytning,0,z2
0:21:02,hammarby,passning,farlig,z8
0:21:08,hammarby,skott,utanför,z8
0:21:20,hammarby,skottyp,centralt,z2
0:21:23,sirius,utkast,0,0
0:21:37,sirius,passning,straffområde,z2
0:21:41,sirius,hörna,0,z1
0:22:10,sirius,mål,hörnmål,z2
0:22:14,sirius,skottyp,fast,z2
0:22:39,hammarby,avslag,0,0
0:22:47,hammarby,passning,lång,0
0:22:49,sirius,boll,0,0
0:22:58,hammarby,utvisning,10,0
0:24:19,hammarby,utvisning,10,0
0:25:02,sirius,frislag,0,z1
0:26:01,sirius,passning,straffområde,z2
0:26:03,hammarby,närkamp,0,z2
0:26:07,sirius,närkamp,0,z4
0:26:15,sirius,skott,utanför,z2
0:26:18,sirius,skottyp,utifrån,z2
0:26:20,hammarby,utkast,0,0
0:26:48,hammarby,närkamp,0,z1
0:27:00,sirius,närkamp,0,z5
0:27:13,sirius,passning,straffområde,z2
0:27:17,hammarby,närkamp,0,z2
0:27:31,hammarby,frislag,0,z9
0:27:55,sirius,brytning,0,z7
0:28:07,sirius,skott,utanför,z2
0:28:11,sirius,skottyp,utifrån,z2
0:28:16,hammarby,utkast,0,0
0:28:47,sirius,närkamp,0,z5
0:29:03,sirius,hörna,0,z1
0:29:34,sirius,mål,hörnmål,z2
0:29:40,sirius,skottyp,fast,z2
0:30:00,hammarby,avslag,0,0
0:30:24,sirius,brytning,0,z5
0:30:35,sirius,närkamp,0,z6
0:30:39,hammarby,närkamp,0,z3
0:30:45,sirius,närkamp,0,z6
0:31:01,sirius,skott,täckt,z2
0:31:04,sirius,skottyp,utifrån,z2
0:31:06,hammarby,boll,0,0
0:31:13,sirius,närkamp,0,z8
0:31:25,sirius,skott,utanför,z2
0:31:29,sirius,skottyp,utifrån,z2
0:31:31,hammarby,utkast,0,0
0:31:56,hammarby,passning,straffområde,z8
0:31:58,sirius,närkamp,0,z8
0:32:04,sirius,passning,lång,z2
0:32:14,hammarby,utkast,0,0
0:32:32,hammarby,närkamp,0,z4
0:32:54,hammarby,passning,lång,z8
0:32:58,sirius,utkast,0,0
0:33:11,sirius,40,0,0
0:33:16,sirius,40,0,0
0:33:24,sirius,passning,lång,z2
0:33:38,hammarby,utkast,0,0
0:33:59,hammarby,närkamp,0,z9
0:34:26,hammarby,passning,lång,0
0:34:29,sirius,brytning,0,z6
0:34:35,hammarby,närkamp,0,z6
0:35:13,hammarby,passning,lång,0
0:35:20,sirius,utkast,0,z7
0:36:02,sirius,40,0,0
0:36:08,sirius,passning,lång,z3
0:36:12,sirius,närkamp,0,z3
0:36:18,sirius,40,0,0
0:36:35,sirius,passning,straffområde,z2
0:36:42,sirius,skott,täckt,z2
0:36:45,sirius,skottyp,inlägg,z2
0:36:48,hammarby,närkamp,0,z2
0:36:53,0,timeout,0,0
0:37:56,sirius,boll,0,0
0:38:00,sirius,utkast,0,z9
0:38:34,sirius,skott,utanför,z2
0:38:39,sirius,skottyp,utifrån,z2
0:38:41,hammarby,utkast,0,0
0:38:49,sirius,närkamp,0,z7
0:39:01,sirius,passning,lång,z2
0:39:11,hammarby,utkast,0,0
0:39:19,hammarby,passning,lång,0
0:39:22,sirius,närkamp,0,z8
0:39:29,hammarby,närkamp,0,z2
0:39:36,sirius,brytning,0,z5
0:39:40,sirius,40,0,0
0:40:13,hammarby,närkamp,0,z2
0:40:24,hammarby,frislag,0,z1
0:40:34,sirius,närkamp,0,z7
0:40:45,hammarby,närkamp,0,z5
0:40:52,sirius,närkamp,0,z9
0:41:02,hammarby,utvisning,10,0
0:41:37,sirius,frislag,0,z7
0:41:49,sirius,passning,straffområde,z2
0:42:15,sirius,närkamp,0,z5
0:42:21,sirius,passning,straffområde,z2
0:42:26,sirius,skott,räddning,z2
0:42:29,sirius,skottyp,inlägg,z2
0:42:39,sirius,skott,täckt,z2
0:42:44,sirius,skottyp,utifrån,z2
0:42:46,hammarby,närkamp,0,z2
0:42:52,hammarby,passning,lång,0
0:42:54,sirius,boll,0,0
0:43:07,sirius,skott,täckt,z2
0:43:12,sirius,skottyp,utifrån,z2
0:43:17,sirius,skott,täckt,z2
0:43:19,sirius,skottyp,retur,z2
0:43:24,sirius,skott,täckt,z2
0:43:27,sirius,skottyp,retur,z2
0:43:38,hammarby,boll,0,0
0:44:01,hammarby,hörna,0,z7
0:44:33,hammarby,skott,täckt,z8
0:44:43,hammarby,skottyp,fast,z8
0:44:47,sirius,rensning,0,0
0:44:57,hammarby,passning,lång,z8
0:45:01,sirius,utkast,0,z7
0:45:08,sirius,passning,lång,0
0:45:11,sirius,offside,0,0
0:45:17,hammarby,utkast,0,0
0:45:35,hammarby,passning,lång,0
0:45:40,sirius,närkamp,0,z8
0:45:46,sirius,utkast,0,z7
0:45:55,hammarby,närkamp,0,z2
0:46:03,hammarby,frislag,0,z1
0:46:13,hammarby,passning,lång,0
0:46:23,sirius,utkast,0,z4
0:46:39,sirius,passning,straffområde,z2
0:46:44,sirius,mål,spelmål,z2
0:46:48,sirius,skottyp,inlägg,z2
0:47:09,hammarby,avslag,0,0
0:47:20,hammarby,passning,lång,0
0:47:24,hammarby,närkamp,0,z8
0:47:29,sirius,närkamp,0,z7
0:47:39,hammarby,närkamp,0,z5
0:47:47,sirius,närkamp,0,z8
0:47:54,sirius,närkamp,0,z4
0:48:01,sirius,skott,täckt,z2
0:48:06,sirius,skottyp,utifrån,z2
0:48:07,sirius,hörna,0,z1
0:48:31,sirius,skott,utanför,z2
0:48:34,sirius,skottyp,fast,z2
0:48:37,hammarby,utkast,0,0
0:48:48,hammarby,närkamp,0,z6
0:48:54,sirius,närkamp,0,z9
0:48:59,sirius,rensning,0,0
0:49:04,0,stop,0,0
