time,team,event,subevent,zone
0:00:00,gri,avslag,0,z2
0:00:29,gri,passning,straffområde,z8
0:00:33,iks,närkamp,0,z8
0:00:44,iks,passning,lång,z2
0:00:49,gri,utkast,0,z3
0:01:16,iks,närkamp,0,z7
0:01:37,iks,skott,räddning,z2
0:01:41,iks,skottyp,utifrån,z2
0:01:43,gri,utkast,0,z3
0:02:06,gri,bolltapp,passförsök,z7
0:02:08,iks,boll,0,0
0:02:15,iks,närkamp,0,z4
0:02:18,iks,frislag,0,z4
0:02:28,iks,40,0,0
0:02:51,iks,frislag,0,z2
0:03:07,iks,passning,straffområde,z2
0:03:12,iks,boll,0,z6
0:03:28,iks,40,0,0
0:03:38,iks,passning,lång,z3
0:03:44,gri,närkamp,0,z3
0:03:46,gri,utkast,0,z2
0:04:09,gri,närkamp,0,z6
0:04:36,gri,skott,räddning,z8
0:04:40,gri,skottyp,centralt,z8
0:04:42,iks,utkast,0,0
0:04:50,gri,närkamp,0,z2
0:04:54,iks,närkamp,0,z1
0:04:56,iks,40,0,0
0:05:14,iks,passning,lång,z2
0:05:20,gri,brytning,0,z2
0:05:52,gri,passning,straffområde,z8
0:05:59,iks,närkamp,0,z9
0:06:14,gri,utkast,0,z3
0:06:49,gri,hörna,0,z7
0:07:20,gri,skott,täckt,z8
0:07:27,gri,skottyp,fast,z8
0:07:30,iks,utkast,0,z9
0:08:05,iks,40,0,0
0:08:19,iks,bolltapp,tappad,z4
0:08:24,iks,närkamp,0,z1
0:08:30,gri,närkamp,0,z1
0:09:09,gri,passning,straffområde,z8
0:09:13,gri,hörna,0,z9
0:09:34,gri,skott,utanför,z8
0:09:37,gri,skottyp,fast,z8
0:10:05,iks,utkast,0,0
0:10:30,iks,hörna,0,z3
0:11:12,iks,skott,utanför,z1
0:11:23,gri,närkamp,0,z2
0:11:47,iks,närkamp,0,z4
0:11:51,gri,utvisning,10,0
0:12:20,iks,frislag,0,z2
0:12:58,iks,passning,lång,z2
0:13:04,gri,utkast,0,z1
0:13:49,iks,brytning,0,z4
0:13:58,iks,skott,räddning,z2
0:14:04,iks,skottyp,utifrån,z2
0:14:07,gri,boll,0,z2
0:14:55,iks,närkamp,0,z5
0:15:12,iks,hörna,0,z1
0:15:39,iks,skott,täckt,z2
0:15:42,iks,skottyp,fast,z2
0:15:47,iks,boll,0,0
0:16:09,gri,utkast,0,z1
0:16:18,gri,passning,lång,z8
0:16:21,gri,offside,0,0
0:16:25,iks,boll,0,0
0:16:44,iks,40,0,0
0:17:25,iks,40,0,0
0:17:30,iks,passning,lång,z8
0:17:33,gri,närkamp,0,z2
0:17:45,iks,närkamp,0,z6
0:17:57,gri,brytning,0,z1
0:18:16,gri,inslag,0,z6
0:18:33,iks,närkamp,0,z9
0:18:46,iks,passning,lång,z2
0:18:54,gri,utkast,0,z1
0:19:14,iks,närkamp,0,z6
0:19:21,gri,närkamp,0,z6
0:19:47,iks,närkamp,0,z8
0:20:02,iks,frislag,0,z2
0:20:25,iks,bolltapp,passförsök,z6
0:20:32,iks,närkamp,0,z9
0:21:27,iks,bolltapp,passförsök,z3
0:21:56,gri,passning,lång,z8
0:22:01,gri,skott,räddning,z8
0:22:07,gri,skottyp,friställande,z8
0:22:11,iks,boll,0,z8
0:22:29,iks,40,0,0
0:22:39,iks,passning,lång,z3
0:22:43,gri,boll,0,0
0:23:38,gri,skott,räddning,z5
0:23:42,gri,skottyp,utifrån,z5
0:23:43,iks,utkast,0,0
0:23:57,iks,passning,straffområde,z2
0:24:02,iks,närkamp,0,z3
0:24:05,iks,40,0,0
0:24:30,iks,hörna,0,z3
0:25:03,iks,passning,straffområde,z2
0:25:07,gri,rensning,0,z5
0:25:44,iks,frislag,0,z5
0:25:55,gri,utkast,0,z1
0:26:16,gri,skott,täckt,z8
0:26:20,gri,skottyp,utifrån,z8
0:26:27,iks,boll,0,0
0:26:30,gri,närkamp,0,z5
0:26:34,iks,närkamp,0,z3
0:26:36,0,timeout,0,0
0:26:55,iks,frislag,0,z3
0:27:07,gri,brytning,0,z2
0:27:21,iks,närkamp,0,z6
0:27:36,iks,passning,lång,z1
0:27:41,gri,utkast,0,z1
0:28:12,gri,frislag,0,z6
0:28:23,gri,bolltapp,tappad,z5
0:28:31,gri,närkamp,0,z1
0:28:36,iks,närkamp,0,z5
0:28:52,iks,passning,straffområde,z2
0:29:05,gri,inslag,0,z3
0:29:35,iks,närkamp,0,z8
0:29:41,gri,närkamp,0,z7
0:30:40,iks,närkamp,0,z5
0:30:44,iks,40,0,0
0:30:54,iks,40,0,0
0:31:15,iks,passning,straffområde,z2
0:31:17,gri,närkamp,0,z2
0:31:45,gri,passning,straffområde,z8
0:31:48,iks,utkast,0,z9
0:32:04,iks,40,0,0
0:32:17,gri,närkamp,0,z4
0:32:19,iks,närkamp,0,z4
0:32:43,gri,utkast,0,z1
0:33:19,gri,passning,straffområde,z8
0:33:23,gri,skott,utanför,z8
0:33:27,gri,skottyp,inlägg,z8
0:33:36,iks,utkast,0,0
0:34:02,iks,passning,straffområde,z2
0:34:07,iks,hörna,0,z1
0:34:30,iks,skott,utanför,z2
0:34:34,iks,skottyp,fast,z2
0:34:37,gri,boll,0,0
0:34:50,gri,hörna,0,z7
0:35:13,gri,skott,täckt,z8
0:35:16,gri,skottyp,fast,z8
0:35:20,gri,skott,täckt,z8
0:35:26,gri,skottyp,retur,z8
0:35:29,iks,boll,0,0
0:35:33,gri,närkamp,0,z3
0:35:49,iks,utvisning,10,0
0:36:25,gri,frislag,0,z6
0:36:56,gri,passning,lång,z8
0:36:59,iks,närkamp,0,z8
0:37:30,iks,skott,räddning,z8
0:37:38,iks,skottyp,dribbling,z2
0:37:42,iks,närkamp,0,z3
0:37:55,iks,frislag,0,z3
0:38:17,iks,40,0,0
0:38:30,iks,40,0,0
0:38:39,gri,närkamp,0,z4
0:38:43,iks,närkamp,0,z5
0:38:55,gri,brytning,0,z2
0:39:15,gri,frislag,0,z9
0:39:30,gri,passning,straffområde,z8
0:39:33,iks,utkast,0,z7
0:39:49,gri,närkamp,0,z5
0:40:03,iks,utkast,0,0
0:40:24,iks,passning,straffområde,z2
0:40:28,iks,skott,täckt,z2
0:40:31,iks,skottyp,utifrån,z2
0:40:33,gri,boll,0,0
0:40:56,gri,närkamp,0,z6
0:41:01,gri,skott,räddning,z8
0:41:05,gri,skottyp,dribbling,z8
0:41:09,gri,hörna,0,z9
0:41:40,gri,skott,täckt,z8
0:41:44,gri,skottyp,fast,z8
0:41:49,iks,utkast,0,0
0:42:01,iks,närkamp,0,z5
0:42:22,gri,brytning,0,z5
0:42:40,gri,mål,spelmål,z8
0:42:47,gri,skottyp,centralt,z8
0:43:06,iks,avslag,0,0
0:43:43,gri,närkamp,0,z3
0:43:56,iks,närkamp,0,z8
0:43:59,gri,närkamp,0,z8
0:44:03,gri,hörna,0,z7
0:44:37,gri,mål,hörnmål,z8
0:44:40,gri,skottyp,fast,z8
0:44:59,iks,avslag,0,0
0:45:33,iks,40,0,0
0:45:37,0,stop,0,0
