time,team,event,subevent,zone
0:00:00,iks,avslag,0,z2
0:00:09,iks,utkast,0,z1
0:00:20,iks,frislag,0,z2
0:00:32,iks,passning,lång,z8
0:00:39,vän,utkast,0,0
0:00:54,vän,frislag,0,z4
0:01:10,iks,brytning,0,z2
0:01:20,iks,frislag,0,z1
0:01:28,iks,passning,lång,z5
0:01:36,vän,brytning,0,z5
0:01:57,iks,utkast,0,0
0:02:07,iks,passning,lång,z5
0:02:12,vän,boll,0,z8
0:02:25,vän,passning,straffområde,0
0:02:28,iks,brytning,0,z2
0:02:45,vän,närkamp,0,z8
0:03:00,iks,närkamp,0,z6
0:03:08,iks,frislag,0,z6
0:03:15,iks,passning,farlig,z8
0:03:19,vän,utkast,0,z7
0:03:35,iks,närkamp,0,z5
0:03:47,vän,närkamp,0,z4
0:03:51,vän,närkamp,0,z4
0:03:55,iks,brytning,0,z5
0:04:09,iks,frislag,0,z9
0:04:18,vän,utvisning,5,0
0:04:35,iks,boll,0,0
0:04:42,iks,passning,straffområde,z8
0:04:45,iks,närkamp,0,z8
0:04:49,iks,40,0,0
0:04:54,iks,40,0,0
0:05:18,iks,närkamp,0,z9
0:05:22,iks,skott,räddning,z9
0:05:26,iks,skottyp,utifrån,z9
0:05:32,vän,utkast,0,z5
0:05:34,iks,boll,0,0
0:05:40,iks,bolltapp,passförsök,z5
0:05:49,vän,skott,räddning,z3
0:05:53,vän,skottyp,utifrån,z3
0:05:55,iks,utkast,0,0
0:06:02,iks,passning,lång,z8
0:06:04,iks,boll,0,0
0:06:08,vän,brytning,0,z8
0:06:13,iks,närkamp,0,z2
0:06:20,vän,brytning,0,z4
0:06:45,vän,skott,utanför,z3
0:06:55,vän,skottyp,utifrån,z3
0:06:56,iks,utkast,0,0
0:07:08,vän,närkamp,0,z5
0:07:12,vän,frislag,0,z5
0:07:27,vän,skott,utanför,z2
0:07:30,vän,skottyp,utifrån,z2
0:07:32,iks,utkast,0,0
0:07:45,iks,inslag,0,z6
0:07:57,iks,passning,lång,z8
0:08:04,iks,närkamp,0,z8
0:08:16,iks,hörna,0,z9
0:08:38,iks,skott,täckt,z8
0:08:42,iks,skottyp,fast,z8
0:08:45,iks,inslag,0,z7
0:09:11,vän,inslag,0,z9
0:09:18,vän,passning,lång,z5
0:09:27,iks,utkast,0,z3
0:09:41,iks,passning,lång,z8
0:09:46,vän,närkamp,0,z8
0:09:55,vän,skott,utanför,z5
0:09:58,vän,skottyp,utifrån,z5
0:10:02,iks,utkast,0,z6
0:10:13,iks,passning,lång,z8
0:10:23,vän,bolltapp,tappad,z8
0:10:27,iks,skott,räddning,z8
0:10:32,iks,skottyp,centralt,z8
0:10:35,iks,boll,0,0
0:10:47,iks,inslag,0,z7
0:11:00,vän,boll,0,0
0:11:09,iks,närkamp,0,z6
0:11:11,vän,inslag,0,z6
0:11:15,vän,passning,lång,z2
0:11:18,iks,utkast,0,z1
0:11:25,iks,passning,lång,z8
0:11:31,iks,närkamp,0,z8
0:11:35,iks,hörna,0,z7
0:12:00,iks,skott,utanför,z8
0:12:02,iks,skottyp,fast,z8
0:12:07,vän,utkast,0,z7
0:12:26,iks,närkamp,0,z3
0:12:30,iks,inslag,0,z3
0:12:44,iks,passning,lång,z5
0:12:48,iks,närkamp,0,z5
0:12:55,vän,närkamp,0,z6
0:13:06,vän,frislag,0,z8
0:13:27,iks,brytning,0,z2
0:13:43,vän,närkamp,0,z9
0:13:49,vän,frislag,0,z9
0:13:59,iks,brytning,0,z6
0:14:04,vän,närkamp,0,z9
0:14:20,iks,utkast,0,z3
0:14:34,vän,brytning,0,z6
0:14:42,vän,skott,räddning,z2
0:14:45,vän,skottyp,utifrån,z2
0:14:49,iks,utkast,0,z8
0:14:54,vän,boll,0,z8
0:15:06,vän,hörna,0,z3
0:15:44,vän,skott,utanför,z2
0:15:47,vän,skottyp,fast,z2
0:16:02,iks,utkast,0,0
0:16:11,iks,frislag,0,z8
0:16:28,iks,skott,täckt,z8
0:16:33,iks,skottyp,utifrån,z8
0:16:35,vän,rensning,0,0
0:16:45,iks,utkast,0,z8
0:16:53,iks,närkamp,0,z5
0:16:57,vän,närkamp,0,z5
0:17:08,vän,passning,straffområde,z2
0:17:14,iks,utkast,0,z1
0:17:22,vän,brytning,0,z5
0:17:42,vän,närkamp,0,z1
0:17:48,vän,inslag,0,z1
0:17:55,vän,passning,straffområde,z2
0:17:59,vän,boll,0,z6
0:18:05,vän,passning,lång,z2
0:18:18,iks,utkast,0,z4
0:18:23,iks,närkamp,0,z4
0:18:29,iks,närkamp,0,z7
0:18:34,iks,passning,straffområde,z8
0:18:40,vän,närkamp,0,z8
0:18:42,vän,rensning,0,0
0:18:47,iks,passning,lång,z8
0:18:53,iks,offside,0,z8
0:19:01,vän,boll,0,0
0:19:04,iks,brytning,0,z2
0:19:10,vän,närkamp,0,z6
0:19:18,iks,närkamp,0,z5
0:19:25,iks,passning,straffområde,z8
0:19:30,vän,närkamp,0,z8
0:19:47,vän,frislag,0,z3
0:20:07,vän,passning,lång,z2
0:20:13,iks,utkast,0,z6
0:20:19,iks,passning,lång,z5
0:20:25,vän,närkamp,0,z5
0:20:39,vän,passning,straffområde,z2
0:20:43,iks,utkast,0,z6
0:20:50,iks,passning,lång,z8
0:21:04,vän,rensning,0,z8
0:21:15,vän,närkamp,0,z7
0:21:18,vän,utkast,0,0
0:21:25,vän,frislag,0,z5
0:21:45,vän,passning,straffområde,z2
0:21:47,vän,skott,utanför,z2
0:21:53,vän,skottyp,inlägg,z2
0:21:54,iks,utkast,0,0
0:22:02,iks,passning,lång,0
0:22:07,vän,boll,0,0
0:22:20,vän,mål,spelmål,z2
0:22:29,vän,skottyp,centralt,z2
0:22:43,iks,avslag,0,0
0:22:56,iks,passning,lång,z8
0:23:07,vän,utkast,0,z9
0:23:15,vän,passning,straffområde,z2
0:23:21,vän,närkamp,0,z2
0:23:24,vän,skott,räddning,z2
0:23:29,vän,skottyp,centralt,z2
0:23:31,vän,hörna,0,z3
0:23:46,vän,skott,täckt,z2
0:23:50,vän,skottyp,fast,z2
0:23:59,iks,närkamp,0,z6
0:24:01,iks,rensning,0,0
0:24:07,vän,närkamp,0,z4
0:24:30,iks,utkast,0,z6
0:24:35,vän,brytning,0,z6
0:24:41,vän,skott,räddning,z2
0:24:47,vän,skottyp,utifrån,z2
0:24:50,vän,hörna,0,z1
0:25:08,vän,skott,täckt,z2
0:25:11,vän,skottyp,fast,z2
0:25:16,vän,skott,täckt,z2
0:25:19,vän,skottyp,utifrån,z2
0:25:23,iks,rensning,0,0
0:25:28,vän,passning,lång,z5
0:25:36,iks,brytning,0,z2
0:25:38,iks,rensning,0,0
0:25:46,iks,brytning,0,z4
0:25:54,vän,passning,lång,0
0:25:59,iks,utkast,0,z5
0:26:09,vän,rensning,0,0
0:26:13,vän,brytning,0,z5
0:26:16,iks,närkamp,0,z2
0:26:38,iks,passning,straffområde,z8
0:26:41,iks,skott,täckt,z8
0:26:44,iks,skottyp,inlägg,z8
0:26:56,vän,närkamp,0,z8
0:26:59,vän,frislag,0,z8
0:27:06,vän,frislag,0,z6
