time,team,event,subevent,zone
0:00:00,iks,avslag,0,z5
0:00:35,eds,brytning,0,z1
0:01:31,eds,närkamp,0,z4
0:01:40,iks,närkamp,0,z8
0:01:46,iks,frislag,0,z6
0:02:00,eds,närkamp,0,z3
0:02:34,eds,offside,0,z7
0:02:36,iks,boll,0,0
0:03:21,iks,skott,räddning,z2
0:03:25,iks,skottyp,utifrån,z2
0:03:28,eds,rensning,0,0
0:03:30,iks,40,0,0
0:03:49,iks,skott,täckt,z2
0:03:53,iks,skottyp,utifrån,z2
0:03:56,iks,hörna,0,z1
0:04:20,eds,brytning,0,z2
0:04:34,eds,skott,täckt,z8
0:04:39,eds,skottyp,centralt,z8
0:04:45,iks,rensning,0,0
0:05:07,eds,skott,täckt,z8
0:05:11,eds,skottyp,utifrån,z8
0:05:15,eds,närkamp,0,z5
0:05:34,eds,närkamp,0,z9
0:05:41,eds,skott,utanför,z9
0:05:45,eds,skottyp,utifrån,z8
0:05:48,iks,utkast,0,0
0:05:53,iks,passning,lång,z2
0:05:59,eds,utkast,0,z1
0:06:11,eds,bolltapp,passförsök,z7
0:06:13,iks,utkast,0,0
0:06:33,iks,skott,utanför,z2
0:06:37,iks,skottyp,utifrån,z2
0:06:43,eds,utkast,0,z6
0:07:05,iks,närkamp,0,z4
0:07:07,iks,inslag,0,z4
0:07:11,eds,närkamp,0,z5
0:07:18,eds,frislag,0,z6
0:08:07,eds,skott,täckt,z9
0:08:11,eds,skottyp,dribbling,z8
0:08:16,eds,mål,spelmål,z8
0:08:20,eds,skottyp,retur,z8
0:08:45,iks,avslag,0,0
0:09:06,iks,hörna,0,z1
0:09:38,iks,skott,täckt,z2
0:09:42,iks,skottyp,fast,z2
0:09:50,iks,bolltapp,passförsök,z4
0:09:53,eds,inslag,0,z1
0:10:45,eds,närkamp,0,z6
0:10:48,eds,frislag,0,z6
0:12:03,iks,närkamp,0,z9
0:12:14,iks,bolltapp,passförsök,z3
0:12:15,eds,utkast,0,0
0:13:13,iks,närkamp,0,z7
0:13:32,eds,närkamp,0,z2
0:14:05,eds,skott,utanför,z8
0:14:08,eds,skottyp,utifrån,z8
0:14:09,iks,utkast,0,0
0:14:51,iks,hörna,0,z1
0:15:24,iks,skott,utanför,z2
0:15:28,iks,skottyp,fast,z2
0:15:30,eds,utkast,0,0
0:15:45,eds,bolltapp,tappad,z6
0:16:02,iks,utvisning,10,0
0:17:12,eds,frislag,0,z5
0:17:32,eds,skott,räddning,z8
0:17:35,eds,skottyp,utifrån,z8
0:17:39,iks,utkast,0,0
0:17:59,iks,skott,täckt,z2
0:18:02,iks,skottyp,utifrån,z2
0:18:04,iks,hörna,0,z3
0:19:01,iks,skott,täckt,z2
0:19:04,iks,skottyp,fast,z2
0:19:10,iks,närkamp,0,z1
0:19:12,eds,närkamp,0,z1
0:19:14,iks,närkamp,0,z2
0:20:08,iks,40,0,0
0:20:34,eds,inslag,0,z3
0:20:59,eds,skott,täckt,z8
0:21:03,eds,skottyp,utifrån,z8
0:21:07,iks,rensning,0,0
0:21:26,iks,utkast,0,z7
0:21:49,eds,brytning,0,z3
0:22:20,eds,passning,straffområde,z8
0:22:22,iks,boll,0,z8
0:22:40,iks,skott,utanför,z2
0:22:47,iks,skottyp,centralt,z2
0:22:49,eds,utkast,0,0
0:22:58,eds,passning,lång,0
0:23:03,iks,brytning,0,z8
0:23:07,eds,närkamp,0,z5
0:23:12,iks,närkamp,0,z4
0:23:52,iks,40,0,0
0:24:25,eds,utkast,0,z3
0:25:00,eds,skott,räddning,z8
0:25:03,eds,skottyp,utifrån,z8
0:25:09,iks,närkamp,0,z7
