time,team,event,subevent,zone
0:00:00,iks,avslag,0,0
0:00:49,iks,mål,spelmål,z3
0:00:52,iks,skottyp,utifrån,z3
0:00:58,bro,avslag,0,0
0:01:26,iks,brytning,0,z5
0:01:38,iks,utkast,0,0
0:02:07,iks,närkamp,0,z2
0:02:09,bro,närkamp,0,z2
0:02:19,bro,utkast,0,0
0:02:32,0,timeout,0,0
0:02:40,bro,boll,0,0
0:03:00,iks,närkamp,0,z9
0:03:04,bro,närkamp,0,z6
0:03:28,iks,utkast,0,z9
0:03:52,iks,40,0,0
0:04:13,iks,hörna,0,z3
0:04:41,iks,skott,täckt,z2
0:04:44,iks,skottyp,fast,z2
0:04:50,iks,skott,täckt,z2
0:04:53,iks,skottyp,retur,z2
0:04:56,iks,boll,0,0
0:05:25,iks,skott,täckt,z2
0:05:29,iks,skottyp,utifrån,z2
0:05:34,bro,boll,0,z2
0:05:58,bro,passning,straffområde,z8
0:06:01,bro,skott,utanför,z8
0:06:07,bro,skottyp,inlägg,z8
0:06:08,iks,utkast,0,0
0:06:24,bro,brytning,0,z2
0:06:40,bro,passning,straffområde,z8
0:06:43,iks,inslag,0,z7
0:06:56,bro,närkamp,0,z6
0:07:01,iks,närkamp,0,z6
0:07:23,iks,passning,straffområde,z2
0:07:25,bro,rensning,0,0
0:08:04,iks,hörna,0,z3
0:08:31,iks,mål,hörnmål,z2
0:08:36,iks,skottyp,fast,z2
0:09:02,bro,avslag,0,0
0:09:26,bro,hörna,0,z7
0:09:54,bro,skott,täckt,z8
0:09:57,bro,skottyp,fast,z8
0:10:10,iks,närkamp,0,z6
0:10:20,bro,närkamp,0,z3
0:10:30,iks,frislag,0,z3
0:10:42,iks,närkamp,0,z2
0:10:59,iks,utkast,0,0
0:11:25,bro,brytning,0,z1
0:11:34,bro,frislag,0,z5
0:12:21,bro,bolltapp,passförsök,z9
0:12:26,iks,utkast,0,z9
0:12:36,iks,40,0,0
0:12:39,iks,passning,lång,z2
0:12:44,bro,frislag,0,z2
0:12:59,iks,utkast,0,z7
0:13:29,iks,utkast,0,0
0:13:54,iks,mål,spelmål,z2
0:13:59,iks,skottyp,dribbling,z2
0:14:30,bro,timeout,0,0
0:16:47,bro,avslag,0,0
0:17:01,bro,närkamp,0,z4
0:17:21,bro,passning,straffområde,z8
0:17:30,iks,närkamp,0,z9
0:17:39,bro,närkamp,0,z6
0:17:59,bro,skott,utanför,z8
0:18:02,bro,skottyp,utifrån,z8
0:18:05,iks,utkast,0,z9
0:18:23,iks,passning,straffområde,z2
0:18:26,bro,boll,0,0
0:18:44,iks,närkamp,0,z9
0:18:52,bro,närkamp,0,z6
0:19:01,iks,utvisning,10,0
0:19:37,bro,frislag,0,z9
0:19:49,bro,bolltapp,passförsök,z7
0:19:55,iks,utkast,0,z7
0:20:13,bro,inslag,0,z6
0:20:23,iks,närkamp,0,z8
0:20:27,bro,frislag,0,z8
0:20:37,iks,brytning,0,z8
0:20:47,iks,närkamp,0,z5
0:20:52,bro,brytning,0,z5
0:21:17,bro,närkamp,0,z7
0:21:26,bro,inslag,0,z7
0:21:54,iks,närkamp,0,z8
0:22:00,bro,närkamp,0,z4
0:22:05,bro,frislag,0,z4
0:22:25,bro,skott,utanför,z8
0:22:31,bro,skottyp,centralt,z8
0:22:33,iks,utkast,0,0
0:22:37,bro,närkamp,0,z6
0:22:49,iks,utkast,0,0
0:23:01,bro,närkamp,0,z1
0:23:16,bro,mål,spelmål,z8
0:23:38,bro,skottyp,centralt,z8
0:23:40,iks,avslag,0,0
0:23:54,bro,närkamp,0,z6
0:24:18,bro,skott,täckt,z8
0:24:22,bro,skottyp,utifrån,z8
0:24:25,iks,boll,0,0
0:24:28,iks,frislag,0,z7
0:24:56,iks,40,0,0
0:25:10,iks,passning,straffområde,z2
0:25:23,bro,boll,0,0
0:25:54,iks,närkamp,0,z5
0:26:05,iks,skott,täckt,z2
0:26:10,iks,skottyp,centralt,z2
0:26:12,iks,hörna,0,z1
0:26:42,iks,skott,täckt,z2
0:26:45,iks,skottyp,fast,z2
0:26:47,iks,boll,0,0
0:27:09,iks,passning,straffområde,z2
0:27:12,iks,mål,spelmål,z2
0:27:18,iks,skottyp,inlägg,z2
0:27:36,bro,avslag,0,0
0:28:06,iks,närkamp,0,z5
0:28:15,bro,närkamp,0,z1
0:28:20,iks,närkamp,0,z4
0:28:55,bro,närkamp,0,z2
0:29:10,iks,närkamp,0,z6
0:29:21,iks,bolltapp,passförsök,z2
0:29:23,bro,utkast,0,z1
0:29:52,iks,närkamp,0,z4
0:30:00,iks,närkamp,0,z6
0:30:07,iks,skott,utanför,z3
0:30:10,iks,skottyp,utifrån,z3
0:30:12,bro,utkast,0,0
0:30:33,bro,passning,straffområde,z8
0:30:36,bro,skott,utanför,z8
0:30:40,bro,skottyp,inlägg,z8
0:30:42,iks,utkast,0,0
0:30:53,bro,närkamp,0,z1
0:30:59,bro,närkamp,0,z4
0:31:05,bro,passning,straffområde,z8
0:31:09,bro,hörna,0,z9
0:31:38,bro,skott,utanför,z8
0:31:43,bro,skottyp,fast,z8
0:31:45,iks,utkast,0,0
0:31:54,bro,närkamp,0,z6
0:32:13,bro,passning,straffområde,z8
0:32:23,iks,utkast,0,0
0:32:32,iks,närkamp,0,z4
0:32:52,bro,närkamp,0,z1
0:33:03,bro,inslag,0,z1
0:33:14,bro,närkamp,0,z5
0:33:26,bro,frislag,0,z9
0:33:41,bro,passning,straffområde,z8
0:33:45,iks,frislag,0,z8
0:33:54,iks,passning,lång,z5
0:33:57,bro,brytning,0,z5
0:34:12,bro,närkamp,0,z7
0:34:30,bro,passning,straffområde,z8
0:34:34,iks,närkamp,0,z8
0:34:36,bro,närkamp,0,z5
0:34:52,iks,närkamp,0,z5
0:34:57,iks,passning,straffområde,z2
0:35:04,bro,utkast,0,z3
0:35:19,iks,närkamp,0,z7
0:35:23,bro,närkamp,0,z5
0:35:34,bro,passning,straffområde,z8
0:35:37,iks,närkamp,0,z8
0:35:42,bro,utvisning,10,0
0:36:16,iks,frislag,0,z4
0:36:21,bro,brytning,0,z2
0:36:30,bro,skott,utanför,z8
0:36:35,bro,skottyp,utifrån,z8
0:36:38,iks,utkast,0,z7
0:36:44,bro,närkamp,0,z7
