time,team,event,subevent,zone
0:00:00,iks,avslag,0,z2
0:00:21,iks,passning,lång,z8
0:00:31,villa,boll,0,z7
0:01:14,villa,passning,straffområde,z2
0:01:16,iks,rensning,0,0
0:01:19,villa,inslag,0,z1
0:02:07,iks,utkast,0,0
0:02:34,iks,skott,utanför,z8
0:02:39,iks,skottyp,utifrån,z8
0:02:40,villa,utkast,0,0
0:03:05,villa,passning,straffområde,z2
0:03:08,villa,mål,spelmål,z2
0:03:13,villa,skottyp,inlägg,z2
0:03:32,iks,avslag,0,0
0:03:58,iks,skott,täckt,z8
0:04:01,iks,skottyp,utifrån,z8
0:04:04,iks,hörna,0,z7
0:04:27,iks,skott,utanför,z8
0:04:31,iks,skottyp,fast,z8
0:04:33,villa,utkast,0,0
0:05:11,iks,utkast,0,z2
0:05:38,villa,närkamp,0,z6
0:05:45,villa,hörna,0,z3
0:06:16,villa,skott,utanför,z2
0:06:19,villa,skottyp,fast,z2
0:06:26,iks,brytning,0,z1
0:06:37,iks,frislag,0,z1
0:06:54,iks,passning,straffområde,z2
0:06:59,villa,närkamp,0,z9
0:07:31,iks,inslag,0,z4
0:08:10,villa,närkamp,0,z8
0:08:12,iks,boll,0,0
0:08:25,villa,utkast,0,0
0:08:52,villa,passning,straffområde,z2
0:08:57,villa,skott,utanför,z2
0:09:02,villa,skottyp,inlägg,z2
0:09:04,iks,utkast,0,0
0:09:13,iks,passning,straffområde,z8
0:09:15,iks,boll,0,0
0:09:35,iks,frislag,0,z2
0:09:58,iks,passning,lång,0
0:10:01,villa,utkast,0,0
0:10:14,villa,skott,utanför,z2
0:10:17,villa,skottyp,utifrån,z2
0:10:19,iks,utkast,0,0
0:10:35,villa,närkamp,0,z9
0:11:16,villa,skott,räddning,z2
0:11:19,villa,skottyp,centralt,z2
0:11:22,iks,rensning,0,z2
0:11:25,villa,inslag,0,z3
0:11:35,iks,brytning,0,z3
0:11:49,iks,passning,straffområde,z8
0:11:57,iks,mål,spelmål,z8
0:12:06,iks,skottyp,inlägg,z8
0:12:16,villa,avslag,0,0
0:12:30,villa,passning,lång,z2
0:12:32,iks,utkast,0,0
0:12:56,villa,närkamp,0,z1
0:13:12,villa,skott,räddning,z2
0:13:16,villa,skottyp,centralt,z2
0:13:20,iks,boll,0,0
0:13:29,iks,skott,räddning,z8
0:13:33,iks,skottyp,utifrån,z8
0:13:35,villa,boll,0,0
0:13:44,iks,närkamp,0,z1
0:13:48,villa,närkamp,0,z4
0:14:00,iks,närkamp,0,z4
0:14:06,iks,skott,täckt,z9
0:14:09,iks,skottyp,utifrån,z9
0:14:11,villa,boll,0,0
0:14:26,iks,passning,straffområde,z2
0:14:30,villa,hörna,0,z1
0:14:56,villa,skott,täckt,z2
0:15:01,villa,skottyp,fast,z2
0:15:05,villa,boll,0,z3
0:15:31,villa,frislag,0,z3
0:15:53,iks,närkamp,0,z5
0:16:12,iks,skott,täckt,z8
0:16:18,iks,skottyp,utifrån,z8
0:16:24,villa,frislag,0,z9
0:16:28,villa,passning,lång,z2
0:16:29,iks,boll,0,0
0:17:07,iks,passning,straffområde,z8
0:17:13,iks,brytning,0,z7
0:17:17,iks,40,0,0
0:17:40,iks,frislag,0,z7
0:18:28,villa,brytning,0,z8
0:18:31,villa,rensning,0,0
0:18:34,iks,40,0,0
0:18:53,iks,skott,räddning,z8
0:19:01,iks,skottyp,utifrån,z8
0:19:05,villa,boll,0,z8
0:19:12,iks,brytning,0,z2
0:19:34,iks,bolltapp,passförsök,z6
0:19:36,villa,rensning,0,0
0:19:45,villa,närkamp,0,z5
0:20:10,iks,närkamp,0,z2
0:20:25,iks,40,0,z3
0:20:40,villa,närkamp,0,z7
0:21:15,villa,inslag,0,z3
0:21:20,iks,timeout,0,0
0:23:05,villa,boll,0,0
0:23:35,villa,passning,straffområde,z2
0:23:42,iks,brytning,0,z2
0:23:49,iks,hörna,0,z9
0:24:19,iks,skott,utanför,z8
0:24:24,iks,skottyp,fast,z8
0:24:30,villa,utkast,0,z7
0:25:04,iks,brytning,0,z6
0:25:16,villa,närkamp,0,z7
0:25:30,villa,närkamp,0,z6
0:25:41,villa,passning,straffområde,z2
0:25:45,iks,boll,0,0
0:25:55,villa,utkast,0,z7
0:26:31,iks,närkamp,0,z5
0:26:44,villa,utvisning,10,0
0:27:30,iks,frislag,0,z6
0:27:37,iks,frislag,0,z4
0:28:14,iks,skott,räddning,z8
0:28:20,iks,skottyp,utifrån,z8
0:28:23,iks,hörna,0,z9
0:28:39,iks,skott,utanför,z8
0:28:42,iks,skottyp,fast,z8
0:28:46,villa,utkast,0,0
0:29:26,villa,skott,utanför,z2
0:29:34,villa,skottyp,utifrån,0
0:29:36,iks,utkast,0,z3
0:29:50,villa,brytning,0,z8
0:30:00,villa,rensning,0,0
0:30:40,villa,närkamp,0,z7
0:30:56,iks,inslag,0,z7
0:31:04,villa,brytning,0,z8
0:31:43,iks,närkamp,0,z5
0:31:55,iks,passning,farlig,z8
0:32:05,iks,skott,utanför,z8
