time,team,event,subevent,zone
0:00:00,vet,avslag,0,z2
0:00:40,iks,närkamp,0,z6
0:00:43,iks,40,0,0
0:01:29,iks,passning,straffområde,z2
0:01:31,vet,boll,0,0
0:01:43,0,timeout,0,0
0:02:15,iks,utkast,0,0
0:02:34,vet,närkamp,0,z2
0:03:01,iks,närkamp,0,z9
0:03:11,iks,frislag,0,z6
0:03:31,iks,passning,straffområde,z2
0:03:37,iks,mål,spelmål,z2
0:03:46,iks,skottyp,inlägg,z2
0:04:03,vet,avslag,0,0
0:05:24,vet,passning,straffområde,z8
0:05:45,iks,utkast,0,0
0:05:51,iks,kontring,0,0
0:05:56,iks,mål,spelmål,z2
0:06:20,iks,skottyp,utifrån,z2
0:06:24,vet,timeout,0,0
0:07:32,vet,avslag,0,0
0:07:57,vet,skott,utanför,z8
0:07:59,vet,skottyp,utifrån,0
0:08:00,iks,utkast,0,0
0:08:41,iks,passning,straffområde,z2
0:08:44,iks,skott,utanför,z2
0:08:50,iks,skottyp,inlägg,z2
0:08:54,vet,boll,0,0
0:09:11,vet,frislag,0,z3
0:09:43,iks,närkamp,0,z4
0:09:59,vet,skott,utanför,z8
0:10:02,vet,skottyp,utifrån,z8
0:10:03,iks,utkast,0,0
0:10:15,vet,brytning,0,z1
0:10:31,iks,närkamp,0,z8
0:10:43,iks,passning,lång,z3
0:10:50,vet,utkast,0,z1
0:11:07,iks,närkamp,0,z9
0:11:29,vet,närkamp,0,z1
0:12:04,iks,närkamp,0,z5
0:12:10,iks,hörna,0,z1
0:12:45,iks,skott,räddning,z2
0:12:52,iks,skottyp,fast,z2
0:13:04,vet,utkast,0,0
0:13:16,vet,närkamp,0,z7
0:13:20,vet,inslag,0,z7
0:13:24,vet,passning,straffområde,z8
0:13:29,iks,utkast,0,z9
0:13:49,vet,närkamp,0,z5
0:14:02,iks,närkamp,0,z7
0:14:06,iks,utkast,0,z9
0:14:31,iks,frislag,0,z2
0:15:03,vet,brytning,0,z5
0:15:04,iks,närkamp,0,z5
0:15:10,iks,skott,räddning,z2
0:15:21,iks,skottyp,utifrån,z2
0:15:23,iks,hörna,0,z3
0:15:49,vet,boll,0,z1
0:15:53,iks,närkamp,0,z1
0:15:56,vet,brytning,0,z2
0:15:58,vet,kontring,0,0
0:16:06,iks,närkamp,0,z7
0:16:26,iks,passning,straffområde,z2
0:16:30,vet,brytning,0,z2
0:16:33,vet,kontring,0,0
0:16:45,vet,skott,räddning,z8
0:16:48,vet,skottyp,dribbling,z8
0:16:50,iks,utkast,0,0
0:16:53,vet,utkast,0,0
0:17:27,iks,boll,0,z7
0:18:17,iks,bolltapp,passförsök,z1
0:18:37,vet,passning,straffområde,z8
0:18:39,vet,boll,0,0
0:18:59,iks,närkamp,0,z5
0:19:52,iks,närkamp,0,z4
0:19:59,iks,hörna,0,z3
0:20:31,iks,mål,hörnmål,z2
0:20:37,iks,skottyp,fast,z2
0:20:57,vet,avslag,0,0
0:21:17,iks,närkamp,0,z6
0:21:24,vet,brytning,0,z5
0:21:35,vet,närkamp,0,z6
0:21:53,vet,skott,utanför,z8
0:22:01,vet,skottyp,utifrån,z8
0:22:03,iks,utkast,0,0
0:22:23,iks,hörna,0,z3
0:23:29,iks,mål,hörnmål,z2
0:23:32,iks,skottyp,fast,z2
0:23:54,vet,avslag,0,0
0:24:29,vet,passning,straffområde,z8
0:24:32,vet,offside,0,0
0:24:35,iks,boll,0,0
0:25:00,iks,40,0,0
0:26:01,iks,40,0,0
0:26:24,iks,skott,täckt,z2
0:26:27,iks,skottyp,centralt,z2
0:26:29,iks,hörna,0,z3
0:26:58,iks,skott,räddning,z2
0:27:01,iks,skottyp,fast,z2
0:27:07,iks,mål,hörnmål,z2
0:27:10,iks,skottyp,retur,z2
0:27:24,vet,avslag,0,0
0:28:04,iks,brytning,0,z8
0:28:16,iks,frislag,0,z5
0:28:45,iks,passning,lång,z3
0:28:47,vet,utkast,0,0
0:29:05,iks,närkamp,0,z9
0:29:08,vet,närkamp,0,z9
0:29:12,vet,skott,räddning,z8
0:29:14,vet,skottyp,utifrån,z8
0:29:18,iks,utkast,0,z7
0:29:34,vet,närkamp,0,z6
0:29:53,iks,närkamp,0,z9
0:30:03,vet,närkamp,0,z6
0:30:21,vet,skott,räddning,z8
0:30:24,vet,skottyp,dribbling,z8
0:30:27,iks,närkamp,0,z7
0:30:39,iks,skott,täckt,z2
0:30:42,iks,skottyp,utifrån,z2
0:30:45,vet,boll,0,z2
0:30:51,vet,närkamp,0,z4
0:30:53,vet,frislag,0,z4
0:31:47,vet,skott,täckt,z7
0:31:50,vet,skottyp,utifrån,z7
0:31:57,iks,rensning,0,0
0:32:00,vet,inslag,0,z7
0:32:07,iks,utkast,0,0
0:32:20,vet,utkast,0,z1
0:32:29,iks,brytning,0,z5
0:32:42,iks,friläge,0,z2
0:32:44,iks,skott,utanför,z2
0:32:51,iks,skottyp,friställande,z2
0:32:52,vet,utkast,0,0
0:33:32,iks,närkamp,0,z5
0:33:41,vet,brytning,0,z1
0:33:43,iks,närkamp,0,z1
0:33:48,iks,passning,straffområde,z2
0:33:51,iks,närkamp,0,z1
0:33:57,iks,frislag,0,z1
0:34:04,iks,skott,utanför,z2
0:34:07,iks,skottyp,utifrån,z2
0:34:08,vet,utkast,0,0
0:34:20,vet,närkamp,0,z6
0:34:27,vet,skott,räddning,z8
0:34:33,vet,skottyp,centralt,z8
0:34:35,iks,utkast,0,0
0:34:42,iks,passning,straffområde,z2
0:34:45,iks,skott,utanför,z2
0:34:49,iks,skottyp,inlägg,z2
0:34:53,vet,utkast,0,z3
0:35:07,iks,närkamp,0,z4
0:35:16,iks,skott,räddning,z2
0:35:19,iks,skottyp,centralt,z2
0:35:21,iks,hörna,0,z1
0:35:52,iks,skott,räddning,z2
0:35:55,iks,skottyp,fast,z2
0:35:57,vet,utkast,0,0
0:36:17,vet,passning,lång,z8
0:36:20,iks,boll,0,0
0:36:29,vet,brytning,0,z2
0:36:40,vet,frislag,0,z1
0:37:10,vet,närkamp,0,z9
0:37:14,vet,frislag,0,z9
0:37:36,vet,skott,räddning,z8
0:37:40,vet,skottyp,utifrån,z8
0:37:43,vet,skott,räddning,z8
0:37:45,vet,skottyp,retur,z8
0:37:48,iks,utkast,0,z9
0:38:16,iks,skott,utanför,z2
0:38:19,iks,skottyp,utifrån,z2
0:38:20,vet,utkast,0,z3
0:38:57,iks,utkast,0,z7
0:39:29,iks,frislag,0,z1
0:40:15,vet,brytning,0,z4
0:40:29,iks,närkamp,0,z8
0:40:33,iks,utkast,0,0
0:40:44,vet,närkamp,0,z6
0:40:53,vet,passning,lång,z8
0:40:56,iks,rensning,0,z8
0:41:40,vet,frislag,0,z8
0:42:00,vet,passning,straffområde,z8
0:42:09,iks,närkamp,0,z9
0:42:21,iks,frislag,0,z9
0:42:34,iks,40,0,0
0:42:47,iks,skott,utanför,z2
0:42:51,iks,skottyp,centralt,z2
0:42:54,vet,utkast,0,z6
0:43:16,vet,utvisning,5,0
0:44:16,iks,frislag,0,z4
0:44:37,iks,40,0,0
0:44:42,iks,passning,lång,0
0:44:45,vet,utkast,0,0
0:45:21,iks,närkamp,0,z2
0:46:08,iks,passning,straffområde,z2
0:46:09,vet,rensning,0,0
0:46:14,iks,inslag,0,z4
0:46:20,iks,40,0,0
0:47:09,vet,utkast,0,0
0:47:26,iks,närkamp,0,z8
0:47:29,iks,kontring,0,0
0:47:37,vet,närkamp,0,z2
0:48:00,0,stop,0,0
