time,team,event,subevent,zone,player
0:00:00,vet,avslag,0,z5,0
0:00:06,vet,passning,lång,z9,0
0:00:15,iks,utkast,0,z2,13
0:00:35,iks,passning,lång,z5,0
0:00:40,iks,skott,utanför,z8,0
0:00:40,iks,skottyp,centralt,z8,0
0:00:50,vet,utkast,0,z8,0
0:01:00,vet,passning,lång,z6,0
0:01:10,iks,utkast,0,z2,13
0:01:27,iks,bolltapp,tappad,z5,0
0:01:31,iks,passning,straffområde,z8,0
0:01:31,iks,skott,räddning,z8,0
0:01:31,iks,skottyp,centralt,z8,0
0:01:33,iks,hörna,0,z3,0
0:01:50,iks,skott,utanför,z2,0
0:01:50,iks,skottyp,fast,z2,0
0:02:24,iks,passning,lång,z1,0
0:02:25,vet,boll,0,z8,0
0:02:35,vet,bolltapp,passförsök,z7,0
0:02:50,iks,passning,straffområde,z7,0
0:03:15,iks,passning,lång,z5,0
0:03:20,iks,offside,0,z8,0
0:03:38,vet,passning,straffområde,z1,0
0:03:40,iks,utkast,0,z2,13
0:04:12,iks,passning,lång,z5,0
0:04:14,vet,boll,0,z8,0
0:04:16,iks,närkamp,0,z7,0
0:05:04,iks,40,0,z6,40
0:05:10,iks,bolltapp,passförsök,z6,0
0:05:14,vet,hörna,0,z3,0
0:05:40,vet,skott,täckt,z2,13
0:05:40,vet,skottyp,fast,z2,13
0:05:48,iks,rensning,0,z2,0
0:06:07,vet,skott,räddning,z1,13
0:06:07,vet,skottyp,dribbling,z1,13
0:06:09,vet,mål,spelmål,z2,13
0:06:09,vet,skottyp,retur,z2,13
0:06:42,iks,avslag,0,z5,0
0:06:58,iks,bolltapp,passförsök,z2,0
0:07:04,vet,inslag,0,z6,0
0:07:20,iks,närkamp,0,z6,0
0:07:30,vet,närkamp,0,z7,0
0:08:42,iks,närkamp,0,z1,0
0:08:48,iks,passning,farlig,z5,0
0:08:48,iks,skott,räddning,z8,0
0:08:48,iks,skottyp,friställande,z8,0
0:08:50,iks,skott,räddning,z8,0
0:08:58,vet,utkast,0,z8,0
0:09:45,iks,närkamp,0,z2,0
0:10:12,iks,passning,lång,z5,0
0:10:12,vet,brytning,0,z5,0
0:10:30,vet,frislag,0,z5,0
0:11:10,vet,skott,utanför,z1,13
0:11:10,vet,skottyp,utifrån,z1,13
0:11:13,iks,utkast,0,z2,13
0:11:43,iks,passning,lång,z5,0
0:11:45,vet,utkast,0,z8,0
0:11:55,vet,bolltapp,passförsök,z6,0
0:12:14,iks,närkamp,0,z6,0
0:12:41,iks,frislag,0,z8,0
0:12:50,iks,40,0,z4,40
0:13:10,iks,frislag,0,z4,0
0:13:35,iks,frislag,0,z9,0
0:13:52,iks,passning,lång,z5,0
0:13:55,vet,boll,0,z8,0
0:14:20,vet,inslag,0,z1,0
0:14:34,iks,närkamp,0,z6,0
0:15:02,iks,passning,lång,z5,0
0:15:10,vet,utkast,0,z8,0
0:15:20,iks,närkamp,0,z5,0
0:15:23,vet,närkamp,0,z8,0
0:15:31,vet,bolltapp,passförsök,z3,0
0:15:33,iks,närkamp,0,z2,0
0:16:00,iks,närkamp,0,z5,0
0:16:15,iks,passning,lång,z5,0
0:16:20,vet,närkamp,0,z7,0
0:16:35,vet,passning,straffområde,z3,0
0:16:37,vet,skott,räddning,z2,13
0:16:37,vet,skottyp,centralt,z2,13
0:16:40,vet,skott,räddning,z2,13
0:16:40,vet,skottyp,centralt,z2,13
0:16:45,iks,boll,0,z3,0
0:16:46,vet,närkamp,0,z2,0
0:16:47,iks,närkamp,0,z2,0
0:17:44,iks,bolltapp,passförsök,z4,0
0:17:58,vet,bolltapp,tappad,z2,0
0:18:05,iks,passning,lång,z5,0
0:18:18,iks,hörna,0,z9,0
0:18:47,iks,skott,täckt,z8,0
0:18:47,iks,skottyp,fast,z8,0
0:18:53,iks,boll,0,z5,0
0:19:20,iks,passning,straffområde,z7,0
0:19:22,iks,hörna,0,z7,0
0:19:52,iks,bolltapp,passförsök,z8,0
0:19:57,iks,närkamp,0,z4,0
0:20:10,iks,bolltapp,passförsök,z2,0
0:20:18,vet,inslag,0,z3,0
0:21:18,vet,hörna,0,z1,0
0:21:57,vet,skott,utanför,z2,13
0:21:57,vet,skottyp,fast,z2,13
0:22:05,vet,utkast,0,z8,0
0:22:42,iks,passning,straffområde,z9,0
0:22:44,vet,rensning,0,z8,0
0:23:11,iks,närkamp,0,z7,0
0:23:25,iks,frislag,0,z7,0
