time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:14,iks,passning,lång,z8,0
0:00:17,eds,brytning,0,z5,0
0:00:35,eds,passning,farlig,z8,0
0:00:36,eds,skott,utanför,z8,13
0:00:36,eds,skottyp,friställande,z8,13
0:00:38,iks,utkast,0,z8,13
0:00:59,iks,närkamp,0,z6,0
0:01:02,iks,passning,lång,z5,0
0:01:08,eds,brytning,0,z5,0
0:01:10,iks,inslag,0,z6,0
0:01:45,iks,passning,straffområde,z1,0
0:01:48,eds,utkast,0,z2,0
0:02:02,iks,närkamp,0,z9,0
0:02:15,eds,närkamp,0,z2,0
0:02:24,iks,närkamp,0,z6,0
0:02:44,iks,skott,utanför,z5,0
0:02:44,iks,skottyp,utifrån,z5,0
0:02:47,eds,utkast,0,z2,0
0:03:15,eds,frislag,0,z9,0
0:03:25,eds,frislag,0,z5,0
0:03:45,iks,närkamp,0,z7,0
0:03:47,iks,utkast,0,z8,13
0:03:58,iks,passning,straffområde,z2,0
0:04:00,eds,brytning,0,z2,0
0:04:07,iks,närkamp,0,z2,0
0:04:12,iks,skott,täckt,z2,0
0:04:12,iks,skottyp,centralt,z2,0
0:04:13,eds,boll,0,z1,0
0:04:18,eds,närkamp,0,z4,0
0:04:21,eds,närkamp,0,z5,0
0:04:29,eds,frislag,0,z7,0
0:04:48,eds,passning,straffområde,z8,0
0:04:53,iks,utkast,0,z8,13
0:05:26,eds,närkamp,0,z4,0
0:05:27,iks,närkamp,0,z5,0
0:05:30,iks,bolltapp,passförsök,z5,0
0:05:34,eds,frislag,0,z5,0
0:05:59,eds,frislag,0,z5,0
0:06:17,eds,närkamp,0,z9,0
0:06:18,eds,passning,straffområde,z9,0
0:06:20,iks,brytning,0,z8,0
0:06:20,iks,utkast,0,z8,13
0:07:10,iks,närkamp,0,z7,0
0:07:33,iks,passning,lång,z5,0
0:07:35,iks,passning,straffområde,z1,0
0:07:52,iks,passning,lång,z6,0
0:07:55,eds,brytning,0,z2,0
0:08:23,eds,skott,räddning,z9,13
0:08:23,eds,skottyp,utifrån,z9,13
0:08:30,eds,skott,täckt,z8,13
0:08:30,eds,skottyp,retur,z8,13
0:08:32,iks,boll,0,z8,0
0:08:41,eds,närkamp,0,z6,0
0:08:48,eds,frislag,0,z5,0
0:09:08,iks,närkamp,0,z4,0
0:09:31,iks,frislag,0,z6,0
0:09:31,eds,utvisning,10,z6,10
0:10:07,iks,passning,lång,z5,0
0:10:09,eds,brytning,0,z5,0
0:10:14,iks,närkamp,0,z8,0
0:10:20,iks,bolltapp,passförsök,z5,0
0:10:21,iks,närkamp,0,z5,0
0:10:24,iks,passning,farlig,z2,0
0:10:25,iks,mål,spelmål,z2,17
0:10:25,iks,skottyp,friställande,z2,17
0:11:05,eds,avslag,0,z5,0
0:11:18,eds,passning,straffområde,z6,0
0:11:21,iks,rensning,0,z8,0
0:11:56,iks,närkamp,0,z9,0
0:11:58,iks,utkast,0,z8,13
0:12:11,iks,bolltapp,passförsök,z5,0
0:12:25,iks,brytning,0,z7,0
0:12:27,iks,frislag,0,z7,0
0:12:40,iks,bolltapp,tappad,z9,0
0:12:47,iks,närkamp,0,z9,0
0:12:55,eds,brytning,0,z6,0
0:13:09,eds,närkamp,0,z8,0
0:13:10,eds,offside,0,z8,0
0:13:34,iks,bolltapp,passförsök,z5,0
0:13:41,eds,frislag,0,z5,0
0:13:41,iks,utvisning,10,z5,10
0:14:18,eds,skott,räddning,z5,13
0:14:18,eds,skottyp,utifrån,z5,13
0:14:20,iks,utkast,0,z8,13
0:14:33,iks,bolltapp,passförsök,z5,0
0:14:40,eds,närkamp,0,z8,0
0:14:41,eds,passning,straffområde,z8,0
0:14:42,iks,brytning,0,z8,0
0:14:43,iks,rensning,0,z8,0
0:14:57,iks,närkamp,0,z7,0
0:14:58,iks,kontring,0,z7,0
0:15:10,iks,passning,straffområde,z1,0
0:15:12,iks,skott,utanför,z2,0
0:15:12,iks,skottyp,inlägg,z2,0
0:15:16,eds,utkast,0,z2,0
0:15:39,iks,närkamp,0,z7,0
0:15:42,iks,närkamp,0,z7,0
0:15:48,eds,brytning,0,z1,0
0:16:05,eds,närkamp,0,z7,0
0:16:05,eds,hörna,0,z7,0
0:16:35,eds,skott,täckt,z8,13
0:16:35,eds,skottyp,fast,z8,13
0:16:43,iks,utkast,0,z8,13
0:17:06,iks,närkamp,0,z1,0
0:17:07,eds,brytning,0,z1,0
0:17:12,iks,rensning,0,z5,0
0:17:15,iks,bolltapp,passförsök,z5,0
0:17:24,eds,närkamp,0,z8,0
0:17:28,eds,närkamp,0,z9,0
0:17:30,eds,passning,straffområde,z9,0
0:17:38,eds,passning,straffområde,z7,0
0:17:40,eds,skott,täckt,z8,13
0:17:40,eds,skottyp,inlägg,z8,13
0:17:43,iks,rensning,0,z8,0
