time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,0,0
0:01:08,iks,skott,täckt,z2,10
0:01:08,iks,skottyp,utifrån,z2,10
0:01:11,iks,hörna,0,z3,0
0:01:39,iks,skott,täckt,z2,10
0:01:39,iks,skottyp,fast,z2,10
0:01:47,vän,rensning,0,z1,0
0:01:50,iks,boll,0,0,0
0:02:01,iks,passning,lång,z6,0
0:02:04,vän,boll,0,0,0
0:02:13,vän,inslag,0,0,0
0:03:25,vän,skott,utanför,z8,13
0:03:25,vän,skottyp,dribbling,z8,13
0:03:55,vän,brytning,0,z4,0
0:03:59,iks,brytning,0,z4,0
0:04:03,iks,bolltapp,tappad,z2,0
0:04:06,iks,brytning,0,z5,0
0:04:15,iks,skott,täckt,z2,0
0:04:15,iks,skottyp,inlägg,z2,0
0:04:15,iks,boll,0,0,0
0:04:28,vän,brytning,0,z4,0
0:04:30,iks,utvisning,10,z4,10
0:04:30,vän,frislag,0,z4,0
0:05:32,vän,passning,lång,z5,0
0:05:35,iks,boll,0,0,0
0:05:39,iks,bolltapp,tappad,z7,0
0:05:46,vän,frislag,0,z7,0
0:06:20,vän,skott,täckt,z8,13
0:06:20,vän,skottyp,inlägg,z8,13
0:06:20,vän,hörna,0,z7,0
0:06:52,vän,skott,utanför,z8,13
0:06:52,vän,skottyp,fast,z8,13
0:07:04,iks,passning,lång,z5,0
0:07:09,vän,boll,0,0,0
0:07:34,vän,passning,lång,z3,0
0:07:36,iks,brytning,0,0,0
0:07:41,iks,närkamp,0,z8,0
0:08:03,iks,närkamp,0,z5,0
0:08:52,iks,skott,täckt,z2,0
0:08:52,iks,skottyp,inlägg,z2,0
0:08:53,vän,boll,0,0,0
0:08:56,iks,brytning,0,z2,0
0:09:00,iks,hörna,0,z3,0
0:09:30,iks,skott,utanför,z2,0
0:09:30,iks,skottyp,fast,z2,0
0:09:58,vän,bolltapp,passförsök,z8,0
0:10:08,iks,passning,lång,z5,0
0:10:10,vän,frislag,0,z8,0
0:10:56,iks,närkamp,0,z8,0
0:11:15,iks,bolltapp,passförsök,z5,0
0:11:30,vän,bolltapp,tappad,z9,0
0:11:48,vän,brytning,0,z1,0
0:12:03,iks,brytning,0,z8,0
0:12:13,iks,skott,täckt,z2,11
0:12:13,iks,skottyp,dribbling,z2,11
0:12:13,vän,boll,0,0,0
0:12:37,vän,bolltapp,passförsök,z9,0
0:13:20,iks,bolltapp,passförsök,z5,0
0:13:39,vän,frislag,0,z9,0
0:14:40,vän,bolltapp,passförsök,z7,0
0:15:13,iks,bolltapp,passförsök,z5,0
0:15:36,vän,skott,täckt,z9,13
0:15:36,vän,skottyp,utifrån,z9,13
0:15:36,iks,boll,0,0,0
0:15:59,iks,offside,0,z2,0
0:16:36,vän,mål,spelmål,z2,13
0:16:36,vän,skottyp,inlägg,z2,13
0:17:07,iks,avslag,0,0,0
0:17:18,iks,passning,lång,z5,0
0:17:24,vän,boll,0,0,0
0:18:22,vän,frislag,0,z6,0
0:18:47,vän,passning,lång,z3,0
0:18:54,vän,närkamp,0,z8,0
0:18:56,vän,mål,spelmål,z8,13
0:18:56,vän,friläge,0,z8,0
0:19:00,iks,timeout,0,0,0
0:21:07,iks,avslag,0,0,0
0:21:20,iks,passning,lång,z4,0
0:21:20,vän,boll,0,0,0
0:22:06,iks,boll,0,0,0
0:22:20,iks,bolltapp,tappad,z7,0
0:22:47,vän,skott,räddning,z7,13
0:22:47,vän,skottyp,centralt,z7,13
0:22:47,iks,boll,0,0,0
0:23:00,iks,passning,lång,z6,0
0:23:03,vän,boll,0,0,0
0:23:13,vän,bolltapp,passförsök,z7,0
0:23:36,iks,brytning,0,z1,0
0:24:01,iks,skott,räddning,z2,0
0:24:01,iks,skottyp,inlägg,z2,0
0:24:01,vän,boll,0,0,0
0:25:01,vän,skott,täckt,z8,13
0:25:01,vän,skottyp,dribbling,z8,13
0:25:01,iks,boll,0,0,0
0:25:22,vän,brytning,0,z2,0
0:25:39,vän,passning,lång,z4,0
0:25:44,iks,boll,0,0,0
0:25:49,iks,passning,lång,z8,0
0:25:53,vän,brytning,0,z2,0
0:26:07,iks,brytning,0,z9,0
0:26:27,iks,hörna,0,z3,0
0:26:55,iks,skott,räddning,z2,0
0:26:55,iks,skottyp,fast,z2,0
0:26:55,vän,boll,0,0,0
0:27:30,vän,frislag,0,z9,0
0:28:48,vän,bolltapp,tappad,z5,0
0:29:02,iks,passning,lång,z4,0
0:29:05,vän,boll,0,0,0
0:29:10,iks,boll,0,0,0
0:29:36,vän,brytning,0,z2,0
0:29:43,iks,inslag,0,z4,0
0:30:30,vän,boll,0,0,0
0:31:04,iks,brytning,0,z9,0
0:31:26,iks,frislag,0,z3,0
0:32:14,vän,brytning,0,z3,0
0:33:07,vän,bolltapp,passförsök,z6,0
0:33:22,vän,brytning,0,z1,0
0:34:18,vän,bolltapp,passförsök,z7,0
0:34:44,iks,passning,lång,z6,0
0:34:50,iks,mål,spelmål,z2,39
0:34:50,iks,friläge,0,z2,39
0:35:23,vän,avslag,0,0,0
0:36:08,iks,brytning,0,z6,0
0:36:12,iks,bolltapp,tappad,z6,0
0:36:17,vän,närkamp,0,z6,0
0:36:35,vän,mål,spelmål,z8,13
0:36:35,vän,friläge,0,z8,0
0:37:10,iks,avslag,0,0,0
0:37:39,iks,passning,lång,z5,0
0:37:46,iks,mål,spelmål,z2,0
0:37:46,iks,friläge,0,z2,0
0:38:24,vän,avslag,0,0,0
0:38:45,vän,bolltapp,passförsök,z3,0
0:38:48,iks,bolltapp,tappad,z3,0
0:38:56,vän,närkamp,0,z5,0
0:39:16,iks,brytning,0,z6,0
0:39:35,vän,brytning,0,z6,0
0:39:41,iks,brytning,0,z7,0
0:40:27,iks,bolltapp,passförsök,z8,0
0:40:36,iks,närkamp,0,z6,0
0:40:36,iks,frislag,0,z6,0
0:40:52,iks,skott,räddning,z1,0
0:40:52,iks,skottyp,utifrån,z1,0
0:40:52,vän,boll,0,0,0
0:41:17,vän,skott,räddning,z7,13
0:41:17,vän,skottyp,inlägg,z7,13
0:41:17,vän,hörna,0,z9,0
0:41:52,vän,skott,räddning,z8,13
0:41:52,vän,skottyp,fast,z8,13
0:41:52,vän,boll,0,0,0
0:43:00,iks,boll,0,0,0
0:43:17,iks,bolltapp,passförsök,z3,0
0:43:42,vän,mål,spelmål,z8,13
0:43:42,vän,skottyp,inlägg,z8,13
0:44:17,iks,avslag,0,0,0
0:44:50,iks,frislag,0,z6,0
0:45:10,vän,brytning,0,z6,0
0:45:33,vän,offside,0,z8,0
0:45:58,iks,skott,täckt,z3,0
0:45:58,iks,skottyp,centralt,z3,0
0:45:58,iks,boll,0,0,0
0:46:22,vän,brytning,0,z3,0
0:46:29,vän,passning,lång,z6,0
46:31,0,stop,0,0,0
