time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,0,0
0:00:13,iks,bolltapp,passförsök,z5,0
0:00:29,iks,närkamp,0,z6,0
0:00:37,iks,närkamp,0,z7,0
0:00:43,iks,hörna,0,z7,0
0:01:00,iks,skott,räddning,z7,40
0:01:02,iks,skottyp,fast,z7,40
0:01:10,saik,utkast,0,z8,0
0:01:20,saik,bolltapp,passförsök,z5,0
0:01:25,iks,passning,farlig,z5
0:01:30,saik,brytning,0,z8,0
0:01:32,saik,utkast,0,z8,0
0:01:40,saik,bolltapp,passförsök,z5,0
0:01:50,iks,passning,lång,z4,0
0:02:00,saik,närkamp,0,z7,0
0:02:05,iks,närkamp,0,z7,0
0:02:12,iks,bolltapp,passförsök,z6,0
0:02:20,saik,frislag,0,z2,0
0:02:40,iks,närkamp,0,z1,0
0:02:49,saik,närkamp,0,z7,0
0:02:54,iks,närkamp,0,z7,0
0:03:00,iks,passning,lång,z6,0
0:03:03,iks,skott,räddning,z8,10
0:03:05,iks,skottyp,friställande,z8,10
0:03:08,iks,hörna,0,z7,0
0:03:30,iks,skott,räddning,z7,40
0:03:32,iks,skottyp,fast,z7,40
0:03:40,saik,utkast,0,z8,0
0:04:00,saik,hörna,0,z3,0
0:04:28,iks,boll,0,0,0
0:04:30,iks,rensning,0,z3,0
0:04:55,saik,skott,utanför,z2,13
0:05:00,saik,skottyp,centralt,z2,13
0:05:02,iks,inslag,0,z1,0
0:05:20,iks,bolltapp,passförsök,z1,0
0:05:38,saik,frislag,0,z5,0
0:06:17,iks,frislag,0,z3,0
0:06:47,iks,skott,täckt,z8,0
0:06:50,iks,skottyp,centralt,z8,0
0:07:00,iks,hörna,0,z9,0
0:07:15,iks,skott,utanför,z9,2
0:07:20,iks,skottyp,fast,z9,2
0:07:30,saik,utkast,0,z8,0
0:08:00,iks,närkamp,0,z3,0
0:08:13,iks,närkamp,0,z1,0
0:08:30,iks,inslag,0,z6,0
0:09:00,saik,brytning,0,z8,0
0:09:09,saik,inslag,0,z5,0
0:09:25,iks,närkamp,0,z2,0
0:09:30,iks,utkast,0,z2,13
0:09:37,iks,passning,straffområde,z9,0
0:09:48,iks,mål,spelmål,z8,20
0:09:55,iks,skottyp,inlägg,z8,20
0:10:20,saik,avslag,0,z5,0
0:10:47,iks,närkamp,0,z1,0
0:11:04,iks,närkamp,0,z3,0
0:11:09,iks,utkast,z2,13,0
0:11:46,saik,inslag,0,z3,0
0:12:35,saik,passning,straffområde,z1,0
0:12:42,iks,brytning,0,z2,0
0:12:45,iks,utkast,z2,13,0
0:12:59,saik,närkamp,0,z5,0
0:13:32,saik,frislag,0,z4,0
0:13:58,iks,närkamp,0,z3,0
0:14:01,iks,närkamp,0,z6,0
0:14:12,saik,närkamp,0,z9,0
0:14:30,iks,utvisning,10,z6,0
0:15:30,saik,frislag,0,z9,0
0:16:01,iks,utvisning,10,z3,0
0:16:32,saik,frislag,0,z3,0
0:16:52,iks,närkamp,0,z2,0
0:16:54,saik,närkamp,0,z2,0
0:16:59,saik,skott,täckt,z2,13
0:17:00,saik,skottyp,centralt,z2,13
0:17:03,saik,mål,spelmål,z2,13
0:17:10,saik,skottyp,centralt,z2,13
0:17:14,iks,avslag,0,z5,0
0:17:30,saik,närkamp,0,z4,0
0:17:36,iks,närkamp,0,z1,0
0:17:40,saik,närkamp,0,z7,0
0:17:48,saik,skott,täckt,z8,13
0:17:52,saik,skottyp,utifrån,z8,13
0:18:00,saik,hörna,0,z1,0
0:18:16,saik,skott,utanför,z1,13
0:18:20,saik,skottyp,fast,z1,13
0:18:31,iks,utkast,0,z2,13
0:18:34,saik,närkamp,0,z3,0
0:18:36,iks,närkamp,0,z3,0
0:18:39,iks,rensning,0,z3,0
0:19:01,saik,passning,straffområde,z3,0
0:19:03,iks,brytning,0,z2,0
0:19:04,iks,rensning,0,z2,0
0:19:36,saik,skott,utanför,z2,13
0:19:40,saik,skottyp,friställande,z2,13
0:19:44,iks,utkast,z2,13,0
0:20:11,iks,närkamp,0,z5,0
0:20:22,saik,utkast,0,z8,0
0:20:41,iks,närkamp,0,z2,0
0:20:51,iks,närkamp,0,z1,0
0:21:09,iks,skott,täckt,z8,88
0:21:11,iks,skottyp,utifrån,z8,88
0:21:22,iks,närkamp,0,z9,0
0:21:27,iks,skott,utanför,z8,97
0:21:30,iks,skottyp,utifrån,z8,97
0:21:38,saik,utkast,0,z8,0
0:21:47,saik,bolltapp,tappad,z8,0
0:22:12,iks,skott,utanför,z8,39
0:22:14,iks,skottyp,friställande,z8,39
0:22:18,saik,utkast,0,z8,0
0:22:29,saik,passning,straffområde,z1,0
0:22:31,iks,brytning,0,z2,0
0:22:33,iks,rensning,0,z2,0
0:23:01,saik,mål,spelmål,z2,13
0:23:09,saik,skottyp,dribbling,z8,13
0:23:30,iks,avslag,0,z5,0
0:23:55,iks,inslag,0,z7,0
0:24:22,iks,närkamp,0,z4,0
0:24:35,iks,frislag,0,z7,0
0:25:21,iks,mål,spelmål,z8,61
0:25:23,iks,skottyp,utifrån,z8,61
0:26:12,saik,avslag,0,z5,0
0:26:34,iks,närkamp,0,z2,0
0:26:39,iks,rensning,0,z2,0
0:27:46,iks,närkamp,0,z5,0
0:27:52,saik,närkamp,0,z5,0
0:27:59,saik,bolltapp,0,passförsök,z7
0:28:02,iks,utkast,0,z2,13
0:28:12,iks,skott,räddning,z8,10
0:28:15,iks,skottyp,centralt,z8,10
0:28:22,iks,hörna,0,z7,0
0:28:45,iks,skott,täckt,z7,10
0:28:47,iks,skottyp,fast,z7,10
0:28:52,saik,utkast,0,z8,0
0:29:00,saik,passning,0,lång,z7
0:29:03,iks,brytning,0,z2,0
0:29:16,iks,passning,lång,z6,0
0:29:23,saik,brytning,0,z8,0
0:29:25,saik,utkast,0,z8,0
0:29:32,saik,skott,räddning,z2,13
0:29:35,saik,skottyp,centralt,z2,13
0:29:37,iks,rensning,0,z2,0
0:29:51,saik,passning,straffområde,z3,0
0:29:53,iks,brytning,0,z2,0
0:29:58,iks,frislag,0,z3,0
0:30:10,iks,passning,lång,z3,0
0:30:21,iks,närkamp,0,z5,0
0:30:25,iks,bolltapp,passförsök,z6,0
0:30:30,saik,frislag,0,z6,0
0:30:52,saik,utkast,0,z8,0
0:31:02,saik,hörna,0,z1,0
0:31:31,saik,skott,täckt,z1,13
0:31:33,saik,skottyp,fast,z1,13
0:31:39,iks,kontring,0,z2,0
0:31:46,iks,mål,spelmål,z8,10
0:31:49,iks,skottyp,dribbling,z8,10
0:32:22,saik,avslag,0,z5,0
0:32:45,saik,frislag,0,z4,0
0:33:03,iks,närkamp,0,z6,0
0:33:06,saik,närkamp,0,z6,0
0:33:13,saik,mål,spelmål,z2,13
0:33:16,saik,skottyp,centralt,z2,13
0:33:42,iks,avslag,0,z5,0
0:33:44,iks,passning,lång,z1,0
0:33:49,saik,brytning,0,z8,0
0:34:00,saik,närkamp,0,z1,0
0:34:11,saik,passning,straffområde,z1,0
0:34:12,iks,brytning,0,z2,0
0:34:25,iks,skott,täckt,z8,39
0:34:28,iks,skottyp,utifrån,z8,39
0:34:48,iks,bolltapp,tappad,z5,0
0:34:54,iks,närkamp,0,z5,0
0:34:57,saik,närkamp,0,z5,0
0:35:02,saik,skott,utanför,z2,13
0:35:06,saik,skottyp,utifrån,z2,13
0:35:12,iks,utkast,0,z3,13
0:35:22,saik,närkamp,0,z4,0
0:35:31,iks,närkamp,0,z5,0
0:35:51,iks,närkamp,0,z9,0
0:35:58,saik,rensning,0,z9,0
0:36:27,iks,passning,lång,z5,0
0:36:32,saik,utkast,0,z8,0
0:36:42,iks,brytning,0,z5,0
0:36:46,iks,bolltapp,passförsök,z5,0
0:36:51,iks,närkamp,0,z2,0
0:36:54,iks,närkamp,0,z2,0
0:37:02,iks,bolltapp,passförsök,z5,0
0:37:16,saik,skott,räddning,z2,13
0:37:20,saik,skottyp,utifrån,z2,13
0:37:25,iks,utkast,0,z2,0
0:37:30,iks,bolltapp,passförsök,z5,0
0:37:42,iks,närkamp,0,z3,0
0:38:04,iks,skott,utanför,z7,6
0:38:06,iks,skottyp,utifrån,z7,6
0:38:10,saik,utkast,0,z8,0
0:38:19,saik,frislag,0,z5,0
0:39:07,saik,skott,räddning,z2,13
0:39:10,saik,skottyp,utifrån,z2,13
0:39:13,saik,hörna,0,z1,0
0:39:30,saik,skott,utanför,z1,13
0:39:35,saik,skottyp,fast,z1,13
0:39:45,iks,utkast,0,z2,13
0:39:46,iks,passning,lång,z2,0
0:39:50,saik,brytning,0,z5,0
0:39:55,iks,närkamp,0,z5,0
0:40:02,iks,frislag,0,z7,0
0:40:26,iks,passning,lång,z7,0
0:40:27,saik,brytning,0,z8,0
0:40:33,saik,utkast,0,z8,0
0:40:45,iks,närkamp,0,z5,0
0:40:55,saik,utvisning,10,z9,0
0:41:40,iks,frislag,0,z9,0
0:41:46,iks,skott,räddning,z8,10
0:41:48,iks,skottyp,utifrån,z8,10
0:41:55,iks,hörna,z9,0,0
0:42:17,iks,skott,utanför,z9,97
0:42:20,iks,skottyp,fast,z9,97
0:42:21,saik,utkast,0,z8,0
0:42:34,iks,närkamp,0,z1,0
0:42:50,saik,närkamp,0,z8,0
0:43:03,iks,närkamp,0,z5,0
0:43:15,iks,bolltapp,0,passförsök,z4
0:43:17,saik,utkast,0,z8,0
0:43:36,iks,utvisning,10,z8,0
0:44:01,saik,frislag,0,z8,0
0:44:40,saik,skott,utanför,z2,13
0:44:41,saik,skottyp,centralt,z2,13
0:44:51,iks,utkast,0,z2,0
0:44:52,iks,passning,lång,z2,0
0:45:00,iks,skott,räddning,z8,20
0:45:01,iks,skottyp,utifrån,z8,20
0:45:08,saik,utkast,0,z8,0
0:45:13,iks,brytning,0,z2,0
0:45:20,saik,närkamp,0,z4,0
0:45:25,saik,inslag,0,z1,0
0:45:37,saik,passning,lång,z1,0
0:45:42,iks,brytning,0,z2,0
0:45:57,iks,utkast,0,z2,13
0:45:58,iks,passning,0,lång,z2
0:46:10,saik,brytning,0,z8,0
0:46:15,iks,inslag,0,z1,0
0:46:39,iks,passning,lång,z1,0
0:46:50,saik,utkast,0,z8,0
0:46:51,saik,passning,0,lång,z8
0:47:08,iks,utkast,z2,13,0
0:47:09,iks,passning,lång,z2,0
0:47:11,0,stop,0,0,0
