time,team,event,subevent,zone,player
0:00:00,gri,avslag,0,z5,0
0:00:04,gri,passning,lång,z9,0
0:00:15,iks,brytning,0,z3,0
0:00:22,iks,bolltapp,passförsök,z5,0
0:00:27,gri,skott,utanför,z5,0
0:00:27,gri,skottyp,utifrån,z5,0
0:00:29,iks,utkast,0,z2,0
0:00:48,iks,bolltapp,tappad,z9,0
0:00:49,gri,utkast,0,z8,0
0:01:05,gri,passning,straffområde,z1,0
0:01:10,iks,utkast,0,z2,0
0:01:42,iks,passning,lång,z6,0
0:01:48,gri,brytning,0,z8,0
0:01:50,iks,boll,0,z7,0
0:01:52,gri,närkamp,0,z4,0
0:02:00,iks,brytning,0,z2,0
0:02:05,gri,närkamp,0,z2,0
0:02:12,gri,passning,straffområde,z3,0
0:02:14,iks,brytning,0,z2,0
0:02:14,gri,hörna,0,z1,0
0:02:42,gri,skott,täckt,z2,0
0:02:42,gri,skottyp,fast,z2,0
0:02:45,gri,skott,räddning,z2,0
0:02:45,gri,skottyp,retur,z2,0
0:02:50,iks,rensning,0,z2,0
0:02:54,gri,passning,lång,z6,0
0:02:56,iks,brytning,0,z3,0
0:03:08,gri,utkast,0,z8,0
0:03:20,gri,närkamp,0,z4,0
0:03:24,gri,passning,straffområde,z1,0
0:03:26,gri,mål,spelmål,z2,0
0:03:26,gri,skottyp,inlägg,z2,0
0:03:55,iks,avslag,0,z5,0
0:04:15,iks,skott,räddning,z8,0
0:04:15,iks,skottyp,utifrån,z8,0
0:04:17,iks,offside,0,z8,0
0:04:32,gri,närkamp,0,z4,0
0:04:36,iks,närkamp,0,z4,0
0:04:44,iks,bolltapp,tappad,z4,0
0:04:50,iks,brytning,0,z5,0
0:04:52,gri,skott,täckt,z2,0
0:04:52,gri,skottyp,utifrån,z2,0
0:04:53,gri,hörna,0,z3,0
0:05:32,gri,skott,täckt,z2,0
0:05:32,gri,skottyp,fast,z2,0
0:05:38,iks,utkast,0,z2,0
0:06:38,gri,närkamp,0,z8,0
0:06:45,gri,bolltapp,passförsök,z5,0
0:07:00,iks,närkamp,0,z9,0
0:07:01,iks,hörna,0,z9,0
0:07:30,iks,skott,täckt,z8,0
0:07:30,iks,skottyp,fast,z8,0
0:07:38,gri,utkast,0,z8,0
0:07:44,gri,bolltapp,tappad,z7,0
0:08:00,gri,brytning,0,z7,0
0:08:00,iks,hörna,0,z7,0
0:08:30,iks,skott,täckt,z8,0
0:08:30,iks,skottyp,fast,z8,0
0:08:33,gri,kontring,0,z8,0
0:08:40,gri,skott,räddning,z2,0
0:08:40,gri,skottyp,dribbling,z2,0
0:08:42,gri,friläge,0,z2,0
0:08:44,iks,boll,0,z2,0
0:08:55,gri,närkamp,0,z8,0
0:09:13,iks,närkamp,0,z2,0
0:09:14,iks,utkast,0,z2,0
0:09:23,iks,frislag,0,z6,0
0:09:50,iks,frislag,0,z9,0
0:10:08,iks,passning,straffområde,z9,0
0:10:11,gri,brytning,0,z8,0
0:10:12,gri,utkast,0,z8,0
0:10:20,gri,passning,lång,z6,0
0:10:28,gri,frislag,0,z2,0
0:10:37,gri,passning,farlig,z2,0
0:10:38,iks,närkamp,0,z3,0
0:10:46,iks,frislag,0,z4,0
0:10:51,iks,passning,lång,z6,0
0:10:53,gri,utkast,0,z8,0
0:11:05,gri,passning,lång,z5,0
0:11:06,iks,brytning,0,z2,0
0:11:16,iks,frislag,0,z5,0
0:11:48,iks,hörna,0,z9,0
0:12:14,iks,skott,räddning,z8,0
0:12:14,iks,skottyp,fast,z8,0
0:12:24,iks,skott,täckt,z8,0
0:12:24,iks,skottyp,retur,z8,0
0:12:25,iks,skott,utanför,z8,0
0:12:25,iks,skottyp,retur,z8,0
0:12:27,gri,utkast,0,z8,0
0:12:53,iks,närkamp,0,z5,0
0:13:20,iks,passning,farlig,z8,0
0:13:22,iks,skott,räddning,z8,0
0:13:22,iks,skottyp,friställande,z8,0
0:13:29,gri,närkamp,0,z9,0
0:13:42,iks,brytning,0,z3,0
0:13:45,iks,rensning,0,z3,0
0:13:48,gri,inslag,0,z3,0
0:14:20,iks,frislag,0,z4,0
0:14:40,iks,närkamp,0,z5,0
0:14:48,iks,skott,räddning,z8,0
0:14:48,iks,skottyp,utifrån,z8,0
0:14:50,iks,hörna,0,z9,0
0:15:15,iks,skott,utanför,z8,0
0:15:15,iks,skottyp,fast,z8,0
0:15:35,gri,utkast,0,z8,0
0:15:43,gri,inslag,0,z6,0
0:15:58,gri,passning,lång,z5,0
0:16:03,gri,skott,täckt,z2,0
0:16:03,gri,skottyp,inlägg,z2,0
0:16:04,gri,hörna,0,z3,0
0:16:30,gri,skott,utanför,z2,0
0:16:30,gri,skottyp,fast,z2,0
0:16:41,iks,utkast,0,z2,0
0:16:55,iks,bolltapp,passförsök,z5,0
0:16:58,gri,utkast,0,z8,0
0:17:15,gri,hörna,0,z1,0
0:17:45,gri,skott,utanför,z2,0
0:17:45,gri,skottyp,fast,z2,0
0:17:55,iks,utkast,0,z2,0
0:18:14,iks,skott,utanför,z7,0
0:18:14,iks,skottyp,utifrån,z7,0
0:18:15,gri,utkast,0,z8,0
0:18:16,gri,passning,lång,z8,0
0:18:24,iks,utkast,0,z2,0
0:18:35,iks,närkamp,0,z9,0
0:19:38,gri,brytning,0,z5,0
0:19:44,iks,brytning,0,z2,0
0:20:03,gri,närkamp,0,z5,0
