time,team,event,subevent,zone,player
0:45:00,iks,avslag,0,0,0
0:45:24,iks,passning,lång,z5,0
0:45:27,gri,boll,0,0,0
0:45:34,gri,passning,lång,z3,0
0:45:40,iks,boll,0,0,0
0:45:49,iks,passning,lång,z8,0
0:45:52,gri,boll,0,0,0
0:46:04,iks,brytning,0,z9,0
0:46:20,iks,närkamp,0,z1,0
0:46:21,iks,frislag,0,z1,0
0:46:46,iks,hörna,0,z1,0
0:47:17,iks,mål,hörnmål,z2,97
0:47:17,iks,skottyp,fast,z2,97
0:47:45,gri,avslag,0,0,0
0:47:53,gri,passning,lång,z6,0
0:47:56,iks,frislag,0,z9,0
0:48:27,iks,bolltapp,tappad,z1,0
0:48:33,iks,boll,0,0,0
0:49:15,gri,boll,0,0,0
0:49:23,iks,brytning,0,z4,0
0:49:31,gri,brytning,0,z1,0
0:49:41,iks,brytning,0,z4,0
0:49:46,gri,närkamp,0,z4,0
0:49:56,iks,frislag,0,z8,0
0:50:20,gri,timeout,0,0,0
0:51:54,iks,passning,lång,z9,0
0:52:00,gri,boll,0,0,0
0:52:02,iks,närkamp,0,z6,0
0:52:06,iks,passning,lång,z5,0
0:52:07,gri,boll,0,0,0
0:52:22,gri,bolltapp,passförsök,z9,0
0:52:40,iks,passning,lång,z6,0
0:52:47,iks,hörna,0,z1,0
0:53:15,iks,mål,hörnmål,z2,97
0:53:15,iks,skottyp,fast,z2,97
0:53:58,gri,avslag,0,0,0
0:54:25,gri,passning,lång,z1,0
0:54:34,gri,skott,utanför,z8,0
0:54:34,gri,skottyp,utifrån,z8,0
0:54:34,iks,boll,0,0,0
0:54:46,iks,passning,lång,z4,0
0:54:50,gri,boll,0,0,0
0:55:02,gri,passning,lång,z6,0
0:55:05,iks,rensning,0,z8,0
0:55:08,gri,passning,lång,z4,0
0:55:13,gri,skott,täckt,z8,0
0:55:13,gri,skottyp,centralt,z2,0
0:55:13,gri,boll,0,0,0
0:55:20,iks,närkamp,0,z7,0
0:55:37,gri,boll,0,0,0
0:55:51,iks,brytning,0,z4,0
0:55:56,iks,frislag,0,z4,0
0:56:41,iks,passning,lång,z4,0
0:57:00,iks,passning,lång,z4,0
0:57:06,gri,frislag,0,z2,0
0:57:09,gri,passning,lång,z4,0
0:57:16,gri,närkamp,0,z7,0
0:57:25,iks,närkamp,0,z7,0
0:57:33,iks,bolltapp,passförsök,z5,0
0:57:44,iks,närkamp,0,z7,0
0:57:54,gri,inslag,0,z4,0
0:58:08,gri,skott,räddning,z8,0
0:58:08,gri,skottyp,inlägg,z8,0
0:58:08,iks,boll,0,0,0
0:58:23,gri,boll,0,0,0
0:58:36,iks,närkamp,0,z8,0
0:58:36,iks,passning,lång,z8,0
0:58:42,gri,boll,0,0,0
0:58:45,gri,passning,lång,z5,0
0:58:47,iks,boll,0,0,0
0:58:52,iks,passning,lång,z7,0
0:58:55,iks,bolltapp,tappad,z4,0
0:59:04,gri,skott,räddning,z9,0
0:59:04,gri,skottyp,utifrån,z9,0
0:59:04,iks,boll,0,0,0
0:59:16,iks,bolltapp,passförsök,z6,0
0:59:21,gri,passning,lång,z6,0
0:59:27,gri,frislag,0,z5,0
0:59:52,gri,passning,lång,z9,0
0:59:56,iks,boll,0,0,0
1:00:11,iks,hörna,0,z3,0
1:00:40,iks,skott,täckt,z2,0
1:00:40,iks,skottyp,fast,z2,0
