time,team,event,subevent,zone
0:00:00,villa,avslag,0,0
0:00:19,villa,frislag,0,z9
0:01:13,villa,passning,lång,z8
0:01:20,villa,mål,spelmål,z8
0:01:29,villa,skottyp,friställande,z8
0:01:51,sirius,avslag,0,0
0:02:07,villa,närkamp,0,z7
0:02:09,sirius,närkamp,0,z7
0:02:18,sirius,skott,räddning,z3
0:02:23,sirius,skottyp,utifrån,z3
0:02:26,sirius,skott,räddning,z2
0:02:29,sirius,skottyp,retur,z2
0:02:31,sirius,boll,0,0
0:02:36,sirius,närkamp,0,z6
0:02:43,villa,närkamp,0,z4
0:03:10,villa,passning,straffområde,z8
0:03:16,villa,hörna,0,z7
0:03:30,villa,skott,räddning,z8
0:03:34,villa,skottyp,fast,z8
0:03:37,villa,boll,0,0
0:03:59,sirius,närkamp,0,z8
0:04:06,villa,närkamp,0,z2
0:04:35,villa,närkamp,0,z5
0:04:59,villa,skott,utanför,z9
0:05:04,villa,skottyp,utifrån,z9
0:05:06,sirius,utkast,0,0
0:05:16,sirius,skott,räddning,z2
0:05:20,sirius,skottyp,utifrån,z2
0:05:22,sirius,skott,räddning,z2
0:05:26,sirius,skottyp,retur,z2
0:05:28,sirius,hörna,0,z3
0:05:52,sirius,skott,täckt,z2
0:05:55,sirius,skottyp,fast,z2
0:05:57,villa,utkast,0,z2
0:06:19,villa,närkamp,0,z9
0:06:36,villa,skott,räddning,z8
0:06:43,villa,skottyp,centralt,z8
0:06:47,villa,hörna,0,z9
0:07:09,villa,mål,hörnmål,z8
0:07:13,villa,skottyp,fast,z8
0:07:42,sirius,avslag,0,z5
0:07:52,sirius,passning,lång,z2
0:07:56,villa,utkast,0,z2
0:08:20,villa,bolltapp,passförsök,z8
0:08:25,sirius,utkast,0,z8
0:08:41,villa,närkamp,0,z5
0:09:01,sirius,inslag,0,z7
0:09:25,villa,närkamp,0,z5
0:09:54,sirius,närkamp,0,z6
0:10:42,sirius,skott,utanför,z2
0:10:46,sirius,skottyp,utifrån,z2
0:10:47,villa,utkast,0,0
0:10:57,villa,passning,lång,z8
0:11:02,villa,skott,räddning,z8
0:11:10,villa,skottyp,utifrån,z8
0:11:12,sirius,utkast,0,0
0:11:25,sirius,passning,straffområde,z2
0:11:28,villa,brytning,0,z2
0:11:33,sirius,närkamp,0,z6
0:12:26,sirius,närkamp,0,z4
0:12:59,villa,brytning,0,z3
0:13:31,villa,passning,straffområde,z2
0:13:35,villa,skott,täckt,z2
0:13:40,villa,skottyp,utifrån,z2
0:13:42,villa,boll,0,0
0:14:30,villa,passning,straffområde,z8
0:14:36,sirius,brytning,0,z8
0:14:39,sirius,rensning,0,0
0:14:47,villa,inslag,0,z4
0:15:05,villa,skott,räddning,z8
0:15:10,villa,skottyp,centralt,z8
0:15:14,villa,hörna,0,z7
0:15:36,villa,skott,täckt,z8
0:15:42,villa,skottyp,fast,z8
0:15:49,villa,skott,täckt,z8
0:15:55,villa,skottyp,retur,z8
0:15:57,villa,boll,0,0
0:16:19,sirius,brytning,0,z5
0:16:32,sirius,frislag,0,z2
0:17:25,sirius,närkamp,0,z5
0:17:46,sirius,närkamp,0,z7
0:18:11,sirius,frislag,0,z4
0:19:15,villa,brytning,0,z2
0:19:20,sirius,närkamp,0,z4
0:19:30,sirius,passning,lång,0
0:19:32,sirius,offside,0,0
0:19:36,villa,boll,0,0
0:19:57,villa,skott,utanför,z8
0:20:00,villa,skottyp,centralt,z8
0:20:04,sirius,utkast,0,z8
0:20:32,sirius,skott,räddning,z2
0:20:36,sirius,skottyp,utifrån,z2
0:20:38,villa,utkast,0,z1
0:21:07,villa,skott,räddning,z8
0:21:15,villa,skottyp,utifrån,z8
0:21:18,villa,hörna,0,z9
0:21:39,villa,skott,räddning,z8
0:21:44,villa,skottyp,fast,z8
0:21:47,sirius,utkast,0,z7
0:22:08,villa,närkamp,0,z5
0:22:11,villa,frislag,0,z4
0:22:52,villa,skott,räddning,z8
0:23:03,villa,skottyp,utifrån,z8
0:23:05,villa,hörna,0,z7
0:23:23,villa,skott,utanför,z8
0:23:26,villa,skottyp,fast,z8
0:23:33,sirius,utkast,0,z9
0:24:03,sirius,närkamp,0,z8
0:24:07,villa,närkamp,0,z4
0:24:15,sirius,brytning,0,z8
0:24:19,villa,närkamp,0,z7
0:24:27,villa,frislag,0,z7
0:25:13,villa,bolltapp,passförsök,z5
0:25:24,sirius,skott,räddning,z2
0:25:29,sirius,skottyp,utifrån,z2
0:25:31,villa,utkast,0,0
0:26:46,villa,passning,lång,z8
0:26:49,sirius,utkast,0,z9
0:27:22,sirius,passning,lång,z3
0:27:26,villa,utkast,0,z3
0:28:06,sirius,brytning,0,z8
0:28:10,sirius,rensning,0,z8
0:28:11,villa,boll,0,0
0:28:41,sirius,utkast,0,z5
0:29:17,sirius,närkamp,0,z5
0:29:33,villa,närkamp,0,z5
0:29:36,sirius,frislag,0,z4
0:29:49,sirius,skott,räddning,z2
0:29:55,sirius,skottyp,utifrån,z2
0:29:58,villa,utkast,0,z3
0:30:15,villa,skott,räddning,z8
0:30:19,villa,skottyp,centralt,z8
0:30:23,villa,boll,0,0
0:30:43,sirius,närkamp,0,z6
0:30:59,sirius,passning,straffområde,z2
0:31:06,villa,boll,0,0
0:31:16,villa,skott,räddning,z5
0:31:23,villa,skottyp,utifrån,z8
0:31:26,sirius,utkast,0,0
0:32:02,villa,brytning,0,z6
