time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z8
0:00:21,sirius,passning,straffområde,z2
0:00:27,hammarby,utkast,0,0
0:00:38,hammarby,skott,räddning,z9
0:00:44,hammarby,skottyp,utifrån,z9
0:00:48,hammarby,hörna,0,z7
0:01:05,hammarby,skott,täckt,z8
0:01:10,hammarby,skottyp,fast,z8
0:01:13,sirius,rensning,0,0
0:01:20,sirius,utkast,0,z8
0:01:28,hammarby,brytning,0,z5
0:01:39,hammarby,passning,lång,z8
0:01:42,sirius,utkast,0,0
0:02:09,hammarby,närkamp,0,z6
0:02:18,hammarby,närkamp,0,z6
0:03:27,hammarby,frislag,0,z9
0:04:10,hammarby,bolltapp,passförsök,z7
0:04:13,sirius,utkast,0,z8
0:04:42,hammarby,närkamp,0,z3
0:04:46,hammarby,inslag,0,z3
0:04:53,sirius,närkamp,0,z5
0:05:06,sirius,närkamp,0,z6
0:05:11,sirius,frislag,0,z5
0:05:40,sirius,skott,täckt,z2
0:05:46,sirius,skottyp,utifrån,z2
0:05:50,hammarby,boll,0,0
0:05:54,sirius,närkamp,0,z4
0:06:08,sirius,skott,räddning,z3
0:06:12,sirius,skottyp,utifrån,z3
0:06:14,hammarby,boll,0,0
0:06:22,sirius,närkamp,0,z7
0:06:30,sirius,bolltapp,passförsök,z4
0:06:37,hammarby,utkast,0,z2
0:06:55,sirius,brytning,0,z8
0:07:09,hammarby,närkamp,0,z2
0:07:46,hammarby,passning,lång,z8
0:07:50,sirius,utkast,0,z7
0:08:01,sirius,närkamp,0,z5
0:08:17,hammarby,närkamp,0,z3
0:08:30,hammarby,passning,lång,z8
0:08:34,sirius,utkast,0,z7
0:08:48,hammarby,närkamp,0,z6
0:09:01,hammarby,skott,utanför,z8
0:09:05,hammarby,skottyp,utifrån,z8
0:09:08,sirius,utkast,0,z7
0:09:39,hammarby,brytning,0,z5
0:09:57,hammarby,passning,straffområde,z8
0:10:01,hammarby,boll,0,z7
0:10:17,hammarby,passning,lång,0
0:10:22,sirius,brytning,0,z4
0:10:50,sirius,passning,lång,z2
0:10:57,sirius,skott,räddning,z2
0:11:06,sirius,skottyp,friställande,0
0:11:11,sirius,skott,räddning,z2
0:11:14,sirius,skottyp,retur,z2
0:11:17,sirius,hörna,0,z3
0:11:26,sirius,skott,täckt,z2
0:11:31,sirius,skottyp,fast,z2
0:11:35,sirius,närkamp,0,z4
0:11:49,hammarby,närkamp,0,z4
0:12:03,hammarby,passning,straffområde,z8
0:12:07,sirius,boll,0,0
0:12:20,sirius,hörna,0,z3
0:12:42,sirius,skott,täckt,z2
0:12:45,sirius,skottyp,fast,z2
0:12:50,sirius,boll,0,0
0:13:29,sirius,passning,straffområde,z2
0:13:32,hammarby,rensning,0,0
0:13:37,hammarby,boll,0,0
0:13:45,hammarby,skott,utanför,z7
0:13:49,hammarby,skottyp,utifrån,z7
0:13:51,sirius,utkast,0,0
0:14:21,hammarby,närkamp,0,z3
0:14:33,sirius,närkamp,0,z8
0:14:57,hammarby,brytning,0,z6
0:15:07,hammarby,skott,täckt,z8
0:15:13,hammarby,skottyp,utifrån,z8
0:15:19,hammarby,hörna,0,z9
0:15:33,hammarby,skott,täckt,z8
0:15:38,hammarby,skottyp,fast,z8
0:15:46,sirius,boll,0,0
0:15:50,hammarby,närkamp,0,z5
0:16:26,hammarby,passning,straffområde,z7
0:16:32,sirius,närkamp,0,z9
0:16:35,sirius,frislag,0,z9
0:17:16,sirius,passning,straffområde,z3
0:17:21,hammarby,boll,0,z1
0:17:29,hammarby,passning,lång,z5
0:17:35,sirius,brytning,0,z5
0:17:41,sirius,passning,straffområde,z2
0:17:46,sirius,skott,täckt,z2
0:17:52,sirius,skottyp,inlägg,z2
0:17:54,sirius,hörna,0,z3
0:18:07,sirius,skott,räddning,z2
0:18:12,sirius,skottyp,fast,z2
0:18:15,sirius,boll,0,0
0:18:30,sirius,bolltapp,passförsök,z4
0:18:39,hammarby,passning,straffområde,z8
0:18:42,sirius,brytning,0,z8
0:19:08,sirius,passning,lång,z2
0:19:14,sirius,offside,0,z3
0:19:29,hammarby,passning,lång,z8
0:19:33,hammarby,skott,utanför,z8
0:19:37,hammarby,skottyp,utifrån,z8
0:19:39,sirius,utkast,0,0
0:20:54,hammarby,närkamp,0,z3
0:21:08,0,timeout,0,0
0:21:48,hammarby,frislag,0,z6
0:22:10,hammarby,bolltapp,passförsök,z9
0:22:27,hammarby,inslag,0,z9
0:22:34,sirius,inslag,0,z7
0:22:59,sirius,skott,utanför,z2
0:23:04,sirius,skottyp,utifrån,z2
0:23:07,hammarby,utkast,0,0
0:24:10,sirius,brytning,0,z8
0:24:17,sirius,utkast,0,0
0:25:00,hammarby,närkamp,0,z6
0:25:39,hammarby,passning,lång,z8
0:25:43,hammarby,skott,utanför,z8
0:25:47,hammarby,skottyp,utifrån,z8
0:25:49,sirius,utkast,0,0
0:26:16,sirius,passning,lång,z2
0:26:21,hammarby,närkamp,0,z2
0:26:31,hammarby,passning,lång,z8
0:26:34,hammarby,offside,0,z8
0:26:39,sirius,boll,0,0
0:26:46,sirius,timeout,0,0
0:28:32,sirius,boll,0,z8
0:28:56,sirius,passning,straffområde,z2
0:29:01,hammarby,utkast,0,z6
0:29:10,sirius,brytning,0,z5
0:29:18,hammarby,frislag,0,z5
0:29:27,sirius,närkamp,0,z5
0:29:50,sirius,passning,straffområde,z2
0:29:52,sirius,boll,0,z3
0:30:10,sirius,offside,0,z3
0:30:14,hammarby,boll,0,0
0:30:26,sirius,närkamp,0,z5
0:30:39,sirius,hörna,0,z1
0:31:05,sirius,skott,utanför,z2
0:31:10,sirius,skottyp,fast,z2
0:31:12,0,timeout,0,0
0:31:32,hammarby,utkast,0,0
0:31:42,sirius,närkamp,0,z6
0:31:46,sirius,frislag,0,z6
0:32:35,hammarby,närkamp,0,z2
0:32:37,sirius,närkamp,0,z1
0:33:11,hammarby,närkamp,0,z5
0:33:20,hammarby,skott,utanför,z8
