time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:10,sirius,40,0,z2
0:00:45,sirius,40,0,z2
0:00:59,sirius,frislag,0,z9
0:01:40,sirius,40,0,z2
0:02:02,frillesås,utkast,0,z9
0:02:23,sirius,utkast,0,z3
0:02:38,sirius,40,0,z2
0:02:54,sirius,40,0,z2
0:03:11,sirius,skott,räddning,z8
0:03:16,sirius,skottyp,centralt,z8
0:03:20,sirius,hörna,0,z7
0:03:50,sirius,skott,täckt,z8
0:03:54,sirius,skottyp,fast,z8
0:04:13,frillesås,inslag,0,z7
0:04:24,frillesås,bolltapp,passförsök,z6
0:04:43,sirius,närkamp,0,z7
0:04:46,sirius,hörna,0,z7
0:05:08,sirius,skott,utanför,z8
0:05:13,sirius,skottyp,fast,z8
0:05:15,frillesås,utkast,0,0
0:06:16,sirius,närkamp,0,z1
0:06:23,frillesås,närkamp,0,z4
0:06:29,frillesås,passning,straffområde,z2
0:06:38,sirius,rensning,0,0
0:06:59,frillesås,närkamp,0,z6
0:07:22,frillesås,frislag,0,z3
0:07:45,frillesås,passning,straffområde,z2
0:07:50,sirius,utkast,0,z1
0:08:14,frillesås,brytning,0,z8
0:08:55,frillesås,passning,straffområde,z2
0:09:01,sirius,rensning,0,0
0:09:06,frillesås,inslag,0,z6
0:09:29,frillesås,inslag,0,z4
0:09:42,sirius,närkamp,0,z2
0:09:47,frillesås,boll,0,z4
0:09:59,frillesås,frislag,0,z5
0:10:54,frillesås,skott,räddning,z2
0:11:00,frillesås,skottyp,dribbling,z2
0:11:04,frillesås,hörna,0,z1
0:11:40,frillesås,skott,täckt,z2
0:11:43,frillesås,skottyp,fast,z2
0:11:50,frillesås,skott,räddning,z2
0:11:53,frillesås,skottyp,retur,z2
0:11:56,sirius,utkast,0,0
0:12:22,sirius,passning,straffområde,z8
0:12:26,sirius,skott,räddning,z8
0:12:30,sirius,skottyp,inlägg,z8
0:12:34,frillesås,boll,0,0
0:12:41,sirius,utkast,0,z2
0:13:16,frillesås,närkamp,0,z8
0:13:27,frillesås,bolltapp,tappad,z4
0:13:40,sirius,mål,spelmål,z8
0:13:50,sirius,skottyp,dribbling,z8
0:14:15,frillesås,avslag,0,z5
0:14:50,sirius,närkamp,0,z4
0:15:19,sirius,40,0,0
0:15:35,sirius,40,0,z2
0:15:46,sirius,40,0,z2
0:16:02,sirius,40,0,z2
0:16:16,frillesås,närkamp,0,z5
0:16:31,frillesås,närkamp,0,z1
0:16:35,frillesås,passning,straffområde,z2
0:16:39,sirius,rensning,0,0
0:17:01,frillesås,passning,lång,z1
0:17:07,sirius,utkast,0,z1
0:17:22,sirius,40,0,0
0:17:30,sirius,40,0,0
0:17:53,sirius,40,0,0
0:17:59,sirius,bolltapp,passförsök,z2
0:18:04,frillesås,hörna,0,z1
0:18:29,frillesås,skott,utanför,z2
0:18:34,frillesås,skottyp,fast,z2
0:18:37,sirius,utkast,0,z3
0:18:45,sirius,passning,lång,z8
0:18:52,sirius,skott,räddning,z8
0:18:55,sirius,skottyp,utifrån,z8
0:19:01,sirius,brytning,0,z8
0:19:10,sirius,skott,täckt,z8
0:19:16,sirius,skottyp,utifrån,z8
0:19:18,sirius,hörna,0,z7
0:19:27,sirius,skott,utanför,z8
0:19:31,sirius,skottyp,fast,z8
0:19:35,frillesås,utkast,0,z7
0:19:52,frillesås,passning,lång,z3
0:19:54,sirius,utkast,0,z3
0:20:18,sirius,hörna,0,z9
0:20:49,sirius,skott,täckt,z8
0:20:53,sirius,skottyp,fast,z8
0:20:57,sirius,närkamp,0,z6
0:21:06,frillesås,närkamp,0,z6
0:21:15,sirius,närkamp,0,z2
0:21:17,sirius,utkast,0,z1
0:21:38,sirius,passning,straffområde,z8
0:21:43,frillesås,boll,0,0
0:21:53,frillesås,passning,straffområde,z2
0:21:55,sirius,inslag,0,z1
0:22:17,sirius,närkamp,0,z5
0:22:26,sirius,bolltapp,passförsök,z9
0:22:28,frillesås,utkast,0,0
0:23:08,frillesås,passning,straffområde,z2
0:23:11,sirius,närkamp,0,z2
0:23:23,sirius,närkamp,0,z5
0:23:33,sirius,40,0,z2
0:23:56,sirius,bolltapp,passförsök,z5
0:24:09,frillesås,passning,straffområde,z2
0:24:16,frillesås,skott,räddning,z2
0:24:19,frillesås,skottyp,utifrån,z2
0:24:21,sirius,utkast,0,0
0:24:32,sirius,frislag,0,z7
0:25:13,sirius,passning,straffområde,z2
0:25:18,sirius,skott,utanför,z2
0:25:26,sirius,skottyp,inlägg,z2
0:25:28,frillesås,utkast,0,0
0:25:54,frillesås,mål,spelmål,z2
0:26:22,frillesås,skottyp,inlägg,z2
0:26:25,sirius,avslag,0,0
0:26:52,sirius,bolltapp,tappad,z3
0:26:57,frillesås,skott,räddning,z2
0:27:01,frillesås,skottyp,utifrån,z2
0:27:09,sirius,boll,0,0
0:27:23,frillesås,boll,0,0
0:27:32,frillesås,närkamp,0,z1
0:27:36,frillesås,skott,räddning,z2
0:27:39,frillesås,skottyp,utifrån,z2
0:27:42,sirius,utkast,0,z1
0:27:45,frillesås,närkamp,0,z6
0:27:53,frillesås,passning,lång,z2
0:27:57,frillesås,närkamp,0,z2
0:28:04,frillesås,hörna,0,z1
0:28:26,frillesås,skott,utanför,z2
0:28:34,frillesås,skottyp,fast,z2
0:28:36,sirius,utkast,0,z2
0:28:41,sirius,offside,0,z8
0:29:07,frillesås,passning,lång,z2
0:29:10,sirius,närkamp,0,z2
0:29:33,sirius,passning,straffområde,z8
0:29:35,frillesås,utkast,0,0
0:30:06,sirius,närkamp,0,z3
0:30:09,sirius,utkast,0,z2
0:30:26,sirius,frislag,0,z5
0:30:46,sirius,skott,räddning,z8
0:30:50,sirius,skottyp,dribbling,z8
0:30:55,sirius,hörna,0,z9
0:31:19,sirius,skott,täckt,z8
0:31:23,sirius,skottyp,fast,z8
0:31:25,frillesås,utkast,0,0
0:31:51,frillesås,hörna,0,z1
0:32:13,frillesås,mål,hörnmål,z2
0:32:20,frillesås,skottyp,fast,z2
0:32:40,sirius,avslag,0,0
0:33:18,frillesås,utkast,0,z7
0:33:56,sirius,närkamp,0,z4
0:34:08,frillesås,närkamp,0,z8
0:34:14,sirius,brytning,0,z6
0:34:31,sirius,passning,straffområde,z8
0:34:35,frillesås,närkamp,0,z8
0:34:41,frillesås,bolltapp,passförsök,z5
0:34:57,sirius,frislag,0,z5
0:35:06,sirius,40,0,0
0:35:17,sirius,40,0,0
0:35:36,sirius,40,0,0
0:35:55,sirius,40,0,0
0:36:12,sirius,frislag,0,z4
0:36:16,0,timeout,0,0
0:36:23,sirius,boll,0,0
0:36:33,sirius,närkamp,0,z5
0:36:46,sirius,40,0,0
0:37:00,frillesås,brytning,0,z8
0:37:11,frillesås,utkast,0,0
0:37:16,frillesås,närkamp,0,z8
0:37:24,frillesås,närkamp,0,z1
0:37:31,sirius,närkamp,0,z2
0:37:45,sirius,närkamp,0,z5
0:37:52,sirius,hörna,0,z7
0:38:18,sirius,skott,täckt,z8
0:38:22,sirius,skottyp,fast,z8
0:38:25,sirius,skott,utanför,z8
0:38:32,sirius,skottyp,retur,z8
0:38:34,frillesås,utkast,0,0
0:38:49,sirius,närkamp,0,z2
0:38:56,sirius,utkast,0,z3
0:39:01,frillesås,närkamp,0,z6
0:39:09,sirius,inslag,0,z6
0:39:30,frillesås,brytning,0,z8
0:39:45,frillesås,närkamp,0,z2
0:39:51,sirius,närkamp,0,z2
0:39:59,frillesås,närkamp,0,z1
0:40:05,sirius,närkamp,0,z1
0:40:12,frillesås,närkamp,0,z4
0:40:15,frillesås,inslag,0,z4
0:40:35,frillesås,passning,lång,z2
0:40:40,sirius,brytning,0,z2
0:40:46,frillesås,närkamp,0,z7
0:40:57,sirius,boll,0,z4
0:41:38,sirius,hörna,0,z9
0:42:06,sirius,skott,räddning,z8
0:42:09,sirius,skottyp,fast,z8
0:42:19,frillesås,utkast,0,z8
0:43:21,frillesås,passning,lång,z3
0:43:24,sirius,närkamp,0,z3
0:43:42,sirius,skott,täckt,z8
0:43:46,sirius,skottyp,utifrån,z8
0:43:48,frillesås,utkast,0,0
0:44:17,frillesås,närkamp,0,z2
0:44:22,frillesås,hörna,0,z1
0:45:03,frillesås,skott,täckt,z2
0:45:07,frillesås,skottyp,fast,z2
0:45:10,0,stop,0,0
