time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:18,sirius,passning,lång,z5
0:00:22,vsk,närkamp,0,z8
0:00:28,sirius,närkamp,0,z6
0:00:44,sirius,närkamp,0,z6
0:00:48,sirius,frislag,0,z6
0:01:06,sirius,40,0,z2
0:01:15,sirius,40,0,z2
0:01:21,sirius,passning,lång,z8
0:01:25,sirius,närkamp,0,z8
0:01:41,sirius,passning,lång,z8
0:01:46,sirius,närkamp,0,z8
0:01:49,vsk,närkamp,0,z4
0:02:04,sirius,närkamp,0,z3
0:02:09,vsk,närkamp,0,z3
0:02:19,sirius,utkast,0,z6
0:02:25,vsk,brytning,0,z5
0:02:30,sirius,närkamp,0,z5
0:02:41,vsk,närkamp,0,z4
0:02:51,sirius,närkamp,0,z4
0:03:24,sirius,närkamp,0,z6
0:03:37,vsk,utkast,0,z9
0:03:54,vsk,frislag,0,z3
0:04:06,vsk,skott,täckt,z2
0:04:09,vsk,skottyp,fast,z2
0:04:14,sirius,boll,0,0
0:04:26,sirius,frislag,0,z6
0:04:42,sirius,skott,täckt,z6
0:04:45,sirius,skottyp,fast,z6
0:04:47,vsk,utkast,0,0
0:04:52,vsk,passning,lång,0
0:04:54,sirius,utkast,0,z1
0:05:12,sirius,passning,straffområde,z8
0:05:19,sirius,frislag,0,z7
0:05:28,sirius,skott,utanför,z7
0:05:34,sirius,skottyp,fast,z7
0:05:42,vsk,brytning,0,z8
0:05:51,vsk,passning,straffområde,z2
0:05:56,sirius,rensning,0,0
0:06:00,vsk,passning,lång,z2
0:06:03,sirius,utkast,0,0
0:06:26,vsk,närkamp,0,z7
0:06:38,vsk,passning,lång,z5
0:06:41,vsk,offside,0,0
0:06:50,vsk,brytning,0,z4
0:07:05,vsk,frislag,0,z1
0:07:25,vsk,passning,straffområde,z2
0:07:30,sirius,boll,0,z1
0:07:44,sirius,skott,räddning,z8
0:07:52,sirius,skottyp,centralt,z8
0:07:54,vsk,utkast,0,0
0:07:58,sirius,närkamp,0,z5
0:08:04,vsk,brytning,0,z4
0:08:10,sirius,närkamp,0,z4
0:08:18,vsk,boll,0,0
0:08:26,sirius,närkamp,0,z2
0:08:32,vsk,närkamp,0,z5
0:08:39,sirius,rensning,0,0
0:08:50,vsk,inslag,0,z6
0:09:04,vsk,passning,lång,z2
0:09:07,vsk,hörna,0,z1
0:09:35,vsk,skott,täckt,z2
0:09:37,vsk,skottyp,fast,z2
0:09:42,vsk,skott,utanför,z2
0:09:44,vsk,skottyp,retur,z2
0:09:47,sirius,utkast,0,z3
0:09:56,sirius,passning,lång,z8
0:10:01,0,timeout,0,0
0:11:16,vsk,frislag,0,z8
0:11:24,vsk,passning,lång,z5
0:11:28,vsk,närkamp,0,z3
0:11:33,sirius,närkamp,0,z3
0:11:47,sirius,skott,utanför,z8
0:11:52,sirius,skottyp,utifrån,z8
0:11:56,vsk,utkast,0,0
0:12:08,vsk,närkamp,0,z5
0:12:13,sirius,frislag,0,z5
0:12:18,sirius,passning,lång,z8
0:12:25,vsk,boll,0,z7
0:12:36,sirius,närkamp,0,z2
0:12:47,vsk,närkamp,0,z5
0:12:57,sirius,närkamp,0,z2
0:12:59,sirius,frislag,0,z2
0:13:14,sirius,passning,lång,z5
0:13:23,vsk,inslag,0,z6
0:13:36,sirius,närkamp,0,z5
0:13:46,vsk,närkamp,0,z4
0:13:53,vsk,frislag,0,z1
0:14:05,vsk,passning,straffområde,z2
0:14:22,sirius,frislag,0,z2
0:14:33,sirius,passning,lång,z7
0:14:50,sirius,närkamp,0,z9
0:15:00,vsk,brytning,0,z5
0:15:05,sirius,närkamp,0,z5
0:15:18,sirius,passning,straffområde,z8
0:15:21,sirius,skott,täckt,z8
0:15:25,sirius,skottyp,inlägg,z8
0:15:31,sirius,skott,utanför,z8
0:15:38,sirius,skottyp,utifrån,z8
0:15:41,vsk,utkast,0,0
0:15:49,vsk,frislag,0,z8
0:16:08,vsk,utkast,0,z2
0:16:15,sirius,utkast,0,z6
0:16:20,vsk,närkamp,0,z6
0:16:27,sirius,närkamp,0,z6
0:16:32,sirius,passning,lång,z8
0:16:36,sirius,närkamp,0,z6
0:16:48,sirius,skott,täckt,z8
0:16:53,sirius,skottyp,centralt,z8
0:16:59,sirius,mål,spelmål,z8
0:17:05,sirius,skottyp,retur,z8
0:17:19,vsk,avslag,0,0
0:17:38,vsk,närkamp,0,z6
0:17:45,vsk,frislag,0,z6
0:17:49,vsk,passning,lång,z2
0:17:58,vsk,skott,räddning,z2
0:18:01,vsk,skottyp,utifrån,z2
0:18:03,sirius,utkast,0,z1
0:18:09,sirius,passning,lång,z8
0:18:17,vsk,rensning,0,0
0:18:21,sirius,inslag,0,z4
0:18:37,sirius,passning,lång,z8
0:18:48,vsk,frislag,0,z8
0:18:55,vsk,passning,lång,z5
0:19:03,sirius,närkamp,0,z2
0:19:15,sirius,utkast,0,z6
0:19:33,sirius,skott,utanför,z9
0:19:39,sirius,skottyp,utifrån,z9
