time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:07,broberg,närkamp,0,z1
0:00:11,sirius,närkamp,0,z4
0:00:14,broberg,utkast,0,0
0:02:05,broberg,passning,farlig,z8
0:02:10,broberg,mål,spelmål,z8
0:02:17,broberg,skottyp,inlägg,z8
0:02:39,sirius,avslag,0,0
0:02:46,sirius,bolltapp,tappad,z5
0:03:04,sirius,brytning,0,z8
0:03:22,sirius,bolltapp,passförsök,z2
0:03:23,broberg,utkast,0,0
0:03:40,broberg,bolltapp,passförsök,z6
0:03:42,sirius,utkast,0,z7
0:04:35,sirius,40,0,z8
0:04:51,broberg,brytning,0,z5
0:05:20,broberg,skott,räddning,z8
0:05:24,broberg,skottyp,centralt,z8
0:05:26,broberg,boll,0,0
0:05:30,broberg,hörna,0,z7
0:06:10,broberg,skott,utanför,z8
0:06:14,broberg,skottyp,fast,z8
0:06:17,sirius,utkast,0,z7
0:06:31,sirius,40,0,0
0:06:39,sirius,passning,lång,z2
0:06:42,broberg,utkast,0,z3
0:07:08,broberg,passning,lång,z8
0:07:15,sirius,utkast,0,z8
0:07:47,sirius,passning,lång,z2
0:07:52,sirius,offside,0,z2
0:08:01,broberg,boll,0,0
0:08:18,broberg,frislag,0,z6
0:09:07,broberg,hörna,0,z7
0:09:39,broberg,skott,täckt,z8
0:09:42,broberg,skottyp,fast,z8
0:09:44,sirius,utkast,0,z7
0:09:55,sirius,närkamp,0,z5
0:10:08,sirius,passning,straffområde,z2
0:10:16,sirius,frislag,0,z2
0:10:18,0,timeout,0,0
0:10:42,sirius,boll,0,0
0:10:52,sirius,40,0,0
0:11:18,broberg,närkamp,0,z2
0:11:33,sirius,skott,räddning,z2
0:11:42,sirius,skottyp,friställande,z2
0:11:45,sirius,hörna,0,z3
0:12:02,sirius,skott,utanför,z2
0:12:09,sirius,skottyp,fast,z2
0:12:11,broberg,utkast,0,0
0:12:58,sirius,utkast,0,z9
0:13:19,sirius,skott,utanför,z2
0:13:22,sirius,skottyp,utifrån,z2
0:13:23,broberg,utkast,0,0
0:13:50,broberg,hörna,0,z7
0:14:16,broberg,mål,hörnmål,z8
0:14:21,broberg,skottyp,fast,z8
0:14:41,sirius,avslag,0,0
0:15:04,sirius,närkamp,0,z5
0:15:17,sirius,bolltapp,tappad,z4
0:15:46,broberg,passning,lång,z8
0:15:50,sirius,utkast,0,z9
0:16:05,sirius,40,0,0
0:16:34,broberg,närkamp,0,z2
