time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:15,hammarby,utkast,0,0
0:00:43,hammarby,skott,täckt,z2
0:00:48,hammarby,skottyp,utifrån,z2
0:00:53,hammarby,hörna,0,z1
0:01:03,hammarby,skott,utanför,z2
0:01:07,hammarby,skottyp,fast,z2
0:01:11,sirius,utkast,0,z1
0:01:23,sirius,passning,lång,z8
0:01:31,hammarby,utkast,0,z6
0:02:38,hammarby,närkamp,0,z6
0:02:48,sirius,närkamp,0,z7
0:03:26,sirius,passning,straffområde,z8
0:03:33,sirius,skott,utanför,z8
0:03:37,sirius,skottyp,inlägg,z8
0:03:41,hammarby,utkast,0,0
0:04:11,sirius,brytning,0,z6
0:04:42,sirius,40,0,0
0:05:16,sirius,passning,straffområde,z8
0:05:19,sirius,skott,utanför,z8
0:05:22,sirius,skottyp,inlägg,z2
0:05:30,hammarby,utkast,0,0
0:06:19,hammarby,passning,straffområde,z2
0:06:24,hammarby,skott,utanför,z2
0:06:30,hammarby,skottyp,inlägg,z2
0:06:33,sirius,utkast,0,0
0:06:36,hammarby,närkamp,0,z6
0:07:04,hammarby,skott,täckt,z2
0:07:08,hammarby,skottyp,centralt,0
0:07:11,sirius,boll,0,0
0:07:16,hammarby,närkamp,0,z8
0:07:21,sirius,närkamp,0,z6
0:07:44,hammarby,närkamp,0,z5
0:07:56,sirius,närkamp,0,z1
0:08:22,sirius,bolltapp,passförsök,z5
0:08:27,sirius,närkamp,0,z5
0:08:31,sirius,40,0,0
0:08:37,sirius,passning,lång,0
0:08:45,hammarby,närkamp,0,z7
0:09:14,hammarby,hörna,0,z3
0:09:46,hammarby,mål,hörnmål,z2
0:09:50,hammarby,skottyp,fast,z2
0:10:13,sirius,avslag,0,0
0:10:38,sirius,40,0,0
0:10:56,hammarby,brytning,0,z4
0:11:01,sirius,närkamp,0,z4
0:11:03,hammarby,närkamp,0,z4
0:11:10,sirius,närkamp,0,z5
0:11:22,sirius,passning,straffområde,z8
0:11:27,sirius,40,0,0
0:11:44,sirius,bolltapp,tappad,z7
0:11:51,hammarby,utkast,0,z9
0:11:59,hammarby,passning,lång,z2
0:12:03,sirius,utkast,0,z3
0:12:42,sirius,40,0,0
0:12:55,sirius,passning,lång,0
0:13:03,hammarby,brytning,0,z7
0:13:14,sirius,brytning,0,z5
0:14:02,hammarby,brytning,0,z9
0:14:06,hammarby,frislag,0,z6
0:14:21,hammarby,hörna,0,z3
0:14:52,hammarby,skott,täckt,z2
0:14:56,hammarby,skottyp,fast,z2
0:15:05,sirius,närkamp,0,z2
0:15:11,sirius,närkamp,0,z6
0:15:34,sirius,bolltapp,passförsök,z8
0:15:37,hammarby,utkast,0,z7
0:15:51,sirius,brytning,0,z3
0:15:55,hammarby,brytning,0,z8
0:16:15,sirius,närkamp,0,z3
0:16:32,sirius,40,0,0
0:16:39,sirius,passning,lång,z8
0:16:43,hammarby,utkast,0,z7
0:16:56,hammarby,hörna,0,z1
0:17:22,hammarby,skott,utanför,z2
0:17:25,hammarby,skottyp,fast,z2
0:17:29,sirius,utkast,0,0
0:17:36,sirius,passning,lång,z5
0:17:41,sirius,närkamp,0,z5
0:17:46,hammarby,frislag,0,z5
0:18:58,hammarby,passning,lång,z2
0:19:00,sirius,närkamp,0,z2
0:19:16,sirius,skott,räddning,z8
0:19:19,sirius,skottyp,utifrån,z8
0:19:25,sirius,närkamp,0,z9
0:19:34,sirius,inslag,0,z9
0:19:39,hammarby,närkamp,0,z8
0:19:46,hammarby,passning,lång,0
0:19:49,sirius,utkast,0,z6
0:20:18,sirius,passning,straffområde,z8
0:20:20,sirius,närkamp,0,z8
0:20:26,sirius,skott,täckt,z8
0:20:30,sirius,skottyp,utifrån,0
0:20:34,hammarby,boll,0,0
0:20:50,hammarby,skott,täckt,z2
0:20:55,hammarby,skottyp,utifrån,z2
0:20:58,hammarby,hörna,0,z3
0:21:12,hammarby,skott,täckt,z2
0:21:18,hammarby,skottyp,fast,z2
0:21:21,hammarby,boll,0,0
0:21:46,hammarby,hörna,0,z3
0:22:15,hammarby,skott,täckt,z2
0:22:19,hammarby,skottyp,fast,z2
0:22:25,sirius,utkast,0,0
0:22:48,sirius,40,0,0
0:22:59,hammarby,närkamp,0,z4
0:23:12,hammarby,passning,straffområde,z2
0:23:14,sirius,brytning,0,z2
0:23:23,sirius,närkamp,0,z6
0:23:29,sirius,offside,0,z8
0:23:33,hammarby,boll,0,0
0:24:45,sirius,utkast,0,z3
0:25:05,sirius,skott,täckt,z8
0:25:09,sirius,skottyp,utifrån,z8
0:25:12,sirius,hörna,0,z7
0:25:34,sirius,skott,utanför,z8
0:25:38,sirius,skottyp,fast,z8
0:25:43,hammarby,utkast,0,0
0:25:56,sirius,brytning,0,z6
0:26:00,hammarby,närkamp,0,z5
0:26:05,sirius,utvisning,10,0
0:26:40,hammarby,frislag,0,z5
0:26:50,sirius,utkast,0,z1
0:27:10,hammarby,brytning,0,z8
0:27:24,hammarby,skott,utanför,z3
0:27:30,hammarby,skottyp,utifrån,z3
0:27:31,sirius,utkast,0,z1
0:27:35,sirius,passning,lång,z8
0:27:40,hammarby,närkamp,0,z8
0:29:01,sirius,utkast,0,z1
0:29:27,hammarby,närkamp,0,z1
0:29:31,sirius,närkamp,0,z1
0:29:44,sirius,frislag,0,z4
0:30:15,hammarby,närkamp,0,z5
0:30:17,sirius,närkamp,0,z5
0:30:26,hammarby,närkamp,0,z6
0:30:35,hammarby,skott,räddning,z2
0:30:42,hammarby,skottyp,centralt,z2
0:30:48,sirius,utkast,0,z3
0:31:02,sirius,skott,räddning,z8
0:31:06,sirius,skottyp,centralt,z8
0:31:21,sirius,hörna,0,z7
0:31:34,sirius,mål,hörnmål,z8
0:31:39,sirius,skottyp,fast,z8
0:32:03,hammarby,avslag,0,0
0:32:23,hammarby,passning,lång,z2
0:32:27,sirius,rensning,0,0
0:32:36,hammarby,passning,lång,z2
0:33:02,hammarby,mål,spelmål,z2
0:33:33,hammarby,skottyp,utifrån,z2
0:33:35,sirius,avslag,0,0
0:33:53,hammarby,närkamp,0,z6
0:34:06,hammarby,passning,lång,z2
0:34:09,sirius,utkast,0,z1
0:34:32,sirius,skott,täckt,z8
0:34:36,sirius,skottyp,utifrån,z8
0:34:40,hammarby,boll,0,0
0:35:00,hammarby,offside,0,0
0:35:14,sirius,utkast,0,0
0:35:22,hammarby,boll,0,0
0:35:29,sirius,rensning,0,0
0:35:32,hammarby,inslag,0,z4
0:35:42,hammarby,passning,lång,z2
0:35:44,sirius,närkamp,0,z2
0:36:02,sirius,passning,straffområde,z8
0:36:06,hammarby,utkast,0,z8
0:36:27,sirius,närkamp,0,z6
0:36:54,hammarby,brytning,0,z8
0:37:11,sirius,närkamp,0,z2
0:37:21,hammarby,brytning,0,z8
0:37:28,sirius,närkamp,0,z5
0:37:41,sirius,skott,täckt,z8
0:37:45,sirius,skottyp,utifrån,z8
0:37:48,sirius,hörna,0,z9
0:38:11,sirius,skott,täckt,z8
0:38:15,sirius,skottyp,fast,z8
0:38:18,hammarby,rensning,0,0
0:38:22,sirius,timeout,0,0
0:39:59,sirius,utkast,0,z6
0:40:08,hammarby,brytning,0,0
0:40:20,hammarby,skott,täckt,z2
0:40:24,hammarby,skottyp,centralt,z2
0:40:27,hammarby,hörna,0,z1
0:40:33,hammarby,skott,räddning,z2
0:40:38,hammarby,skottyp,fast,z2
0:40:45,sirius,utkast,0,0
0:40:54,hammarby,närkamp,0,z4
0:41:01,hammarby,passning,lång,0
0:41:05,sirius,närkamp,0,z2
0:41:15,hammarby,närkamp,0,z2
0:41:23,hammarby,skott,täckt,z2
0:41:29,hammarby,skottyp,centralt,z2
0:41:34,hammarby,hörna,0,z1
0:41:47,hammarby,mål,hörnmål,z2
0:41:54,hammarby,skottyp,fast,z2
0:42:00,sirius,avslag,0,0
0:42:13,sirius,passning,lång,z8
0:42:27,sirius,passning,straffområde,z8
0:42:30,sirius,skott,räddning,z8
0:42:34,sirius,skottyp,inlägg,z8
0:42:36,sirius,hörna,0,z7
0:42:45,sirius,skott,täckt,z8
0:42:48,sirius,skottyp,fast,z8
0:42:51,hammarby,utkast,0,0
0:43:05,hammarby,frislag,0,z3
0:43:16,hammarby,passning,straffområde,z2
0:43:19,sirius,närkamp,0,0
0:43:27,sirius,utkast,0,z6
0:43:47,sirius,mål,spelmål,z8
0:43:56,sirius,skottyp,centralt,z8
0:44:11,hammarby,avslag,0,0
0:44:19,hammarby,passning,lång,0
0:44:37,sirius,utkast,0,z5
0:44:50,sirius,passning,straffområde,0
0:44:58,sirius,skott,räddning,z8
0:45:01,sirius,skottyp,inlägg,z8
0:45:05,hammarby,utkast,0,0
0:45:31,hammarby,bolltapp,tappad,z3
0:45:36,sirius,utkast,0,0
0:45:39,hammarby,närkamp,0,z6
0:45:45,sirius,närkamp,0,z6
0:45:52,sirius,närkamp,0,z5
0:46:01,sirius,passning,farlig,z8
0:46:07,hammarby,utkast,0,0
0:46:18,sirius,utkast,0,z2
0:46:24,sirius,passning,lång,0
0:46:32,hammarby,utkast,0,0
0:46:38,sirius,närkamp,0,z2
0:46:55,hammarby,brytning,0,z9
0:46:59,sirius,närkamp,0,z5
0:47:08,sirius,frislag,0,z8
0:47:24,sirius,40,0,0
0:47:30,0,stop,0,0
