time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:33,sirius,hörna,0,z9
0:01:00,sirius,skott,täckt,z8
0:01:03,sirius,skottyp,fast,z8
0:01:05,sirius,boll,0,0
0:01:43,sirius,frislag,0,z7
0:02:03,gripen,brytning,0,z7
0:02:14,sirius,närkamp,0,z6
0:02:31,sirius,utvisning,10,0
0:03:17,gripen,frislag,0,z6
0:04:13,gripen,passning,straffområde,z2
0:04:24,sirius,rensning,0,z2
0:04:36,sirius,närkamp,0,z2
0:04:45,gripen,närkamp,0,z8
0:04:53,gripen,frislag,0,z6
0:05:40,sirius,närkamp,0,z2
0:05:48,gripen,närkamp,0,z3
0:05:50,gripen,hörna,0,z3
0:06:25,gripen,mål,hörnmål,z2
0:06:30,gripen,skottyp,fast,z2
0:06:52,sirius,avslag,0,0
0:07:20,sirius,passning,straffområde,z8
0:07:22,gripen,närkamp,0,z8
0:07:28,gripen,passning,lång,z2
0:07:31,sirius,utkast,0,z1
0:07:56,sirius,närkamp,0,z8
0:07:59,sirius,40,0,0
0:08:19,gripen,närkamp,0,z5
0:08:24,gripen,skott,räddning,z2
0:08:27,gripen,skottyp,utifrån,z2
0:08:29,sirius,utkast,0,z1
0:08:45,gripen,utkast,0,z7
0:09:14,gripen,skott,utanför,z2
0:09:16,gripen,skottyp,utifrån,z2
0:09:20,sirius,utkast,0,z1
0:09:31,sirius,närkamp,0,z5
0:10:02,sirius,passning,straffområde,z8
0:10:05,sirius,boll,0,0
0:10:29,sirius,frislag,0,z4
0:11:09,gripen,brytning,0,z6
0:11:12,gripen,passning,lång,z2
0:11:19,sirius,brytning,0,z2
0:11:22,gripen,närkamp,0,z4
0:11:46,gripen,skott,räddning,z2
0:11:55,gripen,skottyp,utifrån,z2
0:11:57,sirius,boll,0,0
0:12:13,sirius,frislag,0,z5
0:12:33,gripen,brytning,0,z6
0:12:48,gripen,skott,räddning,z2
0:12:52,gripen,skottyp,centralt,z2
0:12:55,gripen,skott,utanför,z2
0:12:59,gripen,skottyp,retur,z2
0:13:01,sirius,utkast,0,0
0:13:16,gripen,brytning,0,z5
0:13:23,gripen,skott,utanför,z5
0:13:26,gripen,skottyp,utifrån,z5
0:13:29,sirius,utkast,0,z3
0:14:05,sirius,hörna,0,z9
0:14:33,sirius,skott,täckt,z8
0:14:36,sirius,skottyp,fast,z8
0:14:40,sirius,boll,0,0
0:15:00,sirius,skott,utanför,z8
0:15:05,sirius,skottyp,centralt,z8
0:15:08,gripen,utkast,0,z8
0:15:32,sirius,brytning,0,z4
0:15:37,sirius,frislag,0,z4
0:15:46,gripen,brytning,0,z5
0:16:01,sirius,närkamp,0,z2
0:16:07,gripen,närkamp,0,z8
0:16:52,gripen,skott,utanför,z2
0:16:55,gripen,skottyp,utifrån,z2
0:16:57,sirius,boll,0,0
0:17:10,gripen,brytning,0,z8
0:17:23,gripen,hörna,0,z1
0:17:51,gripen,skott,utanför,z2
0:17:55,gripen,skottyp,fast,z2
0:17:57,sirius,utkast,0,z1
